Time,Bujumbura,Bubanza,Cibitoke,Isale,Muramvya,Kayanza,Mwaro,Rumonge,Bururi,Rutana,Makamba,Gitega,Karuzi,Ruyigi,Cankuzo,Muyinga,Kirundo,Ngozi,Gashoho,Gitega-Ruyigi,Makebuko,Commune of Mabanda,Mahama,Nduta,Kagunga,Nyarugusu,Nakivale,Kigali,Lusenda
329,2383,316,233,6263,2049,598,1792,2137,515,1862,1649,2130,1710,2789,1200,2597,282,2386,2694,5297,3513,1680,37542,55320,54962,8124,18378,28128,17210
330,2341,322,231,6226,2057,596,1767,2127,504,1851,1657,2141,1711,2743,1209,2617,288,2410,2588,5314,3490,1638,37631,55320,55075,8179,18397,28199,17210
331,2316,303,263,6144,2059,597,1726,2039,515,1878,1588,2080,1686,2795,1192,2580,281,2409,2625,5373,3475,1701,37727,55320,55201,8206,18377,28273,17210
332,2353,296,248,6142,2062,584,1719,2067,479,1836,1610,2145,1690,2787,1188,2536,270,2341,2626,5290,3501,1691,37839,55320,55294,8253,18401,28360,17210
333,2281,321,221,6143,2001,587,1736,2075,470,1839,1588,2122,1610,2795,1223,2503,295,2301,2654,5433,3430,1724,37944,55320,55403,8301,18389,28418,17210
334,2447,304,244,6143,2053,581,1743,2087,501,1842,1585,2146,1687,2795,1206,2503,282,2393,2660,5398,3479,1649,38058,55320,55516,8355,18378,28548,17210
335,2466,315,280,6262,2058,597,1730,2168,509,1822,1588,2174,1689,2797,1193,2523,293,2435,2662,5397,3548,1629,38159,55320,55619,8393,18394,28659,17210
336,2362,313,236,6209,2096,589,1731,2153,517,1829,1550,2142,1645,2756,1223,2522,268,2429,2674,5400,3581,1622,38261,55320,55710,8439,18374,28732,17210
337,2260,305,231,6200,2093,605,1685,2115,491,1864,1502,2241,1633,2780,1241,2551,269,2395,2582,5344,3463,1663,38367,55320,55810,8489,18405,28783,17210
338,2294,270,222,6202,2057,593,1661,2050,513,1872,1526,2152,1634,2763,1231,2588,274,2320,2569,5271,3530,1634,38471,55320,55916,8524,18391,28843,17210
339,2383,327,236,6425,2069,546,1731,2186,463,1944,1551,2119,1668,2833,1236,2531,266,2535,2680,5357,3457,1629,38580,55320,56013,8581,18390,28982,17210
340,2363,325,216,6282,2053,650,1788,2118,522,1890,1565,2104,1672,2828,1211,2537,279,2430,2673,5282,3483,1655,38671,55320,56088,8622,18380,29031,17210
341,2283,282,220,6304,2046,629,1742,2068,511,1910,1609,2123,1677,2841,1195,2550,279,2358,2654,5323,3369,1627,38757,55320,56206,8657,18405,29093,17210
342,2238,309,246,6201,2023,567,1719,2085,493,1863,1612,2101,1722,2794,1216,2545,251,2416,2626,5292,3459,1584,38839,55320,56300,8703,18392,29162,17210
343,2303,303,248,6079,1950,575,1665,2027,497,1814,1623,2187,1717,2760,1193,2521,260,2354,2654,5309,3457,1590,38942,55320,56391,8749,18379,29218,17210
344,2285,298,226,6002,1936,573,1633,2002,485,1800,1575,2138,1696,2760,1206,2532,285,2345,2528,5334,3466,1660,39058,55320,56494,8779,18386,29290,17210
345,2205,306,228,5955,1995,625,1607,1978,511,1824,1560,2111,1787,2725,1220,2481,277,2226,2538,5315,3384,1650,39132,55320,56575,8827,18380,29357,17210
346,2364,331,205,5858,2001,573,1637,2000,499,1789,1534,2063,1733,2735,1230,2518,252,2267,2508,5327,3430,1669,39240,55320,56666,8873,18403,29461,17210
347,2357,332,236,5952,1978,563,1711,2120,432,1817,1481,2085,1735,2757,1251,2530,260,2334,2532,5291,3421,1675,39345,55320,56785,8914,18386,29580,17210
348,2216,319,248,5995,2012,611,1703,2020,498,1851,1545,2121,1730,2751,1235,2523,272,2237,2539,5261,3357,1631,39418,55320,56864,8971,18386,29665,17210
349,2266,293,209,5970,2009,593,1710,2067,453,1797,1546,2160,1751,2774,1254,2496,261,2224,2488,5216,3323,1658,39512,55320,56944,9017,18378,29729,17210
350,2124,266,219,6010,2027,590,1737,2028,484,1799,1556,1998,1696,2787,1287,2533,258,2220,2365,5254,3339,1627,39609,55320,57028,9070,18409,29778,17210
351,2175,288,217,5930,1951,542,1654,1987,489,1791,1568,2137,1736,2771,1231,2512,248,2261,2339,5164,3369,1588,39703,55320,57096,9127,18393,29831,17210
352,2126,283,190,5931,1972,578,1648,1945,475,1817,1566,2042,1741,2703,1229,2519,265,2216,2317,5214,3354,1562,39797,55320,57186,9180,18377,29865,17210
353,2073,306,201,5816,2017,552,1646,1925,463,1787,1597,2074,1764,2721,1289,2411,220,2121,2414,5150,3262,1542,39900,55320,57283,9238,18400,29926,17210
354,2438,329,245,5952,1997,535,1593,1943,479,1794,1556,2076,1715,2741,1249,2448,265,2257,2507,5308,3357,1545,39999,55320,57368,9290,18387,30078,17210
355,2265,319,224,6013,1939,549,1650,1930,468,1795,1587,2143,1743,2695,1258,2456,265,2240,2480,5201,3364,1533,40097,55320,57471,9328,18392,30145,17210
356,2285,314,253,5931,1950,561,1634,1921,458,1797,1551,2028,1700,2704,1229,2504,233,2208,2461,5310,3360,1556,40169,55320,57568,9376,18376,30212,17210
357,2230,313,200,5984,1948,586,1600,1951,434,1775,1508,2178,1664,2695,1200,2498,257,2154,2461,5247,3396,1558,40259,55320,57646,9433,18406,30256,17210
358,2250,313,253,5840,1979,557,1604,1953,451,1768,1515,2067,1663,2722,1226,2438,250,2187,2506,5230,3435,1511,40368,55320,57765,9464,18384,30326,17210
359,2259,314,217,5773,1970,597,1625,1926,475,1758,1504,2080,1659,2727,1216,2406,285,2174,2464,5262,3402,1517,40461,55320,57853,9514,18392,30383,17210
360,2151,299,215,5868,1937,534,1585,1928,482,1783,1485,2118,1654,2726,1255,2383,260,2245,2491,5189,3398,1520,40566,55320,57937,9568,18378,30446,17210
361,2144,283,201,5728,1954,579,1617,1857,488,1778,1518,2009,1688,2704,1219,2359,251,2181,2482,5199,3460,1508,40650,55320,58023,9619,18397,30505,17210
362,2178,297,216,5737,1907,568,1575,1868,424,1811,1524,2155,1670,2681,1259,2372,272,2220,2473,5133,3401,1510,40733,55320,58132,9660,18379,30583,17210
363,2181,338,200,5640,2001,555,1652,1889,380,1792,1536,2116,1686,2665,1239,2402,246,2189,2526,5132,3398,1533,40801,55320,58204,9716,18398,30660,17210
364,2142,291,220,5723,1998,523,1657,1901,461,1765,1527,2100,1676,2680,1211,2439,287,2225,2502,5179,3314,1513,40888,55320,58313,9757,18377,30743,17210
365,2207,302,246,5779,1989,547,1658,1972,454,1772,1498,2098,1684,2668,1246,2391,262,2229,2590,5214,3391,1510,40969,55320,58394,9799,18409,30835,17210
366,2197,309,193,5737,2017,562,1638,1934,463,1742,1480,2084,1652,2717,1230,2453,314,2202,2484,5163,3338,1539,41072,55320,58492,9851,18391,30901,17210
367,2116,314,245,5751,1950,577,1630,1962,386,1760,1472,2087,1663,2743,1235,2465,267,2184,2474,5116,3288,1555,41142,55320,58571,9899,18375,30970,17210
368,2218,289,239,5796,1884,552,1620,1941,455,1695,1475,2094,1651,2752,1216,2454,253,2226,2503,5148,3339,1539,41224,55320,58644,9954,18408,31063,17210
369,2101,271,208,5819,1888,561,1611,1935,447,1670,1500,2026,1672,2722,1192,2506,261,2152,2477,5155,3349,1576,41294,55320,58732,9999,18394,31133,17210
370,2180,313,223,5659,1870,538,1606,1928,433,1695,1500,2091,1716,2730,1212,2472,259,2140,2503,5042,3263,1534,41388,55320,58830,10049,18378,31188,17210
371,2147,315,243,5600,1919,579,1589,1902,449,1703,1510,1953,1688,2660,1164,2517,281,2057,2447,5117,3343,1496,41482,55320,58918,10094,18400,31256,17210
372,2091,293,220,5687,1843,494,1624,1873,469,1690,1504,2111,1667,2623,1191,2450,290,2154,2439,5032,3287,1482,41559,55320,59010,10135,18387,31313,17210
373,2103,291,201,5573,1868,540,1615,1918,462,1674,1457,2048,1621,2628,1176,2483,260,2136,2428,5048,3301,1498,41642,55320,59093,10183,18386,31374,17210
374,2020,267,205,5594,1870,521,1588,1875,475,1740,1396,2030,1650,2655,1182,2324,252,2176,2458,5044,3274,1529,41748,55320,59180,10223,18384,31436,17210
375,2065,278,208,5499,1816,551,1577,1885,452,1695,1457,2048,1624,2636,1190,2272,253,2123,2468,5062,3252,1500,41822,55320,59238,10273,18394,31496,17210
376,2045,266,197,5501,1870,499,1537,1900,430,1676,1493,1976,1628,2661,1161,2288,253,2132,2406,5077,3205,1444,41892,55320,59345,10322,18380,31588,17210
377,1971,289,211,5498,1855,556,1558,1826,450,1690,1478,1941,1608,2695,1143,2280,251,2078,2363,5011,3177,1471,41982,55320,59404,10386,18390,31648,17210
378,2065,292,182,5458,1862,528,1465,1840,448,1644,1472,2038,1561,2712,1137,2319,279,2094,2370,5004,3118,1480,42058,55320,59488,10431,18381,31697,17210
379,2079,282,204,5399,1879,529,1494,1877,434,1632,1445,1953,1556,2657,1165,2316,268,2074,2399,5021,3129,1504,42131,55320,59573,10479,18388,31769,17210
380,2072,321,215,5374,1859,525,1456,1829,456,1665,1463,1951,1522,2600,1162,2341,241,2084,2398,5069,3111,1492,42211,55320,59662,10520,18390,31860,17210
381,2059,290,238,5379,1883,500,1419,1836,411,1669,1471,2021,1521,2619,1125,2334,247,2062,2412,4929,3080,1485,42295,55320,59738,10578,18394,31922,17210
382,2150,289,211,5442,1879,507,1473,1855,436,1650,1454,1882,1582,2622,1154,2261,263,2034,2460,4997,3084,1496,42379,55320,59813,10625,18380,31985,17210
383,2169,330,206,5584,1894,525,1458,1891,438,1637,1465,1877,1551,2621,1160,2336,268,2108,2430,5026,3125,1481,42449,55320,59893,10680,18413,32098,17210
384,2284,319,225,5685,1906,516,1436,1883,461,1618,1446,1971,1534,2676,1115,2398,266,2110,2541,5022,3104,1532,42521,55320,59957,10730,18402,32205,17210
385,2028,316,218,5785,1924,530,1445,1867,456,1663,1429,1958,1533,2604,1197,2347,263,2088,2506,4962,3134,1530,42606,55320,60041,10785,18384,32264,17210
386,2144,255,187,5677,1885,526,1457,1839,440,1640,1434,1980,1534,2651,1154,2339,260,2093,2420,4887,3164,1517,42716,55320,60113,10840,18391,32324,17210
387,2045,276,212,5646,1863,518,1492,1812,443,1627,1484,1916,1490,2638,1181,2373,271,2054,2364,4841,3225,1467,42812,55320,60186,10889,18374,32372,17210
388,2043,280,202,5550,1862,492,1482,1848,429,1626,1479,1995,1496,2612,1153,2400,233,2000,2330,4768,3209,1443,42908,55320,60260,10944,18400,32431,17210
389,2099,299,218,5450,1929,474,1516,1833,429,1610,1462,1893,1574,2620,1168,2346,241,2050,2337,4833,3173,1464,42997,55320,60334,10985,18375,32512,17210
390,2117,275,239,5520,1894,521,1543,1838,449,1668,1421,1909,1550,2662,1139,2375,261,2017,2355,4851,3144,1482,43071,55320,60394,11036,18404,32582,17210
391,2174,261,216,5624,1905,490,1555,1832,451,1655,1440,1934,1616,2589,1175,2384,246,2087,2414,4752,3211,1465,43132,55320,60473,11089,18381,32662,17210
392,2008,288,213,5629,1929,514,1562,1855,425,1668,1420,1936,1554,2626,1180,2419,241,2013,2422,4771,3134,1459,43210,55320,60540,11147,18400,32717,17210
393,2141,292,210,5508,1922,502,1510,1813,413,1649,1443,1923,1570,2538,1192,2380,252,2022,2403,4779,3196,1447,43274,55320,60608,11200,18381,32779,17210
394,2117,288,212,5434,1915,499,1517,1842,451,1616,1449,1952,1577,2538,1164,2400,244,1991,2363,4736,3174,1411,43349,55320,60669,11266,18400,32840,17210
395,2056,255,215,5456,1905,523,1523,1798,448,1621,1449,1913,1595,2574,1121,2397,261,1945,2344,4699,3163,1390,43435,55320,60774,11320,18381,32907,17210
TEST FAILED.
TEST FAILED.
