Time,Bujumbura,Bubanza,Cibitoke,Isale,Muramvya,Kayanza,Mwaro,Rumonge,Bururi,Rutana,Makamba,Gitega,Karuzi,Ruyigi,Cankuzo,Muyinga,Kirundo,Ngozi,Gashoho,Gitega-Ruyigi,Makebuko,Commune of Mabanda,Mahama,Nduta,Nyarugusu,Nakivale,Kigali,Lusenda
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,211,158,905,0,0,148,129,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,177
2,356,378,262,1490,55,27,267,207,24,0,6,23,0,0,0,0,0,0,0,0,0,104,0,0,18,0,0,373
3,563,528,375,2096,118,58,355,326,46,6,14,86,0,0,0,0,0,8,0,1,5,159,0,0,48,0,0,593
4,804,625,467,2664,184,97,452,419,95,14,28,156,0,0,0,0,0,16,0,12,7,203,0,0,82,1,0,854
5,1027,727,564,3202,285,157,554,509,131,27,38,209,0,0,0,0,0,37,1,32,22,223,0,0,126,3,0,1101
6,1255,823,609,3783,373,190,637,584,184,40,52,267,2,1,0,0,0,53,6,61,41,260,0,0,168,4,0,1377
7,1384,936,682,4245,454,250,763,667,219,53,84,392,5,7,0,1,1,85,10,80,48,297,0,0,217,9,0,1676
8,1619,999,762,4664,570,295,785,730,274,84,102,523,10,17,0,5,1,118,22,107,66,340,0,0,270,11,0,1986
9,1766,1092,815,5053,681,368,873,830,325,116,125,615,17,26,2,10,4,127,35,144,97,355,0,1,339,19,0,2320
10,1873,1156,881,5455,799,437,947,950,369,148,151,738,21,37,3,10,5,168,48,205,116,355,0,1,402,25,1,2649
11,2136,1255,951,5726,881,490,983,1038,427,175,172,842,27,54,5,16,7,198,64,258,167,387,0,2,470,37,3,2974
12,2215,1336,997,6104,938,541,1054,1071,492,202,232,1002,35,65,7,26,11,245,81,307,198,446,0,3,532,39,3,3358
13,2311,1376,1067,6446,1040,625,1111,1147,555,252,239,1120,44,74,13,32,12,276,96,375,247,467,1,5,624,48,5,3727
14,2497,1430,1097,6734,1127,687,1186,1220,633,285,266,1256,50,90,13,55,12,323,96,415,308,470,2,8,708,60,8,4094
15,2521,1491,1177,7244,1185,726,1262,1313,670,326,292,1370,60,137,16,66,21,377,115,498,344,479,4,9,806,75,11,4550
16,2721,1507,1184,7602,1297,790,1316,1403,735,380,333,1496,95,140,21,64,28,434,140,549,388,508,6,19,916,88,14,4986
17,2910,1571,1242,8005,1338,817,1343,1504,788,444,340,1642,101,160,29,85,39,488,167,641,423,522,8,27,1023,100,15,5403
18,2975,1700,1309,8239,1458,852,1393,1612,863,472,364,1754,114,190,42,96,48,533,197,724,502,584,11,36,1109,111,16,5886
19,3096,1743,1339,8512,1551,887,1517,1696,971,493,403,1917,128,207,46,101,60,608,224,760,562,619,15,53,1206,119,21,6351
20,3222,1877,1387,9022,1587,983,1579,1835,1042,544,405,2080,151,261,61,108,60,616,274,846,596,667,18,62,1308,134,26,6842
21,3476,1941,1444,9470,1674,1046,1595,1950,1063,610,460,2188,146,296,74,128,64,663,320,953,658,711,21,73,1437,146,31,7343
22,3518,2025,1505,9926,1785,1099,1708,1995,1140,691,500,2360,175,311,87,146,81,741,332,1046,702,713,23,93,1573,157,33,7904
23,3617,2136,1574,10299,1878,1203,1735,2168,1162,751,532,2581,179,328,80,189,86,779,380,1168,747,722,29,106,1700,173,37,8418
24,3835,2206,1641,10605,1941,1322,1775,2264,1257,797,573,2805,210,394,85,208,94,817,395,1222,791,756,35,118,1812,185,52,8950
25,4035,2084,1500,9899,1998,1378,1669,2210,1352,863,619,2958,241,408,106,239,94,891,447,1323,884,662,39,134,1963,205,60,9321
26,3784,1997,1449,9493,2011,1433,1680,2207,1392,961,655,3105,293,454,113,253,125,947,450,1398,948,648,42,146,2073,233,67,9662
27,3574,1904,1428,9235,1957,1426,1647,2213,1420,1032,690,3201,318,476,140,283,123,973,526,1506,1040,611,47,162,2189,255,79,10001
28,3570,1777,1354,8870,1934,1435,1597,2243,1426,1065,744,3279,322,555,147,327,163,1030,543,1597,1103,590,54,179,2307,272,90,10320
29,3449,1679,1259,8583,1979,1421,1571,2293,1435,1076,768,3362,345,622,169,370,171,1085,571,1583,1246,632,65,188,2393,294,103,10618
30,3161,1619,1219,8399,1995,1403,1576,2298,1494,1143,771,3413,372,633,188,404,172,1121,623,1728,1297,600,73,209,2506,323,116,10911
31,3204,3648,2716,17525,1938,1455,3070,3616,1549,1162,777,3564,395,693,195,423,182,1119,660,1796,1346,1267,86,227,2613,342,131,13071
32,6702,2953,2204,14239,2402,1682,2497,3219,1773,1216,865,3941,405,740,207,463,191,1149,716,1898,1410,1032,95,253,2854,370,147,13293
33,5348,2916,2158,13994,2486,1751,2492,3249,1877,1311,909,4129,445,772,226,499,210,1247,695,2040,1475,996,102,282,3052,409,166,13826
34,5285,2702,2009,13020,2639,1860,2377,3115,1984,1399,969,4339,467,810,246,525,208,1328,735,2149,1574,940,108,326,3219,434,184,14257
35,5164,2489,1875,12317,2666,1903,2267,3118,1992,1468,990,4509,487,862,296,569,211,1398,770,2268,1661,876,115,360,3370,468,204,14681
36,4731,2330,1765,11866,2595,1943,2169,3064,2076,1517,1035,4719,514,914,318,617,208,1418,835,2436,1707,834,133,395,3520,502,236,15103
37,4556,2221,1634,11289,2583,1953,2158,3023,2119,1613,1036,4772,555,955,353,638,223,1451,906,2542,1815,785,151,423,3665,524,258,15445
38,4445,2084,1586,10743,2533,1958,2125,2988,2116,1644,1074,4863,596,1007,355,702,249,1501,910,2635,1898,731,170,456,3803,560,276,15784
39,4109,1951,1485,10458,2537,1910,2046,2906,2153,1733,1081,5014,636,1081,371,750,259,1531,944,2680,1969,714,187,491,3921,599,298,16124
40,3943,1912,1420,9954,2501,1917,1928,2924,2096,1799,1102,5096,666,1125,381,797,271,1572,942,2803,2074,679,214,530,4033,629,329,16447
41,3980,2123,1617,10692,2488,1862,2097,3082,2156,1799,1126,5094,702,1199,402,831,285,1654,962,2912,2157,736,227,588,4135,661,354,17012
42,4205,2210,1690,11548,2458,1852,2140,3224,2212,1792,1210,5289,697,1236,422,855,312,1646,1035,2994,2204,822,244,642,4241,690,377,17535
43,4451,2305,1819,12192,2503,1947,2321,3347,2234,1891,1215,5306,745,1275,439,884,330,1609,1067,3100,2245,875,271,685,4350,731,410,18084
44,4644,2476,1901,12647,2664,2054,2428,3525,2291,1937,1245,5370,792,1367,442,914,338,1619,1075,3156,2339,938,297,738,4480,756,434,18613
45,4995,2354,1707,11868,2696,2081,2318,3414,2371,2018,1242,5575,839,1434,448,954,347,1654,1132,3217,2382,904,315,781,4624,786,467,18962
46,4661,2238,1665,11550,2743,2119,2281,3402,2428,2016,1325,5655,836,1477,492,951,348,1677,1178,3292,2463,886,355,822,4775,817,501,19337
47,4424,2155,1641,11341,2647,2106,2220,3363,2482,2092,1328,5762,883,1499,509,950,381,1718,1250,3418,2502,795,378,885,4929,846,525,19666
