Time,Bujumbura,Bubanza,Cibitoke,Isale,Muramvya,Kayanza,Mwaro,Rumonge,Bururi,Rutana,Makamba,Gitega,Karuzi,Ruyigi,Cankuzo,Muyinga,Kirundo,Ngozi,Gashoho,Gitega-Ruyigi,Makebuko,Commune of Mabanda,Mahama,Nduta,Nyarugusu,Nakivale,Kigali,Lusenda
48,4344,2117,1604,10871,2648,2137,2183,3347,2480,2095,1348,5804,875,1566,513,1031,372,1742,1294,3583,2580,767,403,935,5041,878,562,19980
49,4268,2019,1480,10352,2655,2067,2079,3330,2442,2135,1378,5892,863,1599,512,1093,392,1832,1321,3668,2655,753,434,999,5161,914,601,20243
50,4114,1896,1408,9896,2646,2063,1989,3314,2466,2214,1381,6062,891,1608,538,1117,409,1841,1335,3694,2658,781,464,1074,5233,953,640,20489
51,4019,1855,1341,9405,2606,2010,2041,3284,2447,2249,1402,6110,917,1627,571,1199,409,1839,1409,3716,2700,767,494,1122,5328,976,672,20696
52,3850,1745,1306,9121,2524,1989,2001,3292,2397,2244,1440,6119,920,1673,583,1233,430,1857,1434,3871,2736,755,519,1184,5420,998,704,20903
53,3694,1644,1233,8852,2473,1981,1930,3223,2439,2315,1434,6233,959,1687,606,1262,432,1868,1477,3906,2759,721,558,1251,5517,1024,735,21072
54,3543,3031,2336,15375,2436,1956,3003,4196,2457,2306,1464,6247,956,1728,643,1305,441,1850,1493,3950,2823,1199,582,1297,5620,1055,786,22655
55,5992,2621,1985,13307,2762,2136,2674,3784,2681,2336,1523,6420,1019,1794,634,1300,459,1858,1520,3971,2896,1043,610,1350,5795,1082,826,22834
56,5287,2652,2026,13409,2893,2201,2709,3933,2660,2371,1532,6497,1034,1828,657,1328,473,1899,1533,4098,2995,1071,640,1421,5947,1119,859,23377
57,5356,2548,2037,13236,2925,2277,2614,3933,2734,2462,1527,6663,1111,1895,663,1351,505,1895,1537,4139,3069,1071,670,1485,6103,1149,904,23827
58,5188,2419,1889,12594,2989,2271,2509,3812,2809,2468,1618,6857,1130,1945,697,1375,504,1943,1596,4244,3092,1005,700,1537,6263,1195,935,24102
59,4997,2253,1790,11991,2985,2301,2520,3795,2827,2554,1616,6899,1154,1963,722,1414,508,1993,1584,4317,3153,996,735,1609,6393,1231,983,24403
60,4811,3249,2503,16294,2953,2275,3187,4418,2843,2592,1676,7007,1148,2026,735,1484,541,2039,1603,4446,3198,1279,755,1669,6528,1264,1024,25669
61,6331,2802,2214,14399,3174,2422,2922,4165,2979,2705,1701,7222,1215,2052,759,1487,545,2058,1656,4525,3189,1103,792,1734,6736,1314,1067,25948
62,5715,2759,2145,13894,3215,2494,2908,4236,3010,2759,1682,7412,1198,2137,767,1535,555,2100,1687,4646,3230,1071,827,1806,6917,1354,1108,26355
63,5520,2941,2269,15099,3256,2536,3033,4352,3068,2787,1767,7541,1211,2184,810,1581,586,2156,1684,4694,3321,1178,866,1879,7062,1398,1155,27126
64,5892,3100,2372,15737,3386,2552,3171,4568,3088,2739,1836,7666,1254,2220,824,1588,557,2219,1805,4714,3483,1253,907,1967,7226,1446,1211,27817
65,6209,3294,2477,16421,3536,2601,3262,4617,3249,2828,1849,7806,1276,2261,816,1630,550,2291,1839,4831,3559,1332,960,2046,7375,1490,1251,28480
66,6357,3033,2268,15502,3692,2660,3049,4501,3351,2849,1903,8032,1299,2273,822,1659,561,2357,1893,4941,3613,1260,1003,2122,7559,1530,1294,28854
67,6031,3028,2283,15477,3624,2824,3056,4625,3349,2965,1871,8195,1329,2294,849,1677,600,2341,1938,5039,3684,1219,1044,2197,7732,1570,1324,29344
68,6049,3019,2317,15529,3702,2830,3059,4668,3390,3068,1900,8358,1317,2375,888,1751,613,2407,1949,5087,3745,1205,1079,2268,7887,1624,1364,29860
69,6090,2960,2302,15606,3802,2834,3126,4738,3390,3174,1910,8466,1368,2417,889,1794,594,2462,1979,5232,3810,1199,1111,2328,8082,1681,1416,30347
70,6223,2890,2222,14967,3750,2847,3079,4763,3441,3261,1869,8540,1380,2490,939,1819,602,2511,2019,5366,3874,1157,1154,2408,8244,1727,1467,30741
71,6054,2789,2152,14495,3761,2881,3090,4787,3432,3254,1893,8732,1443,2516,987,1863,656,2528,2038,5406,3977,1144,1200,2473,8390,1769,1513,31170
72,5741,2731,2110,14350,3698,2863,3044,4696,3488,3326,1898,8752,1509,2555,1032,1853,663,2608,2059,5555,4084,1169,1237,2555,8520,1817,1560,31563
73,5742,2743,2110,14467,3730,2850,3100,4790,3445,3430,1909,8905,1532,2590,1036,1937,672,2590,2137,5614,4059,1163,1276,2644,8674,1869,1612,32003
74,5828,2669,1979,14197,3642,2888,3025,4696,3501,3398,2012,8964,1609,2671,1044,2021,694,2560,2147,5681,4223,1121,1308,2720,8836,1914,1657,32360
75,5617,2766,2070,14658,3626,2899,3053,4757,3539,3449,2084,9117,1622,2674,1050,2034,672,2568,2249,5795,4254,1156,1363,2822,8966,1952,1719,32888
76,5831,2815,2168,14864,3682,2895,3142,4806,3634,3481,2044,9200,1652,2746,1045,2067,698,2603,2262,5866,4326,1180,1413,2918,9116,1998,1777,33359
77,5834,2693,2080,14474,3692,2858,3070,4793,3675,3502,2065,9290,1687,2818,1048,2157,712,2615,2300,5923,4335,1197,1448,2996,9244,2039,1839,33657
78,5750,2601,2040,14077,3722,2890,2981,4813,3685,3445,2116,9509,1689,2807,1121,2160,725,2606,2306,5977,4395,1148,1501,3073,9394,2079,1905,33979
79,5742,2578,1979,13630,3704,2897,2915,4847,3601,3519,2126,9432,1746,2883,1130,2197,751,2628,2314,6123,4442,1116,1539,3165,9549,2130,1973,34291
80,5453,2509,1923,13340,3699,2826,2966,4784,3627,3503,2166,9553,1754,2947,1150,2271,770,2722,2319,6113,4516,1089,1593,3257,9694,2168,2040,34648
81,5541,2345,1807,12799,3575,2827,2857,4694,3672,3531,2136,9528,1830,3032,1184,2284,792,2703,2423,6208,4588,1056,1631,3339,9825,2220,2098,34875
82,5242,2620,1999,13910,3576,2823,3013,4958,3545,3564,2125,9632,1806,3094,1206,2345,803,2697,2455,6258,4609,1168,1661,3407,9952,2270,2148,35423
83,5491,2736,2151,14683,3608,2887,3182,5035,3612,3655,2100,9595,1817,3079,1236,2452,808,2656,2434,6381,4601,1273,1715,3537,10058,2303,2216,35917
84,5903,2582,1985,14013,3663,2917,3068,4958,3666,3639,2210,9690,1866,3140,1251,2431,814,2607,2519,6490,4620,1258,1779,3613,10194,2340,2268,36169
85,5672,2539,1938,13806,3638,2874,2992,4905,3761,3614,2226,9872,1891,3121,1247,2461,861,2667,2474,6551,4656,1259,1839,3726,10314,2392,2314,36478
86,5479,2459,1857,13495,3707,2897,3010,4852,3801,3686,2227,9799,1916,3211,1222,2481,858,2703,2531,6610,4722,1243,1884,3825,10479,2439,2379,36751
87,5562,2505,1940,13922,3657,2846,3091,5013,3695,3758,2204,9906,1920,3200,1214,2470,832,2705,2643,6772,4761,1213,1949,3944,10636,2494,2461,37146
88,5469,2690,2011,14469,3692,2912,3145,5079,3839,3725,2198,9997,1917,3326,1228,2516,829,2717,2626,6721,4822,1250,2006,4042,10790,2534,2526,37573
89,5857,2710,2060,14742,3719,2933,3266,5086,3853,3757,2216,9959,1965,3294,1254,2539,832,2765,2639,6885,4920,1237,2045,4155,10959,2556,2589,38047
90,6023,2805,2222,15184,3811,2973,3359,5150,3896,3731,2289,10149,1965,3295,1280,2605,833,2770,2675,6900,4920,1247,2106,4251,11108,2610,2660,38466
91,6296,2649,2044,14554,3808,2971,3286,5088,3905,3804,2280,10235,1976,3253,1314,2702,841,2787,2680,7004,4990,1170,2148,4349,11265,2665,2712,38695
92,5910,2597,2017,14260,3802,2994,3286,5105,3865,3850,2293,10261,1958,3399,1289,2747,858,2753,2738,7100,4927,1172,2196,4446,11389,2721,2770,38956
93,5808,3011,2294,16083,3826,2971,3505,5389,3894,3855,2271,10482,1994,3428,1335,2733,875,2805,2763,7035,5036,1290,2245,4549,11535,2782,2812,39585
94,6470,3352,2494,17234,3802,3007,3713,5514,3968,3937,2304,10743,1995,3465,1341,2739,869,2846,2830,7050,5020,1380,2278,4645,11696,2820,2894,40317
95,6874,3117,2287,16217,4012,3116,3633,5378,4023,3916,2366,10806,2028,3486,1357,2758,874,2840,2817,7176,5096,1353,2351,4754,11870,2876,2958,40647
96,6573,3030,2171,15714,4077,3147,3623,5411,4004,4013,2365,10923,2076,3523,1380,2692,901,2909,2858,7253,5061,1341,2397,4870,11995,2927,3017,40998
97,6322,2985,2197,15859,4156,3118,3622,5369,4060,3980,2426,10893,2135,3498,1456,2658,919,2981,2863,7396,5188,1332,2448,4970,12165,2989,3076,41445
98,6410,3036,2148,15601,4232,3174,3619,5467,4045,4031,2452,11005,2126,3477,1470,2778,943,2990,2866,7422,5217,1378,2502,5077,12297,3041,3135,41824
99,6366,2946,2168,15624,4255,3168,3570,5456,4126,4105,2411,11219,2153,3616,1451,2775,935,3061,2927,7471,5136,1365,2547,5178,12495,3104,3206,42186
100,6231,2936,2231,15742,4263,3177,3530,5524,4130,4189,2307,11345,2145,3683,1470,2846,971,3064,2962,7525,5218,1387,2599,5273,12642,3141,3259,42487
101,6409,2809,2075,14971,4203,3221,3462,5437,4172,4161,2357,11316,2137,3763,1440,2855,991,3113,2981,7702,5329,1336,2658,5382,12807,3193,3325,42672
102,6078,2692,2023,14726,4194,3205,3409,5361,4190,4122,2410,11352,2147,3779,1464,2835,968,3088,3107,7815,5473,1331,2709,5478,12965,3233,3392,42952
103,6007,2674,2049,14837,4137,3284,3398,5422,4161,4236,2408,11393,2195,3807,1448,2918,1004,3113,3027,7937,5506,1313,2765,5570,13120,3270,3468,43337
104,5868,2625,1948,14529,4056,3263,3366,5386,4167,4235,2451,11433,2258,3927,1444,2956,1011,3146,3052,7939,5574,1251,2819,5682,13295,3325,3535,43583
105,5898,2499,1845,14008,4037,3237,3244,5310,4207,4243,2444,11663,2284,3916,1506,3002,1034,3190,3086,7848,5596,1225,2859,5802,13399,3368,3603,43771
106,5741,2429,1801,13630,4059,3224,3204,5360,4180,4159,2501,11674,2319,3975,1539,2993,1026,3143,3096,7866,5625,1229,2938,5893,13493,3412,3694,43921
107,5513,2412,1776,13297,4055,3207,3216,5340,4138,4304,2467,11566,2363,3936,1579,2999,1021,3159,3105,7965,5637,1222,2999,6027,13590,3460,3760,44011
108,5609,2560,1809,13505,4027,3146,3295,5314,4149,4275,2570,11712,2365,4031,1608,2993,1034,3190,3137,7901,5596,1247,3058,6130,13702,3513,3835,44310
109,5743,2445,1740,13210,3967,3099,3211,5302,4056,4338,2565,11754,2350,4045,1651,3092,1049,3212,3096,7895,5623,1259,3124,6236,13816,3581,3897,44465
110,5559,2562,1862,13778,3884,3071,3251,5406,4001,4421,2546,11800,2350,3981,1701,3043,1061,3202,3162,8059,5570,1273,3192,6344,13938,3651,3961,44748
111,5670,2482,1791,13124,3961,3105,3205,5341,3984,4401,2532,11907,2367,4014,1738,3118,1089,3180,3147,8023,5591,1243,3244,6449,14066,3699,4034,44872
112,5513,2532,1896,13650,3849,3080,3346,5324,4089,4361,2580,11828,2322,3995,1723,3212,1090,3174,3137,8181,5702,1297,3306,6596,14154,3768,4105,45189
113,5721,2617,1911,14017,3872,3139,3371,5257,4189,4415,2545,11804,2347,4057,1674,3258,1087,3157,3159,8162,5797,1306,3374,6680,14288,3805,4179,45433
114,5914,2680,1977,14146,3978,3209,3398,5318,4182,4449,2516,11791,2359,4092,1683,3268,1086,3154,3198,8222,5767,1294,3455,6779,14445,3850,4258,45775
115,5959,2531,1850,13670,4000,3200,3289,5281,4222,4393,2540,11917,2406,4105,1735,3194,1081,3239,3226,8191,5808,1292,3524,6887,14542,3902,4327,45932
116,5743,2904,2110,14900,3985,3223,3435,5519,4157,4345,2607,11953,2361,4171,1708,3289,1117,3256,3170,8256,5807,1397,3573,6998,14658,3943,4383,46458
117,6174,2724,2019,14012,4071,3302,3267,5462,4134,4403,2621,12088,2364,4209,1689,3344,1171,3200,3206,8279,5776,1314,3616,7110,14817,3994,4457,46603
118,5722,2635,2031,14118,3986,3279,3299,5421,4129,4436,2635,12052,2373,4273,1638,3346,1122,3174,3322,8407,5837,1325,3677,7221,14940,4058,4538,46824
119,5918,2596,1965,13694,4001,3230,3278,5408,4129,4448,2625,12073,2394,4187,1675,3353,1150,3240,3314,8419,6007,1315,3747,7344,15047,4090,4616,46967
120,5804,2541,1923,13528,3938,3254,3245,5433,4195,4440,2614,12139,2465,4233,1695,3323,1190,3185,3393,8466,5951,1322,3794,7432,15179,4147,4666,47182
121,5655,2525,1925,13470,3888,3192,3217,5437,4208,4432,2653,12183,2527,4278,1707,3374,1142,3217,3457,8426,5955,1258,3856,7537,15305,4213,4725,47362
122,5671,2458,1936,13423,3892,3182,3179,5370,4209,4452,2659,12093,2591,4323,1673,3370,1175,3224,3453,8427,6060,1262,3936,7631,15416,4251,4794,47461
123,5576,2401,1848,13092,3903,3112,3162,5327,4282,4469,2606,12148,2602,4376,1715,3451,1169,3273,3447,8479,5975,1257,3991,7712,15487,4303,4878,47540
124,5413,2319,1862,12790,3917,3154,3161,5419,4286,4466,2612,12155,2632,4340,1790,3449,1183,3237,3470,8463,5942,1270,4030,7833,15575,4354,4950,47644
125,5382,2273,1754,12511,3894,3190,3195,5365,4295,4477,2634,12277,2668,4333,1799,3539,1179,3222,3380,8417,6010,1241,4088,7928,15704,4397,5028,47671
126,5211,2280,1789,12505,3880,3197,3147,5387,4286,4478,2613,12205,2728,4341,1799,3503,1194,3138,3468,8461,6115,1239,4142,8022,15805,4458,5090,47802
127,5432,2201,1703,12317,3898,3161,3161,5367,4330,4439,2631,12179,2741,4434,1763,3518,1203,3167,3466,8502,6052,1245,4203,8131,15878,4505,5152,47936
128,5181,2283,1716,12493,3818,3038,3164,5348,4323,4411,2620,12189,2721,4465,1779,3527,1193,3220,3511,8550,6071,1208,4279,8228,15992,4569,5232,48018
129,5437,2146,1636,12042,3744,3066,3031,5289,4213,4457,2682,12373,2696,4478,1790,3533,1209,3241,3508,8554,5982,1195,4335,8347,16079,4618,5305,48161
130,5096,2171,1696,12184,3748,3063,3097,5208,4136,4536,2732,12269,2690,4428,1848,3511,1205,3251,3516,8678,5969,1207,4402,8440,16164,4671,5367,48306
131,5189,2111,1615,11849,3795,3050,3044,5152,4223,4554,2674,12162,2652,4481,1848,3556,1229,3226,3523,8703,6031,1208,4448,8546,16221,4710,5434,48355
132,4867,2136,1584,11915,3753,3037,3020,5123,4274,4535,2680,12316,2646,4458,1837,3619,1252,3221,3494,8609,6046,1229,4491,8666,16309,4762,5509,48441
133,5087,2124,1567,11731,3788,2978,3000,5055,4192,4557,2693,12306,2659,4482,1841,3712,1274,3243,3455,8613,6062,1286,4547,8755,16376,4809,5573,48489
134,4995,2080,1614,11787,3821,2968,3061,5076,4154,4533,2680,12287,2688,4404,1905,3718,1290,3164,3529,8570,6132,1241,4602,8854,16482,4842,5654,48548
135,5035,2106,1596,11727,3776,2972,3097,5107,4233,4599,2555,12305,2700,4514,1853,3773,1274,3139,3587,8534,6058,1202,4650,8937,16586,4893,5711,48585
136,5066,2032,1557,11571,3760,2956,3107,5159,4139,4533,2586,12200,2682,4545,1935,3700,1274,3106,3636,8601,6015,1184,4719,9039,16641,4949,5788,48624
137,4903,2149,1640,12048,3743,2951,3107,5220,4097,4539,2584,12141,2591,4568,1918,3777,1245,3137,3579,8660,6108,1191,4773,9135,16755,5004,5890,48804
138,5131,2078,1590,11750,3706,2939,2996,5030,4238,4555,2580,12204,2625,4673,1872,3773,1272,3176,3647,8683,5970,1173,4818,9239,16832,5028,5941,48832
139,4861,2074,1591,11631,3703,3004,3006,5041,4263,4439,2595,12266,2597,4731,1841,3819,1276,3113,3667,8677,5958,1153,4876,9353,16936,5061,6018,48895
140,4998,2028,1546,11438,3758,2981,3027,5118,4145,4577,2551,12165,2619,4617,1878,3806,1248,3083,3772,8792,5996,1134,4922,9467,17040,5091,6079,48944
141,4872,2042,1509,11315,3671,2914,2984,5116,4090,4526,2573,12105,2707,4622,1911,3729,1281,3182,3689,8808,6114,1178,4996,9550,17092,5136,6171,48937
142,4915,1998,1469,11085,3635,2935,2988,5029,4125,4639,2522,12167,2695,4572,1903,3796,1300,3179,3638,8765,6121,1176,5046,9636,17143,5174,6244,48925
143,4767,1967,1477,10977,3614,2909,2989,5019,4088,4590,2583,12314,2754,4596,1895,3752,1288,3141,3699,8617,6102,1129,5097,9726,17228,5205,6344,48953
144,4732,1927,1441,11081,3601,2821,3000,4982,4144,4435,2590,12255,2736,4567,1906,3793,1283,3148,3735,8687,6133,1172,5140,9840,17273,5237,6420,49002
145,4735,1921,1437,10938,3558,2897,2947,4893,4122,4507,2544,12206,2750,4593,1902,3782,1268,3142,3672,8733,6174,1141,5194,9921,17361,5293,6512,49012
146,4737,1895,1410,10682,3629,2917,2931,4962,4136,4491,2486,12238,2751,4585,1902,3807,1286,3181,3627,8670,6174,1150,5252,10009,17425,5311,6578,49007
147,4718,1827,1359,10602,3600,2874,2892,4969,4114,4453,2559,12370,2732,4579,1962,3759,1311,3204,3644,8521,6154,1136,5317,10104,17496,5341,6673,48997
148,4708,1775,1316,10546,3522,2826,2909,4884,4080,4464,2582,12247,2723,4589,1919,3825,1312,3226,3596,8562,6282,1155,5382,10182,17545,5410,6743,48995
149,4491,1826,1349,10414,3498,2849,2917,4815,4129,4482,2517,12164,2704,4594,1880,3821,1306,3208,3629,8652,6333,1186,5458,10252,17581,5449,6799,49040
150,4542,1821,1374,10223,3486,2821,2875,4814,4093,4503,2497,12112,2724,4661,1894,3828,1307,3238,3617,8636,6233,1202,5521,10330,17630,5472,6876,49051
151,4617,1801,1384,10236,3487,2810,2772,4802,4022,4500,2508,11979,2703,4694,1904,3744,1367,3246,3575,8801,6242,1187,5590,10407,17675,5497,6941,48998
152,4422,1787,1385,10152,3530,2819,2824,4777,4046,4498,2482,12026,2761,4644,1975,3753,1340,3160,3595,8764,6156,1210,5640,10476,17734,5530,7036,48967
153,4538,2448,1824,13222,3455,2842,3325,5159,4000,4533,2455,12000,2719,4654,2027,3745,1344,3155,3611,8752,6181,1407,5690,10546,17780,5575,7090,49594
154,5502,2285,1690,12688,3579,2984,3203,5194,4010,4593,2437,12123,2660,4651,2019,3759,1313,3126,3662,8754,6103,1353,5758,10666,17891,5612,7159,49666
155,5437,2167,1637,12384,3715,3053,3200,5119,4055,4474,2521,12045,2696,4679,1968,3794,1338,3065,3662,8697,6149,1364,5814,10817,17967,5652,7247,49724
156,5233,2101,1626,12229,3741,2995,3199,5079,4090,4409,2565,12057,2725,4695,1974,3828,1369,3157,3630,8600,6188,1264,5854,10939,18096,5686,7321,49790
157,5170,2243,1720,12592,3766,2996,3207,5173,4156,4444,2512,12260,2743,4695,1983,3790,1389,3197,3669,8566,6139,1306,5922,10994,18171,5713,7375,49965
158,5327,2213,1653,12309,3785,3016,3124,5129,4196,4427,2502,12276,2688,4686,1971,3850,1397,3239,3645,8590,6169,1354,5995,11079,18213,5757,7448,50070
159,5248,2213,1698,12642,3814,3040,3124,5121,4201,4453,2521,12211,2722,4600,1981,3827,1364,3177,3735,8668,6237,1365,6050,11156,18312,5769,7535,50209
160,5346,2254,1699,12686,3780,3093,3210,5149,4138,4444,2614,12225,2756,4630,1981,3851,1407,3167,3674,8581,6296,1391,6118,11238,18420,5812,7603,50315
161,5417,2392,1855,13251,3712,3103,3410,5274,4145,4458,2631,12238,2704,4637,2038,3952,1387,3237,3666,8654,6201,1419,6153,11297,18521,5850,7667,50555
162,5571,2536,1916,13580,3813,3091,3488,5335,4085,4576,2634,12226,2735,4749,1982,3929,1378,3280,3658,8612,6257,1457,6239,11364,18602,5892,7753,50843
163,5782,2726,1918,13904,3877,3105,3531,5393,4121,4552,2662,12299,2702,4734,2042,3904,1383,3281,3709,8662,6247,1482,6303,11437,18704,5943,7840,51095
164,6055,2701,2024,14249,3936,3156,3568,5432,4270,4540,2588,12331,2786,4681,2072,3952,1371,3322,3696,8662,6308,1532,6346,11516,18786,5970,7914,51331
165,6051,2653,1977,13803,3966,3176,3439,5474,4283,4597,2566,12409,2801,4744,2108,3934,1364,3405,3703,8712,6287,1528,6411,11555,18918,6013,7973,51478
166,5984,2525,1884,13451,3945,3218,3408,5503,4204,4605,2631,12476,2776,4817,2089,3900,1399,3389,3735,8843,6242,1470,6476,11608,19073,6049,8045,51633
167,5786,2459,1853,13205,4016,3212,3467,5476,4273,4586,2634,12331,2781,4875,2065,3992,1392,3388,3740,8869,6344,1444,6523,11680,19196,6101,8115,51712
168,5596,2382,1820,13055,3939,3266,3333,5506,4230,4601,2623,12555,2766,4827,2094,3944,1356,3364,3833,8969,6239,1430,6577,11767,19317,6141,8188,51799
