Time,Bujumbura,Bubanza,Cibitoke,Isale,Muramvya,Kayanza,Mwaro,Rumonge,Bururi,Rutana,Makamba,Gitega,Karuzi,Ruyigi,Cankuzo,Muyinga,Kirundo,Ngozi,Gashoho,Gitega-Ruyigi,Makebuko,Commune of Mabanda,Mahama,Nduta,Nyarugusu,Nakivale,Kigali,Lusenda
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,209,161,901,0,0,164,132,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,174
2,349,347,257,1576,35,25,268,230,25,0,1,25,0,0,0,0,0,0,0,0,0,88,0,0,9,0,0,355
3,589,511,358,2174,95,58,374,337,57,2,8,63,0,0,0,0,0,6,0,5,1,144,0,0,28,2,0,573
4,828,608,451,2759,201,97,456,421,104,9,30,125,0,0,0,0,0,17,0,14,8,166,0,0,63,4,0,819
5,1041,743,512,3318,267,154,519,513,141,32,41,217,1,0,0,0,0,29,1,32,13,217,0,0,95,6,0,1083
6,1258,847,580,3787,363,209,623,595,203,40,61,272,2,4,0,0,0,54,8,64,35,244,0,0,139,8,0,1374
7,1448,904,656,4273,452,270,722,679,236,64,80,370,5,11,0,1,0,91,11,93,47,287,0,0,181,9,0,1675
8,1565,984,716,4744,557,348,799,767,287,77,114,477,10,17,0,3,4,107,21,132,66,307,0,1,249,12,0,1996
9,1720,1094,787,5137,666,378,826,849,341,111,137,596,16,25,2,8,6,163,26,165,90,338,0,1,309,20,0,2344
10,1857,1205,835,5525,737,459,878,893,405,137,164,737,24,34,4,12,6,184,44,201,117,370,0,2,365,26,1,2728
11,2019,1274,889,5857,866,505,953,979,453,165,178,819,33,55,5,19,9,225,56,265,159,384,0,3,436,33,1,3105
12,2144,1326,959,6201,947,608,980,1097,502,199,189,955,42,62,11,26,11,250,74,297,215,410,0,3,503,43,1,3485
13,2301,1385,1028,6432,1032,639,1025,1141,586,236,232,1089,46,78,16,38,16,321,79,354,260,416,2,7,594,55,3,3924
14,2438,1440,1018,6770,1071,690,1099,1258,627,268,244,1220,50,90,15,49,22,373,95,436,310,442,4,10,670,63,4,4354
15,2483,1506,1088,7199,1152,729,1142,1394,669,330,270,1408,60,107,21,55,23,422,129,475,353,475,4,18,760,76,5,4792
16,2639,1562,1157,7443,1245,789,1228,1464,705,411,310,1538,67,144,22,78,24,465,161,547,392,505,6,24,851,87,8,5288
17,2672,1654,1207,7873,1338,870,1287,1544,792,439,339,1641,100,166,34,76,24,499,190,624,446,512,10,28,961,98,11,5740
18,2887,1721,1311,8135,1394,925,1340,1574,851,485,373,1797,108,188,43,91,41,531,210,704,493,537,12,35,1067,114,13,6210
19,3055,1783,1308,8469,1446,998,1386,1642,912,530,392,1929,130,224,52,101,40,573,234,769,569,549,15,42,1186,124,17,6730
20,3185,1900,1394,8902,1530,1004,1514,1750,995,569,439,2053,146,260,58,113,53,640,258,864,600,558,19,50,1307,139,22,7271
21,3335,1981,1397,9390,1554,1058,1635,1880,1066,636,462,2158,163,300,74,143,58,680,283,960,634,590,19,55,1414,164,26,7866
22,3523,2005,1481,9727,1687,1086,1646,2040,1135,674,486,2350,172,312,86,175,65,714,319,1080,685,661,22,68,1518,178,31,8443
23,3707,2059,1507,10013,1762,1168,1756,2162,1201,732,538,2509,181,349,88,206,76,756,341,1144,759,673,26,83,1663,196,35,9067
24,3770,2095,1613,10418,1828,1209,1842,2247,1292,800,572,2668,211,411,94,206,92,825,359,1229,809,691,32,97,1801,217,43,9674
25,3828,1959,1493,9795,1931,1308,1737,2196,1354,869,624,2767,231,447,116,236,95,874,406,1321,879,661,36,114,1930,234,46,10095
26,3557,1845,1443,9433,1961,1323,1661,2212,1384,932,665,2947,235,461,120,276,98,937,438,1426,968,615,41,131,2061,257,54,10538
27,3519,1774,1293,9042,1939,1359,1590,2230,1404,1002,677,3052,286,500,122,296,102,957,504,1480,1059,568,52,154,2183,277,61,10974
28,3410,1733,1232,8639,1940,1343,1586,2217,1430,1033,725,3069,311,532,154,317,131,1035,535,1589,1119,533,62,178,2303,300,66,11371
29,3198,1720,1177,8318,1892,1396,1515,2230,1426,1113,755,3260,307,606,160,363,134,1016,585,1633,1182,521,74,198,2419,322,74,11736
30,3054,1591,1159,8098,1846,1387,1463,2193,1517,1138,797,3374,363,662,155,382,144,1051,624,1698,1229,482,84,225,2513,356,88,12094
31,2920,3715,2793,17002,1828,1403,3005,3536,1538,1204,806,3403,372,707,188,413,146,1087,644,1835,1284,1134,98,248,2624,380,97,14360
32,6459,2953,2198,13772,2342,1635,2467,3154,1735,1232,923,3719,385,733,203,445,156,1102,693,1921,1348,917,106,283,2850,404,107,14674
33,5160,2794,2124,13441,2512,1755,2443,3107,1841,1319,987,3959,388,742,228,478,176,1168,700,2058,1396,902,119,316,3034,437,120,15358
34,4945,2565,1950,12708,2595,1800,2311,3058,1910,1342,1039,4088,440,781,236,481,193,1259,741,2218,1522,843,133,348,3217,468,128,15889
35,4710,2371,1824,11862,2601,1905,2239,3007,1971,1436,1022,4345,473,845,238,512,202,1315,782,2310,1605,757,151,383,3401,498,143,16446
36,4493,2196,1699,11164,2648,1903,2138,2968,1961,1503,1076,4466,505,895,287,547,209,1396,836,2425,1716,722,164,418,3532,534,158,16941
37,4162,2078,1590,10715,2554,1929,2026,2948,1979,1619,1060,4706,511,953,279,605,209,1425,915,2491,1760,677,179,458,3664,555,179,17420
38,3981,1938,1472,10188,2564,1854,1980,2932,2025,1644,1065,4807,586,947,292,643,216,1514,950,2584,1849,641,197,501,3788,587,199,17848
39,3831,1878,1355,9705,2478,1861,1878,2965,2050,1694,1052,4868,623,995,333,644,248,1473,1005,2728,1921,591,221,532,3917,618,220,18254
40,3630,1758,1301,9272,2426,1833,1827,2884,2083,1790,1042,4904,651,1029,361,735,250,1542,983,2840,1984,587,235,579,4022,648,254,18634
41,3528,1999,1457,10081,2455,1851,2028,3035,2120,1807,1071,4931,679,1114,383,745,274,1524,993,2871,2073,662,259,623,4122,684,282,19282
42,3741,2197,1602,10802,2410,1840,2128,3153,2109,1820,1138,5014,723,1134,383,761,285,1530,1049,2975,2130,694,285,675,4260,728,306,19910
43,4072,2296,1676,11398,2445,1882,2204,3242,2128,1800,1202,5126,742,1228,377,840,312,1581,1037,3045,2214,733,308,720,4415,765,330,20513
44,4344,2415,1779,11850,2534,1923,2382,3323,2184,1844,1213,5233,765,1267,402,864,325,1594,1069,3098,2271,787,330,776,4564,796,354,21194
45,4451,2266,1643,11234,2659,1921,2262,3266,2256,1927,1239,5373,785,1327,406,944,308,1610,1131,3113,2284,743,349,825,4700,843,384,21636
46,4263,2130,1586,10840,2667,1920,2195,3246,2265,1962,1282,5428,836,1314,452,969,332,1607,1157,3277,2323,716,377,882,4835,884,408,22137
47,4184,1990,1523,10378,2662,1927,2079,3186,2323,2001,1290,5635,860,1369,489,1011,336,1657,1145,3356,2370,660,397,941,4977,909,437,22603
48,3900,1904,1487,9997,2659,1922,2072,3189,2314,2072,1270,5744,916,1450,491,1006,352,1679,1198,3438,2417,616,423,999,5111,943,474,23057
49,3671,1809,1395,9657,2553,1879,2022,3044,2366,2154,1278,5767,920,1496,511,1025,351,1733,1264,3521,2510,571,451,1049,5242,978,498,23422
50,3563,1685,1327,9176,2521,1894,1928,2982,2339,2223,1298,5934,902,1512,547,1127,366,1726,1247,3592,2511,497,473,1112,5365,1011,527,23789
51,3464,1551,1238,8795,2491,1907,1867,2939,2290,2280,1319,6015,934,1575,580,1128,376,1678,1276,3603,2549,471,510,1172,5463,1050,561,24129
52,3331,1459,1178,8329,2418,1875,1775,2927,2302,2245,1363,6033,974,1616,570,1188,359,1689,1296,3634,2656,466,554,1243,5554,1104,597,24513
53,3207,1392,1106,8041,2334,1781,1749,2907,2297,2271,1336,6000,995,1643,598,1215,392,1713,1317,3729,2673,460,579,1312,5642,1130,628,24838
54,2998,2828,2195,14555,2336,1746,2752,3913,2258,2232,1344,6026,1007,1688,616,1235,388,1714,1363,3799,2693,921,606,1369,5734,1168,663,26586
55,5394,2403,1847,12457,2662,1908,2442,3590,2469,2199,1401,6096,1024,1689,662,1240,394,1724,1386,3935,2767,786,639,1422,5891,1198,701,26886
56,4755,2380,1886,12595,2692,2041,2445,3753,2491,2237,1407,6331,1067,1703,666,1289,416,1696,1406,3885,2839,778,666,1501,6052,1235,738,27499
57,4721,2369,1813,12367,2715,2118,2479,3628,2590,2306,1422,6496,1055,1807,694,1316,421,1719,1447,3967,2829,800,700,1553,6192,1278,780,28104
58,4667,2164,1700,11500,2826,2143,2316,3632,2589,2329,1440,6581,1106,1844,695,1319,434,1814,1467,4103,2873,744,735,1635,6350,1311,804,28565
59,4362,2066,1614,10873,2821,2192,2241,3566,2558,2377,1454,6657,1125,1870,697,1366,444,1867,1456,4193,2956,695,776,1709,6484,1365,841,29061
60,4112,2991,2333,15085,2826,2180,3073,4220,2611,2406,1445,6711,1155,1920,706,1316,445,1917,1509,4235,2987,1033,807,1811,6616,1413,875,30478
61,5662,2549,1980,13194,3018,2287,2765,3881,2777,2454,1503,6913,1171,1920,720,1355,454,1939,1562,4251,3142,897,849,1898,6812,1461,924,30878
62,4920,2515,1925,12824,3020,2350,2795,3850,2813,2520,1508,7041,1177,1984,740,1401,453,1972,1596,4330,3178,835,882,1979,6990,1496,964,31464
63,4802,2780,2076,13809,3020,2408,2941,4026,2827,2564,1564,7113,1186,2026,778,1415,471,2017,1584,4484,3276,920,925,2040,7158,1545,1011,32294
64,5245,2970,2197,14417,3148,2403,2947,4241,2879,2568,1640,7342,1213,2089,779,1439,462,2079,1623,4566,3212,951,968,2116,7337,1594,1061,33112
65,5526,3151,2275,15125,3318,2497,3028,4331,2932,2643,1691,7514,1208,2125,777,1497,465,2077,1675,4586,3250,1011,1008,2197,7513,1632,1104,33980
66,5836,2879,2078,13899,3430,2585,2924,4223,2930,2771,1709,7612,1256,2128,786,1511,474,2151,1717,4719,3285,898,1049,2291,7732,1678,1144,34542
67,5418,2810,2054,13994,3372,2612,2889,4191,3047,2732,1741,7707,1279,2143,817,1519,473,2168,1779,4846,3399,930,1090,2394,7905,1727,1194,35279
68,5399,2809,2048,13977,3386,2634,2950,4256,3037,2867,1713,7840,1334,2150,793,1566,471,2189,1832,4959,3475,902,1123,2480,8102,1784,1227,36005
69,5343,2813,2014,13964,3465,2661,2974,4295,2996,2958,1750,8038,1352,2178,792,1603,511,2236,1852,5036,3534,921,1159,2569,8275,1828,1256,36734
70,5226,2653,1910,13952,3440,785,2834,4227,3072,2931,1807,8211,1362,2201,851,1603,513,3782,1924,5016,3692,840,1199,2665,8462,1994,1305,37293
71,6660,2430,479,13386,3439,1071,2736,4208,3123,2917,1868,8229,1372,2311,845,1663,550,3555,2060,5119,3745,791,1249,2759,8610,2048,1349,37821
72,5039,2530,591,13580,3429,1008,2880,4349,3088,2987,1831,8372,1328,2363,854,1764,595,3554,2202,5181,3768,829,1303,2858,8755,2125,1386,38487
73,5650,2398,486,13121,3446,978,2823,4237,3170,3018,1870,8508,1395,2398,857,1811,609,3768,2300,5222,3791,792,1354,2966,8933,2228,1450,39050
74,4996,2356,504,12946,3486,1038,2771,4267,3142,3099,1888,8523,1422,2401,894,1865,624,3801,2389,5286,3862,797,1411,3067,9079,2311,1504,39636
75,5552,2255,520,12754,3453,1023,2671,4261,3156,3138,1938,8521,1447,2372,919,1916,663,4165,2495,5442,3947,773,1459,3168,9226,2416,1544,40225
76,5333,2329,543,13046,3458,1054,2754,4266,3204,3165,1941,8537,1517,2399,991,1923,658,4405,2738,5482,3967,763,1508,3266,9357,2529,1597,40858
77,4919,2243,450,12796,3420,1127,2655,4249,3242,3224,1959,8806,1554,2451,977,2046,725,4205,2788,5467,3896,735,1558,3371,9505,2607,1661,41405
78,4841,2176,435,12356,3317,1129,2596,4209,3309,3237,1913,8733,1574,2479,994,2154,783,4114,2818,5593,4001,714,1624,3486,9648,2675,1720,41866
79,4688,2092,397,11920,3307,1072,2551,4145,3250,3263,1969,8772,1565,2529,1007,2137,807,4056,2968,5739,4014,693,1694,3600,9780,2762,1790,42380
80,4451,2055,423,11520,3287,1045,2509,4158,3287,3240,1934,8785,1667,2603,1052,2133,830,4011,3018,5702,4115,676,1750,3708,9916,2843,1864,42818
81,4238,1933,387,11049,3305,1019,2446,4134,3284,3287,1910,8826,1676,2681,1071,2195,897,3785,3020,5763,4066,675,1816,3815,10037,2903,1929,43253
82,4880,1919,413,11450,3238,977,2546,4153,3311,3346,1856,8684,1718,2715,1100,2300,934,4338,2989,5880,4127,693,1889,3912,10165,3024,2006,43746
83,5110,2041,498,11918,3151,1070,2625,4237,3338,3311,1913,8696,1770,2747,1130,2388,969,4695,3103,5852,4169,666,1943,4023,10307,3134,2083,44331
