Time,Lusenda,
0,0,0
1,327,78
2,658,156
3,1038,233
4,1481,312
5,1987,390
6,2487,467
7,2970,546
8,3536,624
9,4120,702
10,4748,780
11,5368,858
12,6018,935
13,6693,1014
14,7380,1092
15,8154,1170
16,8926,1248
17,9714,1326
18,10560,1404
19,11364,1482
20,12266,1560
21,13188,1638
22,14129,1716
23,15128,1794
24,16089,1871
25,16706,1950
26,17210,2028
27,17210,2106
28,17210,2184
29,17210,2262
30,17210,2340
31,17210,2418
32,17210,2496
33,17210,2574
34,17210,2652
35,17210,2730
36,17210,2808
37,17210,2886
38,17210,2964
39,17210,3042
40,17210,3120
41,17210,3198
42,17210,3276
43,17210,3354
44,17210,3432
45,17210,3510
46,17210,3588
47,17210,3666
48,17210,3743
49,17210,3822
50,17210,3900
51,17210,3977
52,17210,4056
53,17210,4134
54,17210,4212
55,17210,4290
56,17210,4368
57,17210,4446
58,17210,4524
59,17210,4602
60,17210,4680
61,17210,4758
62,17210,4836
63,17210,4914
64,17210,4992
65,17210,5070
66,17210,5148
67,17210,5226
68,17210,5304
69,17210,5382
70,17210,5460
71,17210,5538
72,17210,5616
73,17210,5694
74,17210,5772
75,17210,5850
76,17210,5928
77,17210,6006
78,17210,6084
79,17210,6162
80,17210,6240
81,17210,6318
82,17210,6396
83,17210,6474
84,17210,6552
85,17210,6630
86,17210,6708
87,17210,6786
88,17210,6864
89,17210,6942
90,17210,7020
91,17210,7098
92,17210,7176
93,17210,7254
94,17210,7332
95,17210,7208
96,17210,7084
97,17210,6960
98,17210,6837
99,17210,6713
100,17210,6589
101,17210,6465
102,17210,6342
103,17210,6218
104,17210,6094
105,17210,5970
106,17210,5847
107,17210,5723
108,17210,5599
109,17210,5475
110,17210,5352
111,17210,5228
112,17210,5104
113,17210,4980
114,17210,4857
115,17210,4733
116,17210,4609
117,17210,4485
118,17210,4362
119,17210,4238
120,17210,4114
121,17210,3990
122,17210,3867
123,17210,3743
124,17210,3619
125,17210,3496
126,17210,3372
127,17210,3248
128,17210,3124
129,17210,3001
130,17210,2877
131,17210,2753
132,17210,2629
133,17210,2506
134,17210,2382
135,17210,2258
136,17210,2134
137,17210,2011
138,17210,1887
139,17210,1763
140,17210,1639
141,17210,1516
142,17210,1392
143,17210,1268
144,17210,1144
145,17210,1021
146,17210,897
147,17210,773
148,17210,649
149,17210,526
150,17210,402
151,17210,278
152,17210,155
153,17210,488
154,17210,822
155,17210,1156
156,17210,1490
157,17210,1824
158,17210,2158
159,17210,2492
160,17210,2826
161,17210,3160
162,17210,3494
163,17210,3827
164,17210,4161
165,17210,4495
166,17210,4829
167,17210,5163
168,17210,5497
169,17210,5831
170,17210,6165
171,17210,6499
172,17210,6833
173,17210,7166
174,17210,7500
175,17210,7834
176,17210,8168
177,17210,8502
178,17210,8836
179,17210,9170
180,17210,9504
181,17210,9838
182,17210,10172
183,17210,10506
184,17210,10538
185,17210,10570
186,17210,10603
187,17210,10635
188,17210,10668
189,17210,10700
190,17210,10733
191,17210,10765
192,17210,10798
193,17210,10830
194,17210,10863
195,17210,10895
196,17210,10928
197,17210,10960
198,17210,10993
199,17210,11025
200,17210,11058
201,17210,11090
202,17210,11123
203,17210,11155
204,17210,11188
205,17210,11220
206,17210,11252
207,17210,11285
208,17210,11317
209,17210,11350
210,17210,11382
211,17210,11415
212,17210,11447
213,17210,11480
214,17210,11512
215,17210,11545
216,17210,11577
217,17210,11610
218,17210,11642
219,17210,11675
220,17210,11707
221,17210,11740
222,17210,11772
223,17210,11805
224,17210,11837
225,17210,11870
226,17210,11902
227,17210,11934
228,17210,11967
229,17210,11999
230,17210,12032
231,17210,12064
232,17210,12097
233,17210,12129
234,17210,12162
235,17210,12194
236,17210,12227
237,17210,12259
238,17210,12292
239,17210,12324
240,17210,12357
241,17210,12389
242,17210,12422
243,17210,12454
244,17210,12487
245,17210,12519
246,17210,12552
247,17210,12584
248,17210,12617
249,17210,12649
250,17210,12681
251,17210,12714
252,17210,12746
253,17210,12779
254,17210,12811
255,17210,12844
256,17210,12876
257,17210,12909
258,17210,12941
259,17210,12974
260,17210,13006
261,17210,13039
262,17210,13071
263,17210,13104
264,17210,13136
265,17210,13169
266,17210,13201
267,17210,13234
268,17210,13266
269,17210,13299
270,17210,13331
271,17210,13363
272,17210,13396
273,17210,13428
274,17210,13461
275,17210,13493
276,17210,13526
277,17210,13558
278,17210,13591
279,17210,13623
280,17210,13656
281,17210,13688
282,17210,13721
283,17210,13753
284,17210,13786
285,17210,13818
286,17210,13851
287,17210,13883
288,17210,13916
289,17210,13948
290,17210,13981
291,17210,14013
292,17210,14046
293,17210,14167
294,17210,14288
295,17210,14409
296,17210,14530
297,17210,14651
298,17210,14772
299,17210,14805
300,17210,14839
301,17210,14873
302,17210,14907
303,17210,14941
304,17210,14975
305,17210,15009
306,17210,15043
307,17210,15077
308,17210,15111
309,17210,15145
310,17210,15179
311,17210,15213
312,17210,15247
313,17210,15281
314,17210,15315
315,17210,15355
316,17210,15396
317,17210,15436
318,17210,15477
319,17210,15517
320,17210,15558
321,17210,15598
322,17210,15639
323,17210,15679
324,17210,15720
325,17210,15760
326,17210,15801
327,17210,15841
328,17210,15882
329,17210,15922
330,17210,15963
331,17210,16004
332,17210,16030
333,17210,16057
334,17210,16084
335,17210,16111
336,17210,16137
337,17210,16164
338,17210,16191
339,17210,16218
340,17210,16245
341,17210,16271
342,17210,16298
343,17210,16325
344,17210,16352
345,17210,16379
346,17210,16405
347,17210,16432
348,17210,16459
349,17210,16486
350,17210,16513
351,17210,16539
352,17210,16566
353,17210,16593
354,17210,16620
355,17210,16647
356,17210,16673
357,17210,16700
358,17210,16727
359,17210,16754
360,17210,16781
361,17210,16807
362,17210,16834
363,17210,16861
364,17210,16888
365,17210,16915
366,17210,16924
