Time,Nyarugusu,
0,0,0
1,0,3591
2,16,5386
3,40,7182
4,74,8978
5,126,10773
6,180,12569
7,232,14364
8,307,16160
9,383,17956
10,470,19751
11,538,21547
12,611,23342
13,686,25138
14,780,26934
15,877,28949
16,969,30965
17,1068,32980
18,1180,34996
19,1293,37012
20,1415,39400
21,1514,41789
22,1631,44177
23,1753,46566
24,1904,48955
25,2063,49392
26,2201,49829
27,2322,50267
28,2409,50704
29,2502,51141
30,2612,51579
31,2714,51711
32,3036,51843
33,3289,51975
34,3499,52107
35,3677,52239
36,3894,52371
37,4081,52503
38,4268,52635
39,4438,52767
40,4594,52899
41,4746,53059
42,4922,53219
43,5101,53380
44,5286,53540
45,5498,53700
46,5698,53861
47,5885,54021
48,6071,54182
49,6277,54219
50,6466,54256
51,6653,54294
52,6823,54331
53,6974,54369
54,7127,54987
55,7435,55606
56,7643,56225
57,7898,56844
58,8143,57572
59,8354,58300
60,8565,59028
61,8881,59205
62,9130,59383
63,9392,59561
64,9660,59739
65,9931,59917
66,10212,60095
67,10504,60273
68,10783,60451
69,11044,60629
70,11325,61272
71,11589,61916
72,11856,62560
73,12108,64153
74,12355,64889
75,12616,66943
76,12848,69112
77,13095,69196
78,13347,69281
79,13579,69365
80,13835,69450
81,14072,69535
82,14315,71625
83,14543,73715
84,14775,74150
85,15012,74585
86,15221,75020
87,15452,76956
88,15664,77664
89,15883,78372
90,16112,79080
91,16334,79268
92,16569,79457
93,16782,79782
94,17038,80108
95,17303,80219
96,17535,80330
97,17782,80416
98,18008,80502
99,18270,80588
100,18505,80674
101,18782,80760
102,19002,80994
103,19228,81228
104,19449,81463
105,19684,81650
106,19905,81838
107,20108,82025
108,20350,82213
109,20542,82412
110,20758,82611
111,20976,82811
112,21174,83010
113,21390,83209
114,21603,83409
115,21795,84526
116,22000,85295
117,22216,85768
118,22412,86160
119,22608,86572
120,22807,87019
121,22995,87467
122,23194,87915
123,23387,87925
124,23550,88184
125,23719,88444
126,23911,88703
127,24078,88963
128,24244,89223
129,24397,89444
130,24582,89665
131,24746,89935
132,24926,90175
133,25065,90237
134,25215,90300
135,25390,90363
136,25544,90788
137,25718,91213
138,25852,91307
139,25999,91402
140,26153,91777
141,26308,92232
142,26467,92688
143,26599,93144
144,26738,93600
145,26889,94056
146,27003,94512
147,27126,94967
148,27286,95423
149,27446,95879
150,27584,96335
151,27727,96791
152,27862,97247
153,27972,97703
154,28130,98472
155,28254,98877
156,28397,99282
157,28535,99688
158,28696,99944
159,28846,100201
160,29001,100458
161,29121,100715
162,29252,100433
163,29417,100152
164,29567,99870
165,29755,99589
166,29923,99307
167,30081,99026
168,30256,98744
169,30394,98463
170,30564,98181
171,30719,97900
172,30873,97618
173,31036,97337
174,31172,97055
175,31288,96774
176,31426,96492
177,31578,96211
178,31700,95929
179,31845,95648
180,31983,95366
181,32126,95085
182,32285,94803
183,32461,94522
184,32673,94240
185,32875,93959
186,33064,93677
187,33236,93396
188,33381,93114
189,33546,92833
190,33686,92551
191,33827,92270
192,34003,91988
193,34143,91707
194,34301,91356
195,34457,91006
196,34626,90656
197,34791,90305
198,34961,89955
199,35102,89605
200,35252,89254
201,35406,88904
202,35567,88554
203,35691,88354
204,35856,88155
205,36005,87955
206,36154,87756
207,36295,87556
208,36441,87357
209,36568,87158
210,36689,87009
211,36851,86860
212,36968,86712
213,37087,86563
214,37235,86415
215,37381,86474
216,37504,86240
217,37633,86007
218,37778,85774
219,37897,85541
220,38044,85308
221,38188,85362
222,38303,85415
223,38420,85468
224,38570,85516
225,38691,84958
226,38817,84400
227,38931,84442
228,39045,84044
229,39152,83647
230,39257,83702
231,39403,83477
232,39543,83253
233,39671,83029
234,39801,83044
235,39925,83060
236,40052,83092
237,40172,83012
238,40294,83049
239,40397,83086
240,40521,83124
241,40660,83180
242,40782,83214
243,40888,83154
244,40992,83094
245,41093,83034
246,41201,83103
247,41331,83173
248,41461,83217
249,41586,83139
250,41706,83062
251,41814,83078
252,41914,83095
253,42020,83125
254,42114,83156
255,42221,83187
256,42339,83219
257,42435,83251
258,42563,83229
259,42659,83208
260,42768,83186
261,42877,83165
262,42974,83162
