Time,Nyarugusu,
263,43063,83160
264,43198,83158
265,43292,83129
266,43385,83100
267,43481,83071
268,43589,83042
269,43698,83013
270,43789,82697
271,43893,82381
272,43998,82065
273,44077,81940
274,44179,81815
275,44289,81690
276,44379,81565
277,44460,81440
278,44579,81315
279,44674,81356
280,44777,81397
281,44872,80994
282,44997,80591
283,45084,80188
284,45166,79785
285,45276,79382
286,45366,78979
287,45478,78577
288,45571,78174
289,45647,77771
290,45738,77368
291,45811,76965
292,45890,76562
293,45988,76159
294,46080,75757
295,46151,75729
296,46266,75750
297,46352,75755
298,46443,75786
299,46531,75817
300,46639,75853
301,46764,75890
302,46875,75856
303,46970,75822
304,47097,75788
305,47210,75754
306,47307,75776
307,47409,75896
308,47540,76017
309,47631,76078
310,47735,76140
311,47822,76202
312,47923,76153
313,48008,76104
314,48108,76055
315,48233,76006
316,48324,76040
317,48417,76075
318,48488,76110
319,48589,76145
320,48689,76180
321,48779,76132
322,48866,76085
323,48981,76037
324,49068,75990
325,49163,75943
326,49254,75868
327,49349,75794
328,49445,75719
329,49509,75645
330,49592,75571
331,49647,75496
332,49735,75422
333,49824,75347
334,49920,75273
335,50016,75199
336,50095,75193
337,50186,75187
338,50263,75181
339,50345,75175
340,50416,75169
341,50495,75163
342,50562,75098
343,50656,75034
344,50727,74969
345,50803,74905
346,50909,74841
347,50967,74394
348,51046,73947
349,51145,73500
350,51213,73053
351,51280,72937
352,51379,72822
353,51463,72706
354,51536,72591
355,51621,72475
356,51698,72360
357,51778,72244
358,51867,72129
359,51943,72013
360,52006,71898
361,52074,71644
362,52151,71391
363,52244,71138
364,52327,70885
365,52420,70687
366,52519,70489
367,52600,70291
368,52701,70093
369,52790,69796
370,52879,69500
371,52957,69203
372,53001,68907
373,53062,68610
374,53121,68314
375,53217,68050
376,53275,67787
377,53357,67524
378,53433,67261
379,53504,66998
380,53586,66735
381,53653,66582
382,53701,66429
383,53786,66276
384,53855,66123
385,53945,65971
386,54037,65859
387,54109,65748
388,54190,65637
389,54257,65526
390,54335,65415
391,54407,65304
392,54490,65319
393,54589,65334
394,54677,65349
395,54749,65353
