Time,Betou,
0,0,0
1,0,682
2,0,1364
3,52,2046
4,209,2728
5,440,3410
6,720,4092
7,1084,4774
8,1412,5457
9,1755,6139
10,2106,6821
11,2441,7503
12,2751,8185
13,3092,8867
14,3450,9549
15,3694,10232
16,3962,10186
17,4254,10141
18,4663,10096
19,5267,10051
20,5935,10006
21,6648,9961
22,7367,9916
23,8024,9870
24,8688,9825
25,9353,9780
26,9825,9735
27,9825,9690
28,9825,9645
29,9825,9600
30,9825,9554
31,9825,9509
32,9825,9464
33,9825,9419
34,9825,9374
35,9825,9329
36,9825,9284
37,9825,9239
38,9825,9193
39,9825,9148
40,9825,9103
41,9825,9058
42,9825,9013
43,9825,8968
44,9825,8923
45,9825,8877
46,9825,8832
47,9825,8787
48,9825,8742
49,9825,8697
50,9825,8652
51,9825,8607
52,9825,8561
53,9825,8516
54,9825,8471
55,9825,8426
56,9825,8381
57,9825,8336
58,9825,8291
59,9825,8246
60,9825,8200
61,9825,8155
62,9825,8110
63,9825,8065
64,9825,8020
65,9825,7975
66,9825,7930
67,9825,7884
68,9825,7839
69,9825,7794
70,9825,7749
71,9825,7704
72,9825,7659
73,9825,7614
74,9825,7569
75,9825,7523
76,9825,7478
77,9825,7433
78,9825,7388
79,9825,7343
80,9825,7298
81,9825,7253
82,9825,7207
83,9825,7162
84,9825,7117
85,9825,7072
86,9825,7027
87,9825,6982
88,9825,6937
89,9825,6891
90,9825,6846
91,9825,6801
92,9825,6756
93,9825,6711
94,9825,6666
95,9825,6621
96,9825,6576
97,9825,6530
98,9825,6485
99,9825,6440
100,9825,6395
101,9825,6350
102,9825,6305
103,9825,6260
104,9825,6214
105,9825,6169
106,9825,6124
107,9825,6079
108,9825,6034
109,9825,5989
110,9825,5944
111,9825,5899
112,9825,6354
113,9825,6809
114,9825,7265
115,9825,7270
116,9825,7276
117,9825,7282
118,9825,7287
119,9825,7293
120,9825,7299
121,9825,7305
122,9825,7312
123,9825,7320
124,9825,7327
125,9825,7335
126,9825,7342
127,9825,7350
128,9825,7357
129,9825,7365
130,9825,7372
131,9825,7380
132,9825,7387
133,9825,7395
134,9825,7402
135,9825,7410
136,9825,7405
137,9825,7400
138,9825,7396
139,9825,7391
140,9825,7386
141,9825,7382
142,9825,7377
143,9825,7372
144,9825,7368
145,9825,7363
146,9825,7358
147,9825,7354
148,9825,7349
149,9825,7344
150,9825,7340
151,9825,7340
152,9825,7341
153,9825,7342
154,9825,7343
155,9825,7343
156,9825,7344
157,9825,7345
158,9825,7346
159,9825,7354
160,9825,7363
161,9825,7372
162,9825,7381
163,9825,7390
164,9825,7399
165,9825,7408
166,9825,7412
167,9825,7417
168,9825,7421
169,9825,7426
170,9825,7430
171,9825,7435
172,9825,7439
173,9825,7444
174,9825,7448
175,9825,7453
176,9825,7458
177,9825,7459
178,9825,7461
179,9825,7463
180,9825,7465
181,9825,7467
182,9825,7472
183,9825,7478
184,9825,7484
185,9825,7490
186,9825,7496
187,9825,7502
188,9825,7508
189,9825,7513
190,9825,7519
191,9825,7525
192,9825,7531
193,9825,7537
194,9825,7543
195,9825,7549
196,9825,7554
197,9825,7560
198,9825,7566
199,9825,7572
200,9825,7578
201,9825,7584
202,9825,7590
203,9825,7595
204,9825,7601
205,9825,7607
206,9825,7613
207,9825,7619
208,9825,7625
209,9825,7631
210,9825,7637
211,9825,7642
212,9825,7648
213,9825,7654
214,9825,7660
215,9825,7666
216,9825,7672
217,9825,7678
218,9825,7683
219,9825,7689
220,9825,7695
221,9825,7701
222,9825,7707
223,9825,7713
224,9825,7719
225,9825,7724
226,9825,7730
227,9825,7736
228,9825,7742
229,9825,7748
230,9825,7754
231,9825,7760
232,9825,7766
233,9825,7768
234,9825,7770
235,9825,7772
236,9825,7774
237,9825,7776
238,9825,7778
239,9825,7780
240,9825,7782
241,9825,7784
242,9825,7786
243,9825,7788
244,9825,7790
245,9825,7792
246,9825,7801
247,9825,7811
248,9825,7820
249,9825,7830
250,9825,7839
251,9825,7849
252,9825,7858
253,9825,7868
254,9825,7877
255,9825,7887
256,9825,7896
257,9825,7906
258,9825,7915
259,9825,7925
260,9825,7934
261,9825,7944
262,9825,7953
263,9825,7963
264,9825,7972
265,9825,7982
266,9825,7991
267,9825,8001
268,9825,8010
269,9825,8020
270,9825,8029
271,9825,8039
272,9825,8048
273,9825,8058
274,9825,8063
275,9825,8069
276,9825,8075
277,9825,8080
278,9825,8086
279,9825,8092
280,9825,8097
281,9825,8103
282,9825,8109
283,9825,8115
284,9825,8120
285,9825,8126
286,9825,8132
287,9825,8137
288,9825,8143
289,9825,8149
290,9825,8154
291,9825,8160
292,9825,8166
293,9825,8172
294,9825,8177
295,9825,8183
296,9825,8189
297,9825,8194
298,9825,8200
299,9825,8206
300,9825,8211
301,9825,8217
302,9825,8223
303,9825,8229
304,9825,8234
305,9825,8239
306,9825,8244
307,9825,8249
308,9825,8254
309,9825,8259
310,9825,8264
311,9825,8269
312,9825,8274
313,9825,8279
314,9825,8284
315,9825,8290
316,9825,8293
317,9825,8297
318,9825,8300
319,9825,8304
320,9825,8307
321,9825,8311
322,9825,8314
323,9825,8318
324,9825,8321
325,9825,8325
326,9825,8328
327,9825,8332
328,9825,8335
329,9825,8339
330,9825,8342
331,9825,8346
332,9825,8349
333,9825,8353
334,9825,8357
335,9825,8368
336,9825,8380
337,9825,8392
338,9825,8404
339,9825,8416
340,9825,8428
341,9825,8440
342,9825,8452
343,9825,8464
344,9825,8476
345,9825,8488
346,9825,8500
347,9825,8512
348,9825,8524
349,9825,8536
350,9825,8547
351,9825,8559
352,9825,8571
353,9825,8583
354,9825,8595
355,9825,8607
356,9825,8619
357,9825,8631
358,9825,8643
359,9825,8655
360,9825,8667
361,9825,8679
362,9825,8691
363,9825,8703
364,9825,8715
365,9825,8714
366,9825,8714
367,9825,8714
368,9825,8713
369,9825,8713
370,9825,8713
371,9825,8713
372,9825,8712
373,9825,8712
374,9825,8712
375,9825,8712
376,9825,8711
377,9825,8711
378,9825,8711
379,9825,8711
380,9825,8710
381,9825,8710
382,9825,8710
383,9825,8710
384,9825,8709
385,9825,8709
386,9825,8709
387,9825,8709
388,9825,8708
389,9825,8708
390,9825,8708
391,9825,8708
392,9825,8707
393,9825,8707
394,9825,8707
395,9825,8707
396,9825,8706
397,9825,8706
398,9825,8706
399,9825,8706
400,9825,8705
401,9825,8705
402,9825,8705
403,9825,8705
404,9825,8704
405,9825,8704
406,9825,8704
407,9825,8704
408,9825,8703
409,9825,8703
410,9825,8703
411,9825,8703
412,9825,8702
413,9825,8702
414,9825,8702
415,9825,8702
416,9825,8701
417,9825,8701
418,9825,8701
419,9825,8701
420,9825,8700
421,9825,8700
422,9825,8700
423,9825,8700
424,9825,8699
425,9825,8699
426,9825,8699
427,9825,8699
428,9825,8698
429,9825,8698
430,9825,8698
431,9825,8698
432,9825,8697
433,9825,8697
434,9825,8697
435,9825,8697
436,9825,8696
437,9825,8696
438,9825,8696
439,9825,8696
440,9825,8695
441,9825,8695
442,9825,8695
443,9825,8695
444,9825,8694
445,9825,8694
446,9825,8694
