Time,Adamaoua,
405,41668,15955
406,41747,15955
407,41811,15903
408,41906,15851
409,41987,15800
410,42029,15748
411,42086,15696
412,42156,15645
413,42200,15593
414,42245,15541
415,42299,15490
416,42373,15438
417,42412,15386
418,42474,15335
419,42528,15283
420,42586,15231
421,42612,15180
422,42688,15128
423,42752,15076
424,42797,15025
425,42861,14973
426,42926,14922
427,42975,15575
428,43024,16228
429,43077,16881
430,43117,17534
431,43201,18187
432,43241,18841
433,43288,19494
434,43340,20147
435,43390,20800
436,43451,21453
437,43501,22106
438,43535,22760
439,43583,23413
440,43602,24066
441,43649,24719
442,43685,25372
443,43740,26025
444,43782,26679
445,43843,27332
446,43881,27985
447,43937,28638
448,43974,29291
449,44002,29944
450,44044,30598
451,44103,31251
452,44158,31904
453,44207,32557
454,44257,33210
455,44290,33863
456,44310,34517
457,44364,35170
458,44381,35823
459,44421,36476
460,44486,37129
461,44543,37782
462,44562,38436
463,44598,39089
464,44621,39742
465,44646,40395
466,44688,41048
467,44743,41701
468,44799,42355
469,44826,43008
470,44848,43661
471,44898,44314
472,44938,44967
473,44975,45620
474,45014,46274
475,45047,46927
476,45098,47580
477,45148,48233
478,45193,48886
479,45217,49539
480,45250,50193
481,45288,50846
482,45307,51499
483,45362,52152
484,45394,52805
485,45442,53458
486,45477,54112
487,45517,54765
488,45575,55418
489,45705,56071
490,45829,56724
491,46028,57377
492,46252,58031
493,46528,58684
494,46781,59337
495,47084,59990
496,47397,60643
497,47769,61297
498,48164,61296
499,48511,61295
500,48881,61295
501,49220,61294
502,49592,61293
503,49944,61293
504,50253,61292
505,50511,61292
506,50838,61291
507,51094,61290
508,51350,61290
509,51604,61289
510,51898,61288
511,52135,61288
512,52361,61287
513,52615,61287
514,52877,61286
515,53119,61285
516,53343,61285
517,53547,61284
518,53738,61284
519,53940,61292
520,54127,61300
521,54278,61308
522,54429,61316
523,54600,61325
524,54768,61333
525,54945,61341
526,55113,61349
527,55266,61357
528,55416,61366
529,55572,61374
530,55690,61382
531,55836,61390
532,55971,61399
533,56111,61407
534,56225,61415
535,56367,61423
536,56518,61431
537,56656,61440
538,56806,61448
539,56923,61456
540,57037,61464
541,57142,61472
542,57350,61481
543,57550,61489
544,57736,61497
545,57879,61505
546,58054,61514
547,58215,61658
548,58407,61803
549,58576,61948
550,58732,62092
551,58879,62237
552,59058,62382
553,59196,62526
554,59324,62671
555,59489,62816
556,59683,62960
557,59845,63105
558,60005,63250
559,60192,63275
560,60390,63300
561,60563,63325
562,60783,63351
563,60944,63376
564,61119,63401
565,61271,63427
566,61458,63452
567,61625,63477
568,61802,63503
569,61968,63528
570,62166,63553
571,62302,63579
572,62495,63604
573,62595,63629
574,62805,63655
575,62950,63652
576,63136,63650
577,63276,63647
578,63462,63645
579,63574,63642
580,63743,63640
581,63878,63638
582,64062,63634
583,64190,63630
584,64378,63627
585,64532,63637
586,64738,63647
587,64904,63657
588,65107,63667
589,65227,63677
590,65413,63687
591,65556,63697
592,65716,63707
593,65860,63717
594,66035,63727
595,66132,63737
596,66312,63747
597,66418,63757
598,66598,63767
599,66688,63767
600,66858,63767
601,66976,63767
602,67137,63767
603,67275,63767
604,67399,63767
605,67508,63767
606,67612,63767
607,67759,63767
608,67902,63749
609,68062,63732
610,68226,63731
611,68385,63730
612,68514,63729
613,68668,63729
614,68824,63728
615,68977,63727
616,69134,63726
617,69238,63726
618,69388,63725
619,69460,63724
620,69604,63723
621,69721,63723
622,69871,63722
623,69969,63721
624,70131,63721
625,70231,63718
626,70398,63716
627,70553,63714
628,70741,63711
629,70889,63709
630,71067,63707
631,71258,63704
632,71458,63702
633,71506,63700
634,71506,63697
635,71506,63695
636,71506,63693
637,71506,63691
638,71506,63698
639,71506,63705
640,71506,63712
641,71506,63720
642,71506,63727
643,71506,63734
644,71506,63741
645,71506,63749
646,71506,63753
647,71506,63757
648,71506,63762
649,71506,63766
650,71506,63771
651,71506,63775
652,71506,63780
653,71506,63784
654,71506,63789
655,71506,63793
656,71506,63798
657,71506,63802
658,71506,63807
659,71506,63808
660,71506,63810
661,71506,63811
662,71506,63813
663,71506,63814
664,71506,63816
665,71506,63817
666,71506,63819
667,71506,63820
668,71506,63822
669,71506,63823
670,71506,63825
671,71506,63826
672,71506,63828
673,71506,63829
674,71506,63831
675,71506,63832
676,71506,63834
677,71506,63835
678,71506,63837
679,71506,63838
680,71506,63840
681,71506,63841
682,71506,63843
683,71506,63845
684,71506,63845
685,71506,63845
686,71506,63845
687,71506,63845
688,71506,63845
689,71506,63845
690,71506,63928
691,71506,64012
692,71506,64096
693,71506,64180
694,71506,64176
695,71506,64173
696,71506,64170
697,71506,64167
698,71506,64163
699,71506,64160
700,71506,64157
701,71506,64154
702,71506,64151
703,71506,64151
704,71506,64151
705,71506,64151
706,71506,64151
707,71506,64151
708,71506,64151
709,71506,64151
710,71506,64151
711,71506,64151
712,71506,64151
713,71506,64151
714,71506,64151
715,71506,64151
716,71506,64151
717,71506,64151
718,71506,64151
719,71506,64151
720,71506,64151
721,71506,64151
722,71506,64151
723,71506,64151
724,71506,64151
725,71506,64157
726,71506,64164
727,71506,64170
728,71506,64177
729,71506,64356
730,71506,64535
731,71506,64714
732,71506,64894
733,71506,64994
734,71506,65094
735,71506,65194
736,71506,65294
737,71506,65394
738,71506,65494
739,71506,65594
740,71506,65694
741,71506,65794
742,71506,65894
743,71506,65994
744,71506,66094
745,71506,66194
746,71506,66294
747,71506,66394
748,71506,66494
749,71506,66594
750,71506,66694
751,71506,66794
752,71506,66894
753,71506,66994
754,71506,67094
755,71506,67194
756,71506,67294
757,71506,67394
758,71506,67494
759,71506,67594
760,71506,67695
761,71506,67694
762,71506,67694
763,71506,67693
764,71506,67693
765,71506,67693
766,71506,67692
767,71506,67692
768,71506,67691
769,71506,67691
770,71506,67691
771,71506,67690
772,71506,67690
773,71506,67690
774,71506,67689
775,71506,67689
776,71506,67688
777,71506,67688
778,71506,67688
779,71506,67687
780,71506,67687
781,71506,67687
782,71506,68005
783,71506,68324
784,71506,68642
785,71506,68961
786,71506,69279
787,71506,69598
788,71506,69916
789,71506,70235
790,71506,70553
791,71506,70872
792,71506,70886
793,71506,70901
794,71506,70916
795,71506,70930
796,71506,70945
797,71506,70960
798,71506,70975
799,71506,70989
800,71506,71004
801,71506,71019
802,71506,71034
803,71506,71048
804,71506,71063
805,71506,71078
806,71506,71093
807,71506,71107
808,71506,71122
809,71506,71137
810,71506,71152
811,71506,71166
812,71506,71181
813,71506,71196
814,71506,71211
815,71506,71225
816,71506,71240
817,71506,71255
818,71506,71270
819,71506,71284
