Time,Mahama,
0,0,0
1,0,773
2,0,1547
3,0,2321
4,0,3094
5,0,3868
6,0,4642
7,0,5415
8,0,6189
9,0,6963
10,0,7736
11,1,8510
12,2,9284
13,3,10057
14,3,10831
15,4,11605
16,5,12378
17,7,13152
18,12,13926
19,13,14699
20,19,15473
21,25,16247
22,32,17020
23,40,17794
24,46,18568
25,60,19341
26,69,20115
27,81,20889
28,90,21662
29,104,22436
30,113,23210
31,130,23984
32,145,24212
33,162,24441
34,177,24670
35,208,24899
36,222,25127
37,248,25356
38,277,25585
39,302,25814
40,330,26042
41,359,26271
42,386,26500
43,420,26729
44,456,26958
45,492,27024
46,526,27091
47,580,27158
48,620,27224
49,667,27291
50,711,27358
51,748,27424
52,790,27491
53,848,27558
54,901,27625
55,967,27841
56,1015,28057
57,1066,28274
58,1122,28490
59,1180,28707
60,1246,28980
61,1318,29254
62,1382,29410
63,1446,29441
64,1521,29472
65,1590,29504
66,1655,29563
67,1735,29623
68,1831,29719
69,1913,29816
70,2017,29866
71,2086,29916
72,2163,29966
73,2239,30016
74,2319,30066
75,2426,30116
76,2514,30166
77,2634,30216
78,2729,30266
79,2818,30316
80,2930,30367
81,3052,30647
82,3162,30701
83,3296,30756
84,3401,30810
85,3534,30865
86,3648,30920
87,3772,30974
88,3909,31029
89,4058,31084
90,4206,31114
91,4336,31145
92,4477,31176
93,4599,31206
94,4746,31237
95,4905,31268
96,5051,31299
97,5208,31329
98,5365,31360
99,5538,31391
100,5689,31422
101,5861,32524
102,6014,32794
103,6182,32878
104,6344,33431
105,6506,33977
106,6661,34523
107,6839,35070
108,7011,35710
109,7183,36231
110,7351,36753
111,7518,37643
112,7695,38334
113,7846,39025
114,8024,39717
115,8219,40157
116,8385,41176
117,8560,42172
118,8724,42268
119,8879,42364
120,9068,42460
121,9246,42557
122,9427,42653
123,9602,42749
124,9771,42845
125,9952,42942
126,10143,43038
127,10301,43134
128,10498,43230
129,10658,43327
130,10828,43430
131,10991,43534
132,11146,43567
133,11324,43600
134,11482,43633
135,11655,43667
136,11828,43716
137,11979,43741
138,12146,43779
139,12306,43817
140,12443,43856
141,12605,43894
142,12750,43932
143,12927,43971
144,13077,44010
145,13237,44050
146,13390,44090
147,13529,44124
148,13686,44159
149,13842,44193
150,13975,44228
151,14117,44330
152,14240,44182
153,14394,44035
154,14511,43887
