Time,East,
0,0,0
1,0,36
2,0,72
3,31,108
4,119,145
5,256,181
6,445,217
7,671,253
8,859,290
9,1108,326
10,1356,362
11,1574,398
12,1807,435
13,2023,471
14,2232,507
15,2446,544
16,2657,580
17,2912,616
18,3257,652
19,3694,689
20,4207,725
21,4653,761
22,5194,797
23,5755,834
24,6275,870
25,6819,906
26,7343,943
27,7823,979
28,8300,1015
29,8790,1051
30,9198,1088
31,9613,1124
32,10211,1160
33,10829,1196
34,11444,1233
35,12035,1269
36,12575,1305
37,13076,1342
38,13579,1378
39,14077,1414
40,14535,1450
41,15047,1487
42,15516,1523
43,15962,1559
44,16388,1595
45,16809,1632
46,17215,1668
47,17627,1704
48,18020,1741
49,18427,1777
50,18794,1813
51,19194,1849
52,19573,1886
53,19968,1922
54,20320,1958
55,20715,1994
56,21104,2031
57,21493,2067
58,21856,2103
59,22180,2139
60,22513,2176
61,22863,2212
62,23209,2248
63,23583,2285
64,23891,2321
65,24254,2357
66,24597,2393
67,24888,2430
68,25237,2466
69,25539,2502
70,25844,2538
71,26185,2575
72,26468,2611
73,26754,2647
74,27072,2684
75,27351,2720
76,27668,2756
77,27961,2792
78,28235,2829
79,28522,2865
80,28784,2901
81,29040,2937
82,29316,2974
83,29577,3010
84,29820,3046
85,30056,3083
86,30300,3119
87,30598,3155
88,30849,3191
89,31113,3228
90,31382,3264
91,31610,3300
92,31887,3336
93,32141,3373
94,32382,3409
95,32621,3445
96,32817,3482
97,33048,3518
98,33289,3554
99,33551,3590
100,33783,3627
101,34036,3663
102,34275,3699
103,34532,3735
104,34747,3772
105,34976,3808
106,35203,3844
107,35450,3881
108,35651,11602
109,35883,11712
110,36122,11823
111,36434,11933
112,36730,12044
113,37008,12155
114,37276,12265
115,37573,12376
116,37857,12487
117,38137,12597
118,38400,12708
119,38670,12819
120,38936,12929
121,39191,13040
122,39420,13151
123,39649,13261
124,39881,13372
125,40124,13483
126,40372,13483
127,40630,13483
128,40871,13483
129,41123,13483
130,41408,13483
131,41660,13483
132,41894,13483
133,42153,13483
134,42390,13483
135,42600,13721
136,42835,13960
137,43102,14199
138,43372,14438
139,43599,14677
140,43802,14916
141,44015,15155
142,44243,15394
143,44458,15633
144,44669,15872
145,44878,16111
146,45100,16338
147,45377,16566
148,45643,16794
149,45896,17022
150,46154,17249
151,46416,17477
152,46695,17705
153,46956,17933
154,47188,18161
155,47422,18388
156,47635,18616
157,47861,18844
158,48071,19072
159,48283,19299
160,48479,19527
161,48731,19755
162,48940,19983
163,49147,20211
164,49387,20438
165,49584,20666
166,49750,20894
167,49958,21122
168,50156,21349
169,50359,21577
170,50564,21805
171,50765,22033
172,50933,22261
173,51128,22488
174,51346,22716
175,51512,22944
176,51729,23172
177,51887,23399
178,52078,23627
179,52268,23855
180,52466,24083
181,52629,24311
182,52790,24538
183,52983,24766
184,53143,24994
185,53314,25222
186,53485,25449
187,53661,25677
188,53828,25905
189,54014,26133
190,54209,26361
191,54433,26588
192,54619,26816
193,54831,27044
194,54992,27272
195,55147,27499
196,55305,27727
197,55457,27955
198,55655,28183
199,55831,28411
200,55989,28638
201,56128,28866
202,56294,29094
203,56465,29322
204,56632,29549
205,56804,29777
206,56989,30005
207,57195,30233
208,57414,30461
209,57674,30841
210,57917,31221
211,58161,31601
212,58405,31981
213,58664,32361
214,58941,32741
215,59202,33121
216,59443,33501
217,59703,33881
218,59946,34261
219,60188,34641
220,60405,35021
221,60617,35401
222,60806,35781
223,61011,36161
224,61254,36541
225,61444,36921
226,61661,37301
227,61899,37681
228,62115,38061
229,62305,38441
230,62529,38821
231,62737,39201
232,62950,39581
233,63150,39961
234,63379,40341
235,63653,40721
236,64017,41101
237,64461,41481
238,64941,41862
239,65505,42043
240,66131,42224
241,66744,42405
242,67386,42586
243,68045,42767
244,68677,42948
245,69288,43130
246,69897,43149
247,70499,43168
248,71098,43187
249,71695,43206
250,72206,43225
251,72789,43244
252,73342,43264
253,73933,43359
254,74443,43455
255,74966,43551
256,75463,43646
257,75942,43742
258,76438,43838
259,76885,43934
260,77341,43972
261,77797,44010
262,78224,44049
263,78680,44087
264,79134,44126
265,79539,44164
266,80011,44203
267,80433,44277
268,80902,44352
269,81320,44426
270,81711,44501
271,82105,44575
272,82530,44650
273,82973,44725
274,83405,44738
275,83836,44752
276,84244,44765
277,84687,44779
278,85068,44792
279,85475,44806
280,85838,44819
281,86228,44833
282,86616,44846
283,87037,44860
284,87420,44873
285,87797,44887
286,88165,44900
287,88511,44914
288,88907,44927
289,89283,44941
290,89625,44954
291,89989,44968
292,90313,44981
293,90696,44995
294,91092,45009
295,91413,44786
296,91792,44563
297,92132,44341
298,92471,44118
299,92826,43896
300,93211,43673
301,93583,43451
302,93910,43512
303,94228,43574
304,94545,43636
305,94872,43697
306,95212,43759
307,95549,43821
308,95875,43883
309,96195,47030
310,96491,50177
311,96801,53325
312,97106,56472
313,97415,59620
314,97719,62767
315,97993,65915
316,98334,69062
317,98685,72209
318,99031,75357
319,99397,78504
320,99777,81652
321,100248,84799
322,100693,87947
323,101173,88237
324,101736,88527
325,102240,88817
326,102767,89107
327,103255,89397
328,103802,89687
329,104302,89977
330,104830,90267
331,105253,90557
332,105715,90847
333,106147,91137
334,106578,91428
335,107011,91472
336,107457,91516
337,107864,91560
338,108337,91604
339,108785,91648
340,109278,91692
341,109765,91737
342,110217,91768
343,110630,91800
344,111053,91832
345,111503,91863
346,111959,91895
347,112372,91927
348,112828,91958
349,113222,91990
350,113666,92022
351,114103,91985
352,114529,91949
353,114951,91913
354,115368,91877
355,115801,91841
356,116195,91805
357,116587,91769
358,116951,91792
359,117363,91816
360,117783,91839
361,118141,91863
362,118514,91886
363,118886,91910
364,119208,91933
365,119578,91957
366,119960,91980
367,120318,92004
368,120688,92027
369,121024,92051
370,121400,92074
371,121767,92098
372,122085,92096
373,122486,92094
374,122852,92092
375,123172,92090
376,123511,92088
377,123841,92086
378,124185,92084
379,124571,92084
380,124890,92084
381,125243,92084
382,125562,92084
383,125912,92084
384,126277,92084
385,126624,92084
386,126985,92084
387,127260,92084
388,127606,92084
389,127926,92084
390,128209,92084
391,128482,92084
392,128790,92084
393,129061,92084
394,129371,92084
395,129709,92084
396,130028,92084
397,130345,92084
398,130592,92084
399,130883,92084
400,131157,92084
401,131442,92084
402,131759,92084
403,132004,92084
404,132284,92084
405,132548,92084
406,132844,92084
407,133093,92218
408,133387,92352
409,133631,92486
410,133867,92620
411,134166,92754
412,134394,92888
413,134641,93022
414,134901,93156
415,135159,93290
416,135420,93424
417,135707,93558
418,135924,93692
419,136179,93826
420,136419,93960
421,136649,94094
422,136870,94228
423,137059,94362
424,137268,94496
425,137573,94630
426,137800,94765
427,138031,94810
428,138263,94855
429,138491,94900
430,138727,94946
431,138992,94991
432,139217,95036
433,139448,95081
434,139698,95127
435,139917,95172
436,140109,95217
437,140310,95262
438,140488,95308
439,140753,95353
440,140988,95398
441,141213,95444
442,141420,95451
443,141611,95459
444,141820,95467
445,141978,95475
446,142196,95483
447,142409,95491
448,142596,95499
449,142812,95506
450,143030,95514
451,143228,95522
452,143417,95530
453,143626,95538
454,143825,95546
455,144021,95554
456,144247,96915
457,144439,98276
458,144659,99637
459,144853,100998
460,145046,102359
461,145246,103720
462,145428,105081
463,145578,106442
464,145804,107803
465,145986,109164
466,146167,110525
467,146349,111886
468,146547,113247
469,146690,114608
470,146892,115969
471,147126,117330
472,147315,118691
473,147504,120052
474,147673,121413
475,147848,122774
476,147987,124135
477,148176,125496
478,148367,126857
479,148543,128218
480,148703,129579
481,148852,130940
482,149000,132301
483,149171,133662
484,149353,135023
485,149512,136384
486,149615,137745
487,149765,139106
488,149989,140467
489,150283,141828
490,150601,143189
491,150953,144550
492,151374,145911
493,151841,147272
494,152377,148633
495,152908,149994
496,153541,151355
497,154255,152717
498,155010,152802
499,155653,152888
500,156292,152974
501,157006,153060
502,157684,153146
503,158408,153231
504,159148,153317
505,159817,153403
506,160527,153489
507,161200,153575
508,161824,153660
509,162484,153746
510,163133,153832
511,163823,153918
512,164472,154004
513,165105,154089
514,165774,154175
515,166426,154261
516,167078,154347
517,167736,154433
518,168399,154519
519,169056,154555
520,169676,154592
521,170332,154628
522,170926,154665
523,171517,154701
524,172064,154738
525,172663,154775
526,173231,154811
527,173836,154848
528,174382,154884
529,174953,154921
530,175492,154957
531,176053,154994
532,176639,155031
533,177149,155067
534,177701,155104
535,178273,155140
536,178820,155177
537,179308,155213
538,179850,155250
539,180377,155287
540,180726,155323
541,180547,155360
542,180594,155396
543,180564,155433
544,180606,155469
545,180515,155506
546,180626,155543
547,180521,155851
548,180634,156160
549,180525,156468
550,180617,156777
551,180540,157085
552,180602,157394
553,180537,157702
554,180625,158011
555,180508,158319
556,180645,158628
