Time,Brazaville,
0,0,0
1,0,-1507
2,0,-1494
3,0,-1480
4,0,-1466
5,0,-1453
6,0,-1439
7,0,-1425
8,4,-1412
9,10,-1398
10,15,-1384
11,22,-1370
12,29,-1357
13,35,-1343
14,44,-1329
15,51,-1316
16,63,-1302
17,71,-1288
18,79,-1275
19,94,-1261
20,107,-1247
21,119,-1233
22,132,-1220
23,144,-1206
24,164,-1192
25,189,-1179
26,209,-1165
27,235,-1151
28,258,-1138
29,281,-1124
30,312,-1110
31,334,-1096
32,358,-1083
33,388,-1069
34,409,-1055
35,449,-1042
36,485,-1028
37,521,-1014
38,558,-1001
39,600,-987
40,632,-973
41,664,-959
42,705,-946
43,737,-932
44,778,-918
45,814,-905
46,847,-891
47,886,-877
48,932,-864
49,973,-850
50,1008,-836
51,1044,-822
52,1102,-809
53,1133,-795
54,1173,-781
55,1215,-768
56,1260,-754
57,1311,-740
58,1351,-727
59,1391,-713
60,1436,-699
61,1471,-685
62,1512,-672
63,1562,-658
64,1602,-644
65,1637,-631
66,1669,-617
67,1710,-603
68,1748,-590
69,1775,-576
70,1817,-562
71,1850,-548
72,1884,-535
73,1921,-521
74,1961,-507
75,2003,-494
76,2046,-480
77,2087,-466
78,2121,-453
79,2157,-439
80,2192,-425
81,2234,-411
82,2273,-398
83,2303,-384
84,2339,-370
85,2367,-357
86,2390,-343
87,2418,-329
88,2450,-316
89,2475,-302
90,2500,-288
91,2531,-274
92,2559,-261
93,2591,-247
94,2614,-233
95,2637,-220
96,2654,-206
97,2676,-192
98,2711,-179
99,2733,-165
100,2766,-151
101,2789,-137
102,2808,-124
103,2832,-110
104,2855,-96
105,2882,-83
106,2910,-69
107,2936,-55
108,2959,-42
109,2983,-28
110,3013,-14
111,3031,0
112,3050,13
113,3073,27
114,3100,41
115,3124,54
116,3155,68
117,3178,82
118,3199,95
119,3220,109
120,3243,123
121,3267,137
122,3284,141
123,3309,145
124,3341,150
125,3374,154
126,3405,158
127,3439,163
128,3461,167
129,3483,171
130,3508,176
131,3533,180
132,3571,184
133,3596,189
134,3634,193
135,3661,198
136,3699,200
137,3727,203
138,3746,205
139,3775,208
140,3809,211
141,3828,213
142,3863,216
143,3884,219
144,3898,226
145,3923,234
146,3956,242
147,3982,250
148,4005,258
149,4032,266
150,4051,274
151,4069,278
152,4089,283
153,4105,287
154,4124,292
155,4152,297
156,4179,301
157,4197,306
158,4233,311
159,4258,315
160,4284,320
161,4304,325
162,4324,330
163,4349,335
164,4361,340
165,4386,345
166,4414,354
167,4434,363
168,4444,372
169,4462,381
170,4484,390
171,4506,399
172,4520,408
173,4540,417
174,4564,426
175,4588,435
176,4610,445
177,4629,458
178,4654,472
179,4680,485
180,4698,499
181,4713,512
182,4727,526
183,4746,539
184,4768,553
185,4787,566
186,4802,580
187,4821,593
188,4833,607
189,4856,620
190,4868,634
191,4886,644
192,4899,655
193,4922,666
194,4939,677
195,4952,688
196,4974,699
197,4988,710
198,5002,721
199,5020,732
200,5042,743
201,5064,753
202,5077,764
203,5104,775
204,5117,786
205,5126,797
206,5139,808
207,5163,819
208,5178,830
209,5198,841
210,5213,852
211,5230,863
212,5238,873
213,5253,884
214,5270,895
215,5285,906
216,5298,917
217,5325,928
218,5346,939
219,5375,950
220,5396,961
221,5423,972
222,5443,982
223,5451,993
224,5477,1004
225,5509,1015
226,5528,1026
227,5546,1037
228,5570,1048
229,5594,1059
230,5613,1070
231,5623,1081
232,5652,1092
233,5672,1106
234,5697,1121
235,5708,1136
236,5730,1150
237,5749,1165
238,5768,1180
239,5788,1195
240,5806,1209
241,5838,1224
242,5865,1239
243,5882,1254
244,5909,1267
245,5939,1281
246,5973,1295
247,6005,1309
248,6053,1323
249,6092,1337
250,6120,1351
251,6168,1365
252,6210,1379
253,6258,1393
254,6308,1406
255,6357,1420
256,6398,1434
257,6458,1448
258,6502,1462
259,6542,1476
260,6593,1490
261,6638,1504
262,6700,1518
263,6747,1532
264,6780,1556
265,6823,1581
266,6871,1606
267,6919,1630
268,6963,1655
269,7003,1680
270,7055,1704
271,7114,1729
272,7160,1754
273,7205,1779
274,7254,1795
275,7284,1811
276,7331,1828
277,7379,1844
278,7421,1861
279,7466,1877
280,7498,1893
281,7534,1910
282,7582,1926
283,7627,1943
284,7664,1969
285,7702,1996
286,7762,2023
287,7807,2050
288,7841,2077
289,7880,2104
290,7947,2131
