Time,Dosseye,
400,12449,21518
401,12449,21517
402,12449,21516
403,12449,21516
404,12449,21515
405,12449,21514
406,12449,21514
407,12449,21513
408,12449,21512
409,12449,21511
410,12449,21511
411,12449,21510
412,12449,21509
413,12449,21509
414,12449,21508
415,12449,21507
416,12449,21507
417,12449,21506
418,12449,21505
419,12449,21504
420,12449,21504
421,12449,21503
422,12449,21502
423,12449,21502
424,12449,21501
425,12449,21500
426,12449,21500
427,12449,21499
428,12449,21498
429,12449,21498
430,12449,21497
431,12449,21496
432,12449,21495
433,12449,21495
434,12449,21494
435,12449,21493
436,12449,21493
437,12449,21492
438,12449,21491
439,12449,21491
440,12449,21490
441,12449,21489
442,12449,21488
443,12449,21488
444,12449,21487
445,12449,21486
446,12449,21486
447,12449,21485
448,12449,21484
449,12449,21484
450,12449,21483
451,12449,21482
452,12449,21481
453,12449,21481
454,12449,21480
455,12449,21479
456,12449,21479
457,12449,21478
458,12449,21477
459,12449,21477
460,12449,21476
461,12449,21475
462,12449,21475
463,12449,21474
464,12449,21473
465,12449,21472
466,12449,21472
467,12449,21471
468,12449,21470
469,12449,21470
470,12449,21469
471,12449,21468
472,12449,21468
473,12449,21467
474,12449,21466
475,12449,21465
476,12449,21465
477,12449,21464
478,12449,21463
479,12449,21463
480,12449,21462
481,12449,21461
482,12449,21461
483,12449,21460
484,12449,21459
485,12449,21459
486,12449,21461
487,12449,21463
488,12449,21466
489,12449,21468
490,12449,21471
491,12449,21473
492,12449,21476
493,12449,21478
494,12449,21481
495,12449,21483
496,12449,21486
497,12449,21488
498,12449,21491
499,12449,21493
500,12449,21496
501,12449,21498
502,12449,21501
503,12449,21503
504,12449,21506
505,12449,21508
506,12449,21511
507,12449,21513
508,12449,21515
509,12449,21518
510,12449,21520
511,12449,21523
512,12449,21525
513,12449,21528
514,12449,21530
515,12449,21533
516,12449,21535
517,12449,21538
518,12449,21540
519,12449,21543
520,12449,21545
521,12449,21548
522,12449,21550
523,12449,21553
524,12449,21555
525,12449,21558
526,12449,21560
527,12449,21563
528,12449,21565
529,12449,21567
530,12449,21570
531,12449,21572
532,12449,21575
533,12449,21577
534,12449,21580
535,12449,21582
536,12449,21585
537,12449,21587
538,12449,21590
539,12449,21592
540,12449,21595
541,12449,21597
542,12449,21600
543,12449,21602
544,12449,21605
545,12449,21607
546,12449,21610
547,12449,21612
548,12449,21615
549,12449,21614
550,12449,21614
551,12449,21614
552,12449,21614
553,12449,21614
554,12449,21613
555,12449,21613
556,12449,21613
557,12449,21613
558,12449,21613
559,12449,21613
560,12449,21612
561,12449,21612
562,12449,21612
563,12449,21612
564,12449,21612
565,12449,21611
566,12449,21611
567,12449,21611
568,12449,21611
569,12449,21611
570,12449,21611
571,12449,21610
572,12449,21610
573,12449,21610
574,12449,21610
575,12449,21610
576,12449,21610
577,12449,21610
578,12449,21610
579,12449,21610
580,12449,21610
581,12449,21610
582,12449,21610
583,12449,21611
584,12449,21611
585,12449,21611
586,12449,21611
587,12449,21611
588,12449,21611
589,12449,21612
590,12449,21612
591,12449,21612
592,12449,21612
593,12449,21612
594,12449,21612
595,12449,21613
596,12449,21613
597,12449,21613
598,12449,21613
599,12449,21613
600,12449,21613
601,12449,21614
602,12449,21614
603,12449,21614
604,12449,21614
605,12449,21614
606,12449,21614
607,12449,21615
608,12449,21597
609,12449,21579
610,12449,21562
611,12449,21544
612,12449,21527
613,12449,21509
614,12449,21492
615,12449,21474
616,12449,21457
617,12449,21439
618,12449,21421
619,12449,21404
620,12449,21386
621,12449,21369
622,12449,21351
623,12449,21334
624,12449,21316
625,12449,21299
626,12449,21281
627,12449,21264
628,12449,21246
629,12449,21228
630,12449,21211
631,12449,21193
632,12449,21176
633,12449,21158
634,12449,21141
635,12449,21123
636,12449,21106
637,12449,21088
638,12449,21071
639,12449,20771
640,12449,20471
641,12449,20171
642,12449,19871
643,12449,19571
644,12449,19271
645,12449,18971
646,12449,18671
647,12449,18371
648,12449,18071
649,12449,17771
650,12449,17471
651,12449,17171
652,12449,16871
653,12449,16572
