"Time","Brazaville",
415,8514,2685
416,8514,2691
417,8514,2697
418,8514,2703
419,8514,2709
420,8514,2715
421,8514,2721
422,8514,2727
423,8514,2733
424,8514,2739
425,8514,2745
426,8514,2751
427,8514,2771
428,8514,2792
429,8514,2813
430,8514,2834
431,8514,2855
432,8514,2875
433,8514,2896
434,8514,2917
435,8514,2938
436,8514,2959
437,8514,2980
438,8514,3000
439,8514,3021
440,8514,3042
441,8514,3063
442,8514,3084
443,8514,3104
444,8514,3125
445,8514,3146
446,8514,3167
447,8514,3188
448,8514,3209
449,8514,3229
450,8514,3250
451,8514,3271
452,8514,3292
453,8514,3313
454,8514,3334
455,8514,3341
456,8514,3348
457,8514,3355
458,8514,3362
459,8514,3369
460,8514,3376
461,8514,3383
462,8514,3390
463,8514,3397
464,8514,3404
465,8514,3411
466,8514,3418
467,8514,3425
468,8514,3432
469,8514,3439
470,8514,3446
471,8514,3453
472,8514,3460
473,8514,3467
474,8514,3474
475,8514,3481
476,8514,3488
477,8514,3495
478,8514,3502
479,8514,3509
480,8514,3516
481,8514,3523
482,8514,3530
483,8514,3537
484,8514,3544
485,8514,3552
486,8514,3560
487,8514,3569
488,8514,3578
489,8514,3587
490,8514,3596
491,8514,3604
492,8514,3613
493,8514,3622
494,8514,3631
495,8514,3640
496,8514,3648
497,8514,3657
498,8514,3666
499,8514,3675
500,8514,3684
501,8514,3693
502,8514,3701
503,8514,3710
504,8514,3719
505,8514,3728
506,8514,3737
507,8514,3745
508,8514,3754
509,8514,3763
510,8514,3772
511,8514,3781
512,8514,3789
513,8514,3798
514,8514,3807
515,8514,3816
516,8514,3825
517,8514,3834
518,8514,3842
519,8514,3851
520,8514,3860
521,8514,3869
522,8514,3878
523,8514,3886
524,8514,3895
525,8514,3904
526,8514,3913
527,8514,3922
528,8514,3930
529,8514,3939
530,8514,3948
531,8514,3957
532,8514,3966
533,8514,3975
534,8514,3983
535,8514,3992
536,8514,4001
537,8514,4010
538,8514,4019
539,8514,4027
540,8514,4036
541,8514,4045
542,8514,4054
543,8514,4063
544,8514,4072
545,8514,4080
546,8514,4089
547,8514,4098
548,8514,4107
549,8514,4116
550,8514,4124
551,8514,4133
552,8514,4142
553,8514,4151
554,8514,4160
555,8514,4168
556,8514,4177
557,8514,4186
558,8514,4195
559,8514,4204
560,8514,4213
561,8514,4221
562,8514,4230
563,8514,4239
564,8514,4248
565,8514,4257
566,8514,4265
567,8514,4274
568,8514,4283
569,8514,4292
570,8514,4301
571,8514,4309
572,8514,4318
573,8514,4327
574,8514,4336
575,8514,4345
576,8514,4354
577,8514,4362
578,8514,4371
579,8514,4380
580,8514,4389
581,8514,4398
582,8514,4406
583,8514,4415
584,8514,4424
585,8514,4433
586,8514,4442
587,8514,4451
588,8514,4459
589,8514,4468
590,8514,4477
591,8514,4486
592,8514,4495
593,8514,4503
594,8514,4512
595,8514,4521
596,8514,4530
597,8514,4539
598,8514,4547
599,8514,4556
600,8514,4565
601,8514,4574
602,8514,4583
603,8514,4592
604,8514,4600
605,8514,4609
606,8514,4618
607,8514,4627
608,8514,4636
609,8514,4644
610,8514,4653
611,8514,4662
612,8514,4671
613,8514,4680
614,8514,4688
615,8514,4697
616,8514,4706
617,8514,4715
618,8514,4724
619,8514,4733
620,8514,4741
621,8514,4750
622,8514,4759
623,8514,4768
624,8514,4777
625,8514,4785
626,8514,4794
627,8514,4803
628,8514,4812
629,8514,4821
630,8514,4830
631,8514,4835
632,8514,4841
633,8514,4847
634,8514,4853
635,8514,4859
636,8514,4865
637,8514,4871
638,8514,4877
639,8514,4883
640,8514,4889
641,8514,4895
642,8514,4901
643,8514,4907
644,8514,4913
645,8514,4919
646,8514,4925
647,8514,4930
648,8514,4936
649,8514,4942
650,8514,4948
651,8514,4954
652,8514,4960
653,8514,4966
654,8514,4972
655,8514,4978
656,8514,4984
657,8514,4990
658,8514,4996
659,8514,5002
660,8514,5008
661,8514,5014
662,8514,5020
663,8514,5025
664,8514,5031
665,8514,5037
666,8514,5043
667,8514,5049
668,8514,5055
669,8514,5061
670,8514,5067
671,8514,5073
672,8514,5079
673,8514,5085
674,8514,5091
675,8514,5097
676,8514,5103
677,8514,5109
678,8514,5115
679,8514,5120
680,8514,5126
681,8514,5132
682,8514,5138
683,8514,5144
684,8514,5150
685,8514,5156
686,8514,5162
687,8514,5168
688,8514,5174
689,8514,5180
690,8514,5186
691,8514,5192
692,8514,5198
693,8514,5204
694,8514,5210
695,8514,5216
696,8514,5221
697,8514,5227
698,8514,5233
699,8514,5239
700,8514,5245
701,8514,5251
702,8514,5257
703,8514,5263
704,8514,5269
705,8514,5275
706,8514,5281
707,8514,5287
708,8514,5293
709,8514,5299
710,8514,5305
711,8514,5311
712,8514,5316
713,8514,5322
714,8514,5328
715,8514,5334
716,8514,5340
717,8514,5346
718,8514,5352
719,8514,5358
720,8514,5364
721,8514,5370
722,8514,5376
723,8514,5382
724,8514,5388
725,8514,5394
726,8514,5400
727,8514,5406
728,8514,5411
729,8514,5417
730,8514,5423
731,8514,5429
732,8514,5435
733,8514,5441
734,8514,5447
735,8514,5453
736,8514,5459
737,8514,5465
738,8514,5471
739,8514,5477
740,8514,5483
741,8514,5489
742,8514,5495
743,8514,5501
744,8514,5506
745,8514,5512
746,8514,5518
747,8514,5524
748,8514,5530
749,8514,5536
750,8514,5542
751,8514,5548
752,8514,5554
753,8514,5560
754,8514,5566
755,8514,5572
756,8514,5578
757,8514,5584
758,8514,5590
759,8514,5596
760,8514,5602
761,8514,5606
762,8514,5610
763,8514,5614
764,8514,5618
765,8514,5622
766,8514,5626
767,8514,5630
768,8514,5634
769,8514,5638
770,8514,5642
771,8514,5646
772,8514,5650
773,8514,5654
774,8514,5658
775,8514,5662
776,8514,5666
777,8514,5670
778,8514,5674
779,8514,5678
780,8514,5682
781,8514,5686
782,8514,5690
783,8514,5694
784,8514,5698
785,8514,5702
786,8514,5706
787,8514,5710
788,8514,5714
789,8514,5718
790,8514,5722
791,8514,5727
792,8514,5732
793,8514,5738
794,8514,5743
795,8514,5749
796,8514,5754
797,8514,5760
798,8514,5765
799,8514,5771
800,8514,5776
801,8514,5782
802,8514,5788
803,8514,5793
804,8514,5799
805,8514,5804
806,8514,5810
807,8514,5815
808,8514,5821
809,8514,5826
810,8514,5832
811,8514,5838
812,8514,5843
813,8514,5849
814,8514,5854
815,8514,5860
816,8514,5865
817,8514,5871
818,8514,5876
819,8514,5882
