Time,Adamaoua,
0,0,0
1,0,25
2,0,51
3,12,76
4,44,102
5,86,127
6,141,153
7,227,178
8,305,204
9,372,230
10,442,255
11,509,281
12,599,306
13,681,332
14,738,357
15,801,383
16,860,409
17,932,434
18,1033,460
19,1202,485
20,1425,511
21,1608,536
22,1828,562
23,2049,588
24,2264,613
25,2465,639
26,2677,664
27,2874,690
28,3067,715
29,3250,741
30,3440,767
31,3615,792
32,3879,818
33,4137,843
34,4427,869
35,4648,894
36,4889,920
37,5116,946
38,5298,971
39,5478,997
40,5645,1022
41,5778,1048
42,5916,1073
43,6045,1099
44,6175,1125
45,6300,1150
46,6404,1176
47,6512,1201
48,6598,1227
49,6710,1252
50,6813,1278
51,6914,1304
52,6989,1329
53,7082,1355
54,7160,1380
55,7261,1406
56,7326,1431
57,7401,1457
58,7483,1483
59,7544,1508
60,7610,1534
61,7680,1559
62,7755,1585
63,7833,1610
64,7887,1636
65,7948,1662
66,8006,1687
67,8057,1713
68,8116,1738
69,8184,1764
70,8232,1789
71,8261,1815
72,8316,1841
73,8373,1866
74,8428,1892
75,8485,1917
76,8535,1943
77,8588,1968
78,8651,1994
79,8711,2020
80,8758,2045
81,8804,2071
82,8844,2096
83,8891,2122
84,8939,2147
85,9004,2173
86,9065,2199
87,9117,2224
88,9162,2250
89,9209,2275
90,9246,2301
91,9284,2326
92,9342,2352
93,9388,2378
94,9446,2403
95,9484,2429
96,9534,2454
97,9586,2480
98,9632,2505
99,9684,2531
100,9749,2557
101,9796,2582
102,9836,2608
103,9897,2633
104,9934,2659
105,9981,2684
106,10031,2710
107,10066,2736
108,10122,2736
109,10178,2842
110,10244,2948
111,10315,3055
112,10389,3161
113,10467,3268
114,10563,3374
115,10638,3480
116,10710,3587
117,10775,3693
118,10842,3800
119,10904,3906
120,10959,4012
121,11025,4119
122,11095,4225
123,11153,4332
124,11204,4438
125,11254,4545
126,11321,4545
127,11385,4545
128,11460,4545
129,11511,4545
130,11551,4545
131,11615,4545
132,11691,4545
133,11723,4545
134,11782,4545
135,11842,4593
136,11900,4641
137,11945,4689
138,12004,4737
139,12054,4785
140,12103,4834
141,12131,4882
142,12179,4930
143,12208,4978
144,12235,5026
145,12268,5075
146,12329,5138
147,12384,5202
148,12426,5266
149,12499,5330
150,12567,5394
151,12624,5458
152,12693,5522
153,12737,5586
154,12782,5650
155,12836,5714
156,12875,5778
157,12932,5842
158,12976,5906
159,13025,5970
160,13050,6034
161,13094,6098
162,13139,6162
163,13170,6226
164,13219,6290
165,13267,6354
166,13313,6418
167,13353,6481
168,13396,6545
169,13429,6609
