Time,Dosseye,
0,0,0
1,0,919
2,0,1838
3,17,2758
4,40,3677
5,96,4597
6,182,5516
7,280,6435
8,376,7355
9,478,8274
10,601,9194
11,713,10113
12,846,11032
13,969,11952
14,1123,12871
15,1257,13791
16,1398,14710
17,1534,15630
18,1690,15659
19,1929,15689
20,2181,15719
21,2486,15748
22,2750,15778
23,3083,15808
24,3377,15837
25,3652,15867
26,3931,15897
27,4263,15926
28,4577,15956
29,4899,15986
30,5208,16015
31,5515,16045
32,6006,16075
33,6502,16104
34,6994,16134
35,7460,16164
36,7925,16193
37,8348,16223
38,8749,16253
39,9143,16282
40,9516,16312
41,9911,16342
42,10264,16372
43,10573,16401
44,10881,16431
45,11171,16461
46,11421,16490
47,11687,16520
48,11952,16550
49,12222,16579
50,12467,16609
51,12688,16639
52,12926,16668
53,13113,16698
54,13294,16728
55,13500,16757
56,13721,16787
57,13905,16817
58,14075,16846
59,14246,16876
60,14431,16906
61,14639,16935
62,14784,16965
63,14957,16995
64,15131,17024
65,15316,17054
66,15504,17084
67,15645,17114
68,15786,17143
69,15912,17173
70,16059,17203
71,16194,17232
72,16342,17262
73,16462,17292
74,16590,17321
75,16709,17351
76,16844,17381
77,16970,17410
78,17083,17440
79,17207,17470
80,17334,17499
81,17452,17529
82,17565,17559
83,17717,17588
84,17842,17618
85,17939,17648
86,18066,17677
87,18183,17707
88,18273,17737
89,18386,17767
90,18498,17798
91,18621,17830
92,18723,17861
93,18842,17893
94,18977,17924
95,19098,17956
96,19199,17987
97,19294,18019
98,19409,18050
99,19511,18082
100,19633,18114
101,19755,18145
102,19874,18177
103,19975,18208
104,20074,18240
105,20184,18271
106,20282,18303
107,20373,18334
108,20482,18366
109,20612,18397
110,20767,18429
111,20911,18461
112,21076,18492
113,21233,18524
114,21415,18555
115,21583,18587
116,21711,18618
117,21832,18650
118,21965,18681
119,22089,18713
120,22219,18745
121,22339,18842
122,22467,18940
123,22592,19037
124,22724,19135
125,22834,19233
126,22942,19330
127,23070,19428
128,23193,19526
129,23283,19623
130,23392,19721
131,23495,19819
132,23605,19644
133,23716,19469
134,23825,19294
135,23911,19120
136,24011,19158
137,24121,19197
138,24208,19236
139,24299,19275
140,24391,19314
141,24477,19353
142,24577,19392
143,24671,19430
144,24753,19469
145,24820,19508
146,24906,19547
147,24995,19586
148,25116,19625
149,25248,19664
150,25348,19676
151,25462,19689
152,25562,19702
153,25669,19715
154,25770,19728
155,25872,19741
156,25980,19754
157,26066,19767
158,26156,19780
159,26239,19793
160,26331,19806
161,26413,19819
162,26477,19826
163,26553,19833
164,26638,19840
165,26702,19847
166,26770,19854
167,26837,19861
168,26915,19869
169,26979,19870
170,27055,19871
171,27115,19872
172,27170,19873
173,27240,19874
174,27301,19875
175,27338,19877
176,27392,19934
177,27436,19991
178,27496,20049
179,27552,20106
180,27595,20163
181,27644,20221
182,27681,20278
183,27720,20335
184,27750,20393
185,27792,20450
186,27817,20507
187,27851,20565
188,27900,20622
189,27951,20680
190,27986,20680
191,28043,20680
192,28114,20680
193,28163,20681
194,28209,20681
195,28255,20681
196,28316,20682
197,28351,20690
198,28391,20699
199,28418,20708
200,28458,20717
201,28506,20726
202,28553,20735
203,28601,20744
204,28648,20769
205,28736,20794
206,28831,20819
207,28938,20844
208,29066,20869
209,29219,20894
210,29343,20919
211,29468,20944
212,29610,20969
213,29744,20994
214,29852,21019
215,29974,21044
216,30097,21069
217,30185,21094
218,30289,21119
219,30375,21144
220,30451,21169
221,30526,21194
222,30607,21219
223,30672,21244
224,30752,21269
225,30849,21307
226,30940,21345
227,31016,21384
228,31084,21422
229,31142,21460
230,31217,21499
231,31292,21537
232,31368,21575
233,31440,21614
234,31588,21652
235,31763,21690
236,32059,21729
237,32410,21767
238,32794,21806
239,33287,21820
240,33781,21835
241,34286,21850
242,34763,21865
243,35230,21880
244,35657,21895
245,36080,21910
246,36501,21925
247,36880,21940
248,37251,21955
249,37598,21970
250,37950,21985
251,38255,22000
252,38540,22015
253,38815,22029
254,39081,22044
255,39330,22059
256,39594,22074
257,39806,22089
258,40021,22104
259,40246,22119
260,40455,22134
261,40675,22149
262,40899,22164
263,41099,22179
264,41303,22194
265,41482,22209
266,41657,22224
267,41820,22239
268,41994,22255
269,42144,22270
270,42297,22286
271,42429,22301
