Time,Brazaville,
0,0,0
1,0,-1507
2,0,-1494
3,0,-1480
4,0,-1466
5,0,-1453
6,0,-1439
7,1,-1425
8,3,-1412
9,4,-1398
10,7,-1384
11,14,-1370
12,19,-1357
13,25,-1343
14,26,-1329
15,30,-1316
16,37,-1302
17,42,-1288
18,46,-1275
19,48,-1261
20,59,-1247
21,63,-1233
22,70,-1220
23,87,-1206
24,102,-1192
25,124,-1179
26,142,-1165
27,157,-1151
28,172,-1138
29,194,-1124
30,210,-1110
31,229,-1096
32,251,-1083
33,270,-1069
34,295,-1055
35,317,-1042
36,339,-1028
37,367,-1014
38,388,-1001
39,408,-987
40,424,-973
41,447,-959
42,463,-946
43,493,-932
44,517,-918
45,540,-905
46,569,-891
47,591,-877
48,619,-864
49,634,-850
50,658,-836
51,676,-822
52,694,-809
53,718,-795
54,733,-781
55,765,-768
56,794,-754
57,819,-740
58,843,-727
59,866,-713
60,885,-699
61,913,-685
62,940,-672
63,956,-658
64,975,-644
65,994,-631
66,1020,-617
67,1038,-603
68,1054,-590
69,1078,-576
70,1096,-562
71,1114,-548
72,1139,-535
73,1162,-521
74,1182,-507
75,1191,-494
76,1208,-480
77,1230,-466
78,1246,-453
79,1258,-439
80,1281,-425
81,1304,-411
82,1316,-398
83,1335,-384
84,1354,-370
85,1369,-357
86,1383,-343
87,1408,-329
88,1432,-316
89,1445,-302
90,1454,-288
91,1461,-274
92,1477,-261
93,1494,-247
94,1492,-233
95,1513,-220
96,1531,-206
97,1558,-192
98,1582,-179
99,1598,-165
100,1616,-151
101,1630,-137
102,1643,-124
103,1657,-110
104,1679,-96
105,1697,-83
106,1710,-69
107,1729,-55
108,1742,-42
109,1762,-28
110,1779,-14
111,1791,0
112,1811,13
113,1822,27
114,1828,41
115,1845,54
116,1859,68
117,1869,82
118,1881,95
119,1897,109
120,1912,123
121,1925,137
122,1935,141
123,1944,145
124,1957,150
125,1976,154
126,1983,158
127,1993,163
128,2003,167
129,2014,171
130,2026,176
131,2036,180
132,2049,184
133,2063,189
134,2078,193
135,2089,198
136,2096,200
137,2116,203
138,2127,205
139,2137,208
140,2154,211
141,2166,213
142,2181,216
143,2192,219
144,2204,226
145,2221,234
146,2234,242
147,2246,250
148,2253,258
149,2271,266
150,2287,274
151,2298,278
152,2315,283
153,2325,287
154,2339,292
155,2343,297
156,2361,301
157,2369,306
158,2382,311
159,2398,315
160,2409,320
161,2418,325
162,2431,330
163,2448,335
164,2459,340
165,2468,345
166,2477,354
167,2484,363
168,2496,372
169,2512,381
170,2521,390
171,2537,399
172,2546,408
173,2557,417
174,2567,426
175,2576,435
176,2583,445
177,2593,458
178,2603,472
179,2609,485
180,2620,499
181,2626,512
182,2638,526
183,2646,539
184,2654,553
185,2656,566
186,2668,580
187,2672,593
188,2686,607
189,2691,620
190,2696,634
191,2709,644
192,2715,655
193,2732,666
194,2733,677
195,2742,688
196,2752,699
197,2758,710
198,2774,721
199,2780,732
200,2783,743
201,2789,753
202,2797,764
203,2802,775
204,2804,786
205,2808,797
206,2811,808
207,2823,819
208,2825,830
209,2829,841
210,2832,852
211,2839,863
212,2852,873
213,2857,884
214,2864,895
215,2867,906
216,2874,917
217,2884,928
218,2891,939
219,2895,950
220,2904,961
221,2912,972
222,2930,982
223,2937,993
224,2951,1004
225,2952,1015
226,2955,1026
227,2961,1037
228,2970,1048
229,2975,1059
230,2988,1070
231,3006,1081
232,3008,1092
233,3014,1106
234,3023,1121
235,3028,1136
236,3031,1150
237,3039,1165
238,3049,1180
239,3065,1195
240,3074,1209
241,3078,1224
242,3091,1239
243,3098,1254
244,3114,1267
245,3126,1281
246,3136,1295
247,3153,1309
248,3173,1323
249,3188,1337
250,3203,1351
251,3231,1365
252,3253,1379
253,3267,1393
254,3288,1406
255,3308,1420
256,3321,1434
257,3339,1448
258,3360,1462
259,3378,1476
260,3402,1490
261,3413,1504
262,3435,1518
263,3455,1532
264,3483,1556
265,3500,1581
266,3516,1606
267,3540,1630
268,3564,1655
269,3575,1680
270,3585,1704
271,3600,1729
272,3624,1754
273,3645,1779
274,3672,1795
275,3690,1811
276,3709,1828
277,3725,1844
278,3736,1861
279,3759,1877
280,3776,1893
281,3795,1910
282,3805,1926
283,3831,1943
284,3841,1969
285,3859,1996
286,3877,2023
287,3888,2050
288,3908,2077
289,3931,2104
290,3950,2131
291,3963,2158
292,3974,2185
