Time,East,
404,72665,92084
405,72750,92084
406,72808,92084
407,72898,92218
408,72989,92352
409,73065,92486
410,73134,92620
411,73226,92754
412,73300,92888
413,73404,93022
414,73477,93156
415,73559,93290
416,73627,93424
417,73705,93558
418,73783,93692
419,73835,93826
420,73917,93960
421,73991,94094
422,74056,94228
423,74102,94362
424,74185,94496
425,74261,94630
426,74312,94765
427,74374,94810
428,74440,94855
429,74508,94900
430,74573,94946
431,74623,94991
432,74686,95036
433,74745,95081
434,74796,95127
435,74812,95172
436,74833,95217
437,74886,95262
438,74925,95308
439,74990,95353
440,75058,95398
441,75114,95444
442,75162,95451
443,75205,95459
444,75250,95467
445,75300,95475
446,75356,95483
447,75408,95491
448,75459,95499
449,75512,95506
450,75556,95514
451,75618,95522
452,75656,95530
453,75752,95538
454,75782,95546
455,75831,95554
456,75878,96915
457,75922,98276
458,75951,99637
459,75988,100998
460,76033,102359
461,76074,103720
462,76124,105081
463,76178,106442
464,76215,107803
465,76277,109164
466,76329,110525
467,76361,111886
468,76390,113247
469,76450,114608
470,76497,115969
471,76531,117330
472,76550,118691
473,76594,120052
474,76634,121413
475,76672,122774
476,76724,124135
477,76773,125496
478,76821,126857
479,76865,128218
480,76937,129579
481,76955,130940
482,76961,132301
483,76997,133662
484,77022,135023
485,77030,136384
486,77062,137745
487,77108,139106
488,77171,140467
489,77266,141828
490,77417,143189
491,77643,144550
492,77891,145911
493,78133,147272
494,78445,148633
495,78723,149994
496,79080,151355
497,79490,152717
498,79889,152802
499,80386,152888
500,80835,152974
501,81237,153060
502,81673,153146
503,82065,153231
504,82460,153317
505,82857,153403
506,83259,153489
507,83614,153575
508,84000,153660
509,84349,153746
510,84652,153832
511,84987,153918
512,85322,154004
513,85665,154089
514,86010,154175
515,86356,154261
516,86699,154347
517,87011,154433
518,87325,154519
519,87632,154555
520,87970,154592
521,88276,154628
522,88594,154665
523,88872,154701
524,89188,154738
525,89506,154775
526,89758,154811
527,90037,154848
528,90330,154884
529,90592,154921
530,90840,154957
531,91062,154994
532,91305,155031
533,91579,155067
534,91842,155104
535,92098,155140
536,92352,155177
537,92625,155213
538,92831,155250
539,93016,155287
540,93264,155323
541,93464,155360
542,93648,155396
543,93869,155433
544,94084,155469
545,94272,155506
546,94495,155543
547,94686,155851
548,94918,156160
549,95125,156468
550,95293,156777
551,95476,157085
552,95676,157394
553,95851,157702
554,96054,158011
555,96259,158319
556,96429,158628
557,96582,158936
558,96759,159245
559,96872,159554
560,97090,159577
561,97292,159601
562,97489,159625
563,97658,159648
564,97847,159672
565,98035,159696
566,98231,159720
567,98388,159743
568,98530,159767
569,98706,159791
570,98855,159815
571,98999,159838
572,99183,159862
573,99349,159886
574,99501,159910
575,99649,159953
576,99817,159997
577,99966,160040
578,100143,160084
579,100311,160127
580,100461,160171
581,100574,160215
582,100691,161168
583,100803,162121
584,100964,163074
585,101130,162914
586,101251,162754
587,101408,162595
588,101523,162435
589,101655,162275
590,101798,162116
591,101931,161956
592,102065,161796
593,102203,161637
594,102332,161477
595,102425,161317
596,102547,161158
597,102663,160998
598,102773,160839
599,102876,160873
600,103012,160907
601,103100,160941
602,103218,160975
603,103312,161009
604,103380,161043
605,103478,161077
606,103590,161111
607,103691,161145
608,103786,162040
609,103885,162936
610,103988,162987
611,104048,163039
612,104141,163090
613,104229,163142
614,104331,163194
615,104433,163245
616,104521,163297
617,104602,163348
618,104713,163400
619,104795,163452
620,104857,163503
621,104937,163555
622,105015,163606
623,105097,163658
624,105171,163710
625,105274,163870
626,105354,164031
627,105450,164191
628,105527,164352
629,105617,164512
630,105726,164673
631,105847,164833
632,105979,164994
633,106109,165154
634,106218,165315
635,106342,165475
636,106467,165636
637,106588,165797
638,106694,165855
639,106815,165914
640,106958,165972
641,107065,166031
642,107174,166089
643,107285,166148
644,107383,166206
645,107484,166265
646,107582,166247
647,107666,166230
648,107750,166213
649,107872,166196
650,107942,166179
651,108027,166162
652,108077,166144
653,108181,166127
654,108279,166110
655,108381,166093
656,108470,166076
657,108562,166059
658,108671,166042
659,108732,166058
660,108777,166074
661,108861,166091
662,108938,166107
663,108996,166124
664,109077,166140
665,109146,166157
666,109215,166173
667,109310,166189
668,109384,166206
669,109451,166222
670,109506,166239
671,109571,166255
672,109615,166272
673,109676,166288
674,109749,166305
675,109815,166321
676,109865,166337
677,109894,166354
678,109958,166370
679,110013,166387
680,110053,166403
681,110106,166420
682,110146,166436
683,110198,166453
684,110276,166788
685,110331,167124
686,110358,167460
687,110409,167796
688,110429,168132
689,110501,168468
690,110567,168804
691,110638,169140
692,110674,169476
693,110731,169812
694,110793,169986
695,110829,170161
696,110876,170336
697,110930,170510
698,110971,170685
699,111013,170860
700,111078,171034
701,111142,171209
702,111171,171384
703,111193,171384
704,111283,171384
705,111311,171384
706,111358,171384
707,111412,171384
708,111474,171384
709,111510,171384
710,111550,171384
711,111628,171384
712,111673,171384
713,111747,171384
714,111780,171384
715,111831,171384
716,111857,171384
717,111917,171384
718,111950,171384
719,112005,171384
720,112055,171384
721,112086,171384
722,112143,171384
723,112184,171384
724,112206,171384
725,112242,171470
726,112263,171557
727,112270,171644
728,112296,171731
729,112306,171736
730,112349,171742
731,112403,171747
732,112447,171753
733,112511,171954
734,112553,172155
735,112567,172357
736,112590,172558
737,112653,172760
738,112706,172961
739,112741,173163
740,112767,173364
741,112784,173565
742,112802,173767
743,112847,173968
744,112886,174170
745,112905,174371
746,112957,174573
747,112973,174774
748,113002,174975
749,113043,175177
750,113033,175378
751,113049,175580
752,113070,175781
753,113099,175983
754,113146,176184
755,113182,176385
756,113232,176587
757,113241,176788
758,113265,176990
759,113282,177191
760,113298,177393
761,113323,177407
762,113360,177422
763,113399,177437
764,113432,177452
765,113468,177467
766,113512,177482
767,113509,177497
768,113555,177512
769,113570,177527
770,113599,177542
771,113617,177557
772,113627,177572
773,113661,177587
774,113708,177602
775,113729,177617
776,113735,177632
777,113747,177647
778,113748,177662
779,113759,177677
780,113757,177692
781,113781,177707
782,113799,177746
783,113807,177786
784,113851,177826
785,113901,177865
786,113913,177905
787,113958,177945
788,113984,177985
789,113991,178024
790,114018,178064
791,114074,178104
792,114149,178143
793,114224,178183
794,114273,178223
795,114343,178263
796,114401,178302
797,114456,178342
798,114478,178382
799,114519,178421
800,114561,178461
801,114586,178501
802,114605,178541
803,114634,178580
804,114678,178620
805,114720,178660
806,114770,178699
807,114824,178739
808,114861,178779
809,114913,178819
810,114933,178858
811,114948,178898
812,114984,178938
813,115004,178977
814,115046,179017
815,115078,179057
816,115116,179097
817,115158,179136
818,115209,179176
819,115261,179216
