Time,Mole,
0,0,0
1,0,1436
2,0,2872
3,0,4308
4,0,4382
5,0,4456
6,0,4531
7,0,4605
8,0,4680
9,0,4754
10,0,4828
11,0,4903
12,0,4977
13,0,5052
14,0,5126
15,0,5201
16,0,5275
17,0,5349
18,0,5424
19,0,5498
20,0,5573
21,0,5647
22,0,5722
23,0,5796
24,0,5870
25,0,5945
26,0,6019
27,0,6094
28,0,6168
29,0,6242
30,0,6317
31,0,6391
32,1,6466
33,1,6540
34,2,6615
35,2,6689
36,2,6763
37,2,6838
38,2,6912
39,2,6987
40,2,7061
41,3,7136
42,3,7210
43,3,7284
44,3,7359
45,3,7433
46,3,7508
47,3,7582
48,3,7656
49,3,7731
50,3,7805
51,3,7880
52,3,7954
53,3,8029
54,3,8103
55,3,8177
56,3,8252
57,3,8326
58,3,8401
59,3,8475
60,3,8550
61,3,8624
62,3,8698
63,3,8773
64,4,8847
65,4,8922
66,5,8996
67,6,9071
68,6,9085
69,8,9099
70,8,9114
71,9,9128
72,9,9142
73,9,9157
74,9,9171
75,9,9186
76,9,9200
77,9,9214
78,10,9229
79,10,9243
80,10,9258
81,10,9273
82,10,9288
83,10,9303
84,10,9318
85,10,9333
86,10,9348
87,10,9363
88,10,9378
89,11,9393
90,11,9408
91,11,9423
92,11,9438
93,11,9453
94,11,9468
95,11,9484
96,11,9499
97,11,9514
98,11,9529
99,11,9544
100,11,9559
101,11,9574
102,11,9589
103,11,9604
104,11,9619
105,12,9634
106,13,9649
107,13,9664
108,13,9679
109,14,9694
110,14,9710
111,14,9725
112,14,9740
113,14,9755
114,14,9770
115,14,9785
116,14,9800
117,14,9815
118,15,9830
119,17,9845
120,18,9860
121,19,9875
122,19,9890
123,18,9905
124,18,9921
125,18,9936
126,19,9951
127,19,9966
128,19,9981
129,21,9996
130,21,10011
131,22,10026
132,22,10041
133,23,10056
134,23,10071
135,23,10086
136,23,10101
137,23,10116
138,23,10131
139,24,10147
140,24,10162
141,24,10177
142,24,10192
143,24,10207
144,24,10222
145,24,10237
146,25,10252
147,25,10267
148,25,10282
149,25,10297
150,25,10312
151,25,10327
152,25,10342
153,25,10358
154,25,10373
155,25,10388
156,25,10403
157,26,10418
158,26,10433
159,26,10448
160,26,10463
161,27,10478
162,28,10493
163,28,10508
164,29,10523
165,30,10538
166,30,10553
167,30,10568
168,32,10584
169,32,10599
170,33,10614
171,33,10629
172,35,10644
173,35,10659
174,35,10674
175,36,10689
176,37,10704
177,37,10719
178,36,10734
179,36,10749
180,36,10764
181,37,10779
182,38,10795
183,39,10810
184,40,10825
185,40,10840
186,40,10855
187,40,10870
188,41,10885
189,41,10900
190,42,10915
191,42,10930
192,46,10945
193,46,10960
194,46,10975
195,46,10990
196,47,11005
197,48,11021
198,48,11036
199,49,11051
200,50,11066
201,52,11081
202,52,11096
203,52,11111
204,53,11126
205,55,11141
206,57,11156
207,57,11171
208,57,11186
209,58,11201
210,58,11216
211,60,11232
212,60,11317
213,60,11402
214,60,11488
215,60,11573
216,60,11659
217,60,11744
218,61,11830
219,62,11915
220,62,12001
221,62,12086
222,63,12171
223,64,12257
224,66,12342
225,69,12428
226,70,12513
227,70,12599
228,71,12684
229,71,12770
230,72,12855
231,72,12941
232,72,13026
233,72,13111
234,72,13197
235,72,13282
236,73,13368
237,74,13453
238,75,13539
239,75,13624
240,77,13710
241,77,13795
242,77,13881
243,77,13908
244,78,13935
245,79,13962
246,79,13989
247,79,14016
248,79,14044
249,78,14071
250,78,14098
251,79,14125
252,79,14152
253,80,14179
254,81,14207
255,81,14234
256,81,14261
257,81,14288
258,82,14315
259,82,14342
260,83,14370
261,83,14397
