Dates,Western_Bahr_el_Ghazal,Northern_Bahr_el_Ghazal,Warrap,Lakes,Upper_Nile,Jonglei,Unity,Central_Equatoria,Western_Equatoria,Eastern_Equatoria
47,8,7,8,20,3,55,44,2,15,6
167,26,38,20,21,48,45,64,11,15,15
197,27,38,19,30,50,52,71,10,15,17
289,14,13,11,27,31,29,44,8,1,5
320,4,12,4,14,15,27,37,6,0,3
412,4,23,11,19,44,29,52,12,1,7
501,27,36,47,55,47,37,42,11,3,8
532,38,60,49,58,57,44,54,12,1,13
624,21,15,12,24,51,44,44,6,0,7
