Time,Bangui,Bangassou,Mobaye,Sibut,Bouar,Bossangoa,Nola,Mbaiki,Bimbo,Bozoum,Obo,Bambari,Bria,Ndele,Birao,Kaga Bandoro,Berberati,Melego,Rafai,Ippy,Mbres,Bossembele,Yaloke,Katakpo,Banga,Kago,Yapara,Beboura III,Gamboula,Baboua,Belom,Dosseye,East,Adamaoua,Mole,Gbadolite,Inke,Betou,Brazaville
330,5941,1557,1769,4679,2203,2308,2840,3320,3408,2884,359,1511,1821,1239,417,8135,4607,3058,1686,5118,3805,6634,5645,7276,6088,4549,7340,3351,2273,2520,26875,22925,90483,30249,20454,24821,2831,10232,8166
331,5830,1559,1738,4600,2085,2330,2900,3311,3181,2728,370,1471,1821,1202,451,8093,4709,3062,1717,5098,3876,6377,5715,7249,6042,4502,7428,3357,2264,2406,26869,22925,91000,30434,20454,24952,2851,10232,8196
332,5548,1569,1734,4537,2036,2216,2874,3160,3166,2733,347,1359,1794,1222,440,8059,4650,3066,1724,5169,3906,6445,5591,7312,6067,4574,7427,3308,2339,2345,26885,22925,91428,30597,20454,25097,2864,10232,8234
333,5440,1551,1737,4397,1983,2249,2875,3096,3079,2567,353,1468,1812,1210,450,8126,4630,2990,1735,5063,3975,6320,5622,7334,6048,4582,7399,3235,2399,2266,26868,22925,91891,30714,20454,25234,2892,10232,8280
334,6329,1615,1750,4739,2778,2285,2935,3136,4070,3245,365,1611,1862,1189,476,8159,4741,3106,1700,5080,4068,6598,5571,7288,6220,4679,7507,3412,2310,2316,26880,22925,92342,30834,20454,25370,2908,10232,8311
335,6761,1613,1740,4730,2217,2337,2905,3251,3318,2914,352,1514,1872,1241,482,8276,4757,3098,1775,5023,3976,6523,5655,7284,6296,4686,7537,3429,2372,2435,26878,22925,92782,30969,20454,25532,2929,10232,8349
336,5776,1624,1745,4724,2241,2297,2925,3164,3501,2750,363,1433,1856,1255,491,8293,4871,3099,1751,5079,3962,6534,5664,7441,6235,4654,7647,3413,2389,2400,26873,22925,93256,31108,20454,25684,2945,10232,8388
337,5819,1608,1703,4565,2050,2279,2973,3118,3171,2680,371,1463,1832,1299,490,8384,4689,3073,1786,5100,3932,6486,5646,7412,6363,4670,7618,3349,2490,2391,26874,22925,93691,31256,20454,25838,2959,10232,8411
338,5509,1595,1686,4554,2060,2174,2992,3139,3073,2736,383,1410,1837,1250,506,8406,4696,3039,1795,5131,3972,6336,5614,7441,6335,4700,7606,3241,2441,2302,26884,22925,94161,31418,20454,25978,2983,10232,8464
339,5442,1594,1685,4472,1964,2193,3040,3053,3067,2594,371,1444,1839,1330,464,8420,4650,3051,1838,5120,4008,6148,5608,7407,6346,4688,7603,3247,2473,2228,26879,22925,94600,31570,20454,26112,3007,10232,8505
340,5332,1605,1601,4425,1881,2181,3041,3005,3066,2532,384,1435,1814,1303,499,8472,4647,3095,1846,5137,4036,6073,5527,7485,6342,4662,7650,3123,2414,2200,26871,22925,95081,31714,20454,26256,3024,10232,8514
341,5363,1589,1650,4406,1858,2156,3060,2950,2906,2449,424,1390,1803,1296,509,8341,4614,3062,1823,5130,4144,6113,5395,7598,6312,4618,7706,3079,2437,2128,26879,22925,95510,31840,20454,26385,3049,10232,8514
342,5195,1599,1667,4312,1914,2080,3064,2903,2979,2519,405,1434,1819,1336,495,8472,4661,2980,1822,5174,4106,6025,5296,7499,6384,4618,7697,3107,2389,2021,26871,22925,96004,31964,20454,26545,3064,10232,8514
343,5247,1616,1617,4327,1904,2088,3079,2846,2964,2408,394,1351,1858,1302,518,8418,4696,3013,1825,5218,4102,5912,5294,7539,6326,4602,7735,3050,2395,2034,26879,22925,96460,32080,20454,26675,3096,10232,8514
344,5142,1598,1673,4314,1855,2132,3027,2793,2990,2481,422,1356,1900,1330,483,8437,4680,2969,1841,5091,4167,5930,5175,7504,6460,4646,7647,3016,2380,2010,26871,22925,96866,32223,20454,26790,3117,10232,8514
345,5196,1622,1654,4252,1811,2064,3009,2785,2925,2544,418,1371,1979,1317,483,8380,4710,2944,1829,5056,4172,5836,5139,7513,6451,4653,7686,2988,2396,1961,26889,22925,97308,32352,20454,26933,3138,10232,8514
346,5171,1613,1683,4282,1861,2144,3032,2741,2928,2426,401,1306,1946,1315,519,8416,4681,2903,1874,5133,4040,5743,5086,7499,6419,4577,7799,2999,2433,1973,26866,22925,97727,32452,20454,27063,3161,10232,8514
347,5218,1625,1667,4269,1892,1997,3038,2743,2822,2455,394,1367,1896,1288,514,8284,4711,2941,1818,5158,4074,5711,5018,7510,6393,4649,7821,2978,2433,1972,26888,22925,98146,32584,20454,27197,3189,10232,8514
348,4959,1620,1686,4219,1935,2061,3073,2720,2927,2415,409,1396,1937,1297,499,8301,4745,2862,1803,5160,4064,5646,5053,7468,6422,4657,7789,2941,2388,1975,26868,22925,98562,32705,20454,27338,3208,10232,8514
349,5135,1615,1617,4293,1761,2102,3019,2677,2815,2460,413,1321,1931,1277,495,8392,4743,2925,1780,5168,4023,5529,5081,7505,6448,4671,7666,2913,2375,2003,26892,22925,98989,32818,20454,27478,3226,10232,8514
350,4965,1598,1645,4239,1871,2096,3080,2643,2815,2444,377,1411,1920,1285,490,8559,4717,2900,1832,5158,3954,5557,4915,7559,6393,4788,7501,2899,2393,1969,26868,22925,99386,32939,20454,27596,3242,10232,8514
351,5014,1625,1656,4249,1732,2004,3038,2652,2696,2325,375,1425,1893,1261,518,8421,4731,2884,1839,5123,3891,5462,5028,7542,6385,4681,7677,2861,2403,1999,26889,22925,99770,33054,20454,27714,3273,10232,8514
352,4766,1623,1593,4187,1697,2019,3061,2667,2697,2281,380,1331,1941,1266,501,8317,4719,2924,1849,5080,4010,5379,5009,7444,6385,4731,7669,2801,2434,1956,26864,22925,100180,33188,20454,27830,3311,10232,8514
353,4776,1654,1615,4057,1676,1971,3059,2599,2595,2233,370,1334,1950,1299,475,8327,4572,2839,1860,5049,4027,5420,4881,7443,6414,4726,7670,2782,2451,1868,26887,22925,100597,33322,20454,27958,3334,10232,8514
354,4564,1629,1564,4020,1724,1937,3008,2553,2603,2144,410,1266,1877,1294,491,8313,4477,2929,1783,5098,4016,5433,4765,7486,6490,4644,7773,2766,2455,1852,26868,22925,100965,33436,20454,28091,3366,10232,8514
355,4590,1590,1627,3953,1614,1908,3040,2516,2509,2182,400,1293,1890,1313,494,8273,4498,2857,1786,5087,3962,5340,4698,7465,6474,4635,7746,2681,2445,1837,26887,22925,101367,33544,20454,28199,3390,10232,8514
356,4459,1581,1606,3927,1657,1950,3028,2497,2518,2063,412,1283,1889,1307,500,8330,4437,2871,1781,4955,4034,5176,4742,7442,6490,4657,7599,2631,2460,1752,26867,22925,101788,33664,20454,28325,3412,10232,8514
357,4506,1558,1616,3873,1571,1955,3002,2472,2394,2115,390,1234,1907,1322,493,8227,4508,2862,1808,4915,4002,5179,4695,7465,6346,4585,7601,2581,2437,1722,26880,22925,102194,33783,20454,28462,3430,10232,8514
358,4251,1594,1614,3860,1484,1892,2987,2491,2452,2180,402,1268,1871,1268,519,8179,4429,2842,1756,4922,4037,5149,4598,7352,6429,4666,7462,2535,2488,1743,26868,22925,102589,33885,20454,28591,3442,10232,8514
359,4324,1560,1587,3890,1543,1847,3007,2501,2367,2020,378,1219,1874,1307,523,8121,4466,2860,1815,4856,3948,5070,4520,7275,6368,4609,7514,2558,2420,1676,26879,22925,103013,34000,20454,28719,3461,10232,8514
360,4326,1610,1525,3763,1505,1848,2989,2447,2346,2034,409,1242,1786,1322,499,8048,4432,2875,1746,4896,3945,5057,4491,7316,6278,4517,7622,2483,2406,1664,26866,22925,103395,34067,20454,28848,3492,10232,8514
361,4186,1580,1547,3689,1546,1782,3047,2414,2359,1961,408,1281,1771,1335,477,8105,4400,2837,1770,4865,3898,4990,4449,7257,6224,4516,7524,2528,2391,1651,26887,22925,103784,34152,20454,28964,3520,10232,8514
362,4266,1558,1549,3667,1450,1730,3057,2346,2372,2009,427,1285,1784,1304,487,7927,4347,2811,1728,4822,3910,4826,4470,7241,6144,4532,7615,2480,2376,1631,26866,22925,104194,34252,20454,29092,3540,10232,8514
363,4178,1558,1535,3724,1508,1795,2977,2325,2289,2010,418,1219,1802,1253,501,7939,4237,2816,1668,4805,3905,4799,4428,7259,6166,4488,7515,2416,2407,1595,26884,22925,104564,34339,20454,29211,3562,10232,8514
364,4136,1549,1586,3690,1465,1734,2960,2351,2243,1955,408,1222,1831,1291,495,7905,4250,2744,1717,4676,3889,4834,4270,7295,6088,4502,7474,2382,2388,1624,26866,22925,104909,34435,20454,29346,3585,10232,8514
365,4189,1558,1580,3710,1555,1773,2905,2334,2364,2006,393,1209,1799,1322,479,8105,4257,2760,1739,4669,3773,4774,4268,7216,6091,4463,7305,2396,2366,1616,26882,22925,105338,34518,20454,29460,3623,10232,8514
366,4336,1576,1585,3720,1520,1760,2879,2303,2433,2070,391,1207,1784,1304,503,7956,4195,2745,1706,4676,3823,4845,4228,7227,6118,4441,7401,2375,2349,1634,26877,22925,105696,34624,20454,29561,3647,10232,8514
367,4399,1521,1545,3816,1589,1769,2903,2288,2547,2002,387,1195,1774,1301,510,7953,4234,2740,1741,4731,3820,4908,4172,7123,6078,4467,7253,2427,2334,1605,26873,22925,106084,34728,20454,29711,3667,10232,8514
368,4595,1546,1531,3693,1552,1882,2882,2356,2512,2003,361,1329,1789,1300,509,7856,4240,2710,1756,4677,3857,4835,4202,7120,6009,4450,7249,2462,2324,1640,26884,22925,106436,34819,20454,29844,3685,10232,8514
369,4501,1537,1492,3754,1698,1815,2902,2322,2601,2163,371,1274,1781,1292,509,7709,4257,2744,1714,4725,3975,4925,4187,7003,6019,4382,7292,2465,2283,1645,26864,22925,106793,34917,20454,29971,3713,10232,8514
370,4633,1538,1503,3758,1600,1802,2953,2387,2561,2159,386,1215,1771,1306,487,7687,4263,2714,1690,4797,3902,4872,4283,6955,5970,4344,7357,2561,2267,1687,26884,22925,107151,35015,20454,30097,3740,10232,8514
371,4477,1559,1504,3749,1633,1809,2963,2430,2639,2148,359,1290,1819,1251,509,7839,4295,2719,1724,4727,3867,4918,4318,6934,5931,4371,7183,2585,2268,1693,26872,22925,107515,35118,20454,30214,3765,10232,8514
372,4482,1559,1484,3762,1589,1846,2921,2459,2350,2037,357,1244,1763,1274,490,7929,4266,2702,1724,4787,3785,4794,4367,6966,5927,4367,7158,2549,2303,1695,26877,22925,107865,35206,20454,30331,3793,10232,8514
373,4158,1537,1473,3741,1514,1828,2864,2475,2352,2118,375,1301,1726,1249,475,7820,4219,2700,1706,4717,3902,4883,4239,6942,5986,4346,7174,2501,2312,1681,26883,22925,108238,35312,20454,30460,3814,10232,8514
374,4264,1545,1466,3774,1492,1757,2820,2421,2283,1950,403,1219,1723,1262,486,7790,4179,2667,1683,4725,3886,4814,4282,6905,5962,4318,7133,2536,2345,1642,26872,22925,108596,35417,20454,30584,3833,10232,8514
375,4061,1506,1469,3698,1485,1741,2815,2315,2318,1941,391,1238,1712,1282,500,7740,4183,2697,1733,4670,3849,4778,4245,6869,5952,4322,7148,2505,2300,1644,26874,22925,109003,35514,20454,30692,3857,10232,8514
376,4136,1514,1455,3637,1428,1814,2808,2307,2235,1799,402,1190,1696,1277,474,7709,4141,2716,1684,4656,3868,4719,4211,6801,5997,4347,7125,2425,2341,1658,26881,22925,109317,35595,20454,30823,3874,10232,8514
377,3931,1520,1481,3674,1454,1706,2817,2273,2228,2036,409,1170,1722,1259,488,7671,4159,2668,1670,4555,3832,4626,4241,6790,5896,4261,7161,2380,2289,1644,26874,22925,109683,35681,20454,30929,3895,10232,8514
378,4087,1512,1475,3645,1445,1730,2778,2206,2212,1937,394,1125,1710,1276,466,7718,4160,2637,1693,4530,3841,4598,4111,6807,5844,4232,7065,2309,2278,1623,26875,22925,110012,35791,20454,31041,3923,10232,8514
379,3971,1470,1498,3608,1426,1740,2776,2237,2217,1871,391,1205,1696,1272,466,7686,4129,2589,1685,4525,3804,4534,4077,6770,5720,4233,7051,2311,2342,1625,26876,22925,110356,35874,20454,31154,3951,10232,8514
380,4076,1475,1486,3541,1367,1624,2896,2214,2111,1875,375,1145,1654,1306,439,7523,4116,2602,1683,4634,3844,4492,4098,6716,5680,4206,7054,2281,2274,1594,26868,22925,110714,35980,20454,31278,3965,10232,8514
381,3897,1517,1521,3445,1442,1654,2927,2160,2264,1809,371,1174,1670,1258,457,7526,4101,2537,1644,4568,3832,4543,3979,6627,5659,4254,6924,2262,2277,1524,26889,22925,111062,36075,20454,31398,3989,10232,8514
382,3977,1519,1478,3481,1315,1640,2867,2156,2187,1859,368,1137,1657,1259,492,7485,4071,2554,1655,4485,3838,4503,3866,6615,5685,4264,6852,2234,2277,1550,26864,22925,111412,36161,20454,31508,4015,10232,8514
383,3907,1497,1460,3420,1372,1672,2781,2122,2266,1816,356,1146,1661,1296,476,7412,4089,2535,1631,4441,3774,4348,3877,6686,5655,4149,6930,2248,2264,1494,26873,22925,111745,36247,20454,31657,4033,10232,8514
384,3957,1453,1499,3416,1323,1667,2736,2108,2186,1786,347,1170,1659,1294,490,7313,4098,2519,1669,4365,3749,4360,3810,6643,5648,4138,6917,2214,2218,1515,26876,22925,112096,36327,20454,31766,4054,10232,8514
385,3832,1455,1513,3408,1392,1650,2693,2100,2124,1796,378,1125,1589,1315,480,7302,4111,2479,1606,4459,3728,4316,3762,6704,5575,4093,6828,2235,2220,1466,26873,22925,112453,36417,20454,31871,4088,10232,8514
386,3771,1403,1461,3405,1328,1593,2634,2116,2074,1786,383,1190,1635,1301,496,7159,4000,2554,1616,4337,3747,4218,3795,6772,5559,4073,6904,2186,2250,1528,26876,22925,112776,36477,20454,31965,4118,10232,8514
387,3801,1414,1488,3334,1359,1535,2656,2099,2062,1769,356,1143,1638,1294,515,7156,3952,2548,1663,4293,3729,4178,3792,6629,5639,4047,6860,2141,2208,1510,26873,22925,113118,36528,20454,32071,4138,10232,8514
388,3759,1468,1478,3258,1301,1571,2681,2042,2067,1778,349,1088,1581,1268,519,7266,3973,2538,1619,4352,3689,4152,3760,6647,5538,4069,6719,2146,2163,1448,26880,22925,113453,36628,20454,32179,4159,10232,8514
389,3662,1465,1470,3269,1295,1565,2671,2048,2104,1721,341,1082,1612,1289,515,7251,3924,2518,1614,4327,3623,4084,3734,6433,5652,4010,6706,2189,2201,1452,26874,22925,113767,36709,20454,32272,4187,10232,8514
390,3628,1470,1437,3344,1238,1580,2676,2087,1989,1722,355,1122,1608,1274,520,7149,3934,2451,1638,4250,3597,4059,3732,6379,5591,3980,6697,2170,2176,1507,26877,22925,114073,36783,20454,32379,4214,10232,8514
391,3552,1438,1409,3380,1310,1532,2631,2096,1924,1756,349,1080,1651,1255,517,7070,3935,2469,1619,4194,3613,4107,3662,6445,5497,3991,6636,2127,2140,1475,26879,22925,114401,36855,20454,32506,4235,10232,8514
392,3567,1435,1368,3296,1247,1606,2669,2018,1953,1671,342,1067,1565,1304,490,7092,3916,2487,1633,4219,3591,3958,3715,6427,5469,4058,6503,2114,2090,1458,26888,22925,114746,36955,20454,32610,4259,10232,8514
393,3552,1442,1383,3282,1257,1543,2572,1974,1953,1700,335,1083,1594,1272,500,7187,3861,2455,1610,4206,3534,3970,3658,6506,5386,3920,6525,2063,2129,1390,26866,22925,115099,37040,20454,32704,4285,10232,8514
394,3586,1470,1391,3277,1260,1523,2616,1936,1928,1657,355,1046,1587,1265,501,7152,3800,2450,1584,4157,3481,3861,3689,6428,5420,3874,6557,2067,2065,1386,26893,22925,115398,37122,20454,32800,4304,10232,8514
395,3465,1433,1370,3297,1247,1607,2636,1955,1907,1614,355,1055,1548,1286,480,7042,3761,2413,1594,4187,3468,3912,3605,6406,5329,3869,6515,2060,2076,1422,26868,22925,115732,37187,20454,32910,4325,10232,8514
396,3484,1441,1402,3240,1241,1569,2629,1942,1905,1707,364,1125,1590,1250,472,6968,3765,2383,1572,4059,3470,3943,3600,6427,5230,3806,6552,2073,2047,1403,26886,22925,116044,37268,20454,33000,4347,10232,8514
397,3502,1381,1388,3247,1181,1496,2619,1922,1941,1639,358,1028,1617,1236,480,7001,3802,2400,1600,4057,3443,3966,3560,6321,5246,3768,6538,2123,2000,1373,26869,22925,116362,37357,20454,33073,4379,10232,8514
398,3528,1379,1378,3227,1257,1531,2658,1860,1939,1586,349,1014,1558,1209,481,6834,3791,2385,1582,4158,3423,3950,3547,6174,5255,3837,6495,2049,2000,1390,26889,22925,116637,37407,20454,33182,4403,10232,8514
399,3497,1414,1352,3219,1237,1480,2656,1912,1858,1677,335,1065,1555,1229,464,6864,3804,2313,1604,4114,3374,3907,3516,6145,5238,3848,6384,1983,2017,1400,26864,22925,116893,37482,20454,33284,4427,10232,8514
400,3393,1403,1355,3257,1243,1495,2639,1886,1885,1639,360,1038,1519,1168,506,6883,3780,2336,1552,4092,3338,3872,3440,6208,5157,3830,6313,1960,2055,1423,26883,22925,117182,37553,20454,33388,4449,10232,8514
401,3445,1396,1318,3196,1277,1457,2610,1825,1879,1538,352,1032,1542,1157,516,6731,3739,2363,1563,4001,3393,3794,3457,6205,5150,3759,6372,2047,2064,1479,26872,22925,117453,37601,20454,33486,4480,10232,8514
402,3453,1425,1342,3190,1191,1419,2656,1858,1796,1593,374,1009,1517,1174,502,6726,3660,2324,1487,4033,3348,3819,3414,6109,5189,3701,6337,2011,2052,1499,26884,22925,117748,37682,20454,33583,4513,10232,8514
403,3290,1386,1334,3145,1212,1447,2640,1876,1897,1587,372,1070,1518,1166,493,6689,3631,2328,1496,4005,3331,3896,3384,6100,5132,3681,6286,1943,2014,1443,26866,22925,118047,37761,20454,33687,4534,10232,8514
404,3426,1360,1302,3109,1237,1443,2559,1874,1839,1546,374,998,1453,1210,476,6518,3634,2386,1488,4057,3302,3820,3384,6010,5143,3703,6308,1932,2036,1420,26887,22925,118341,37834,20454,33788,4559,10232,8514
405,3317,1376,1315,3025,1214,1410,2536,1847,1856,1577,359,996,1495,1226,463,6548,3608,2327,1498,3997,3346,3790,3428,6005,5031,3748,6204,1924,2042,1433,26869,22925,118632,37898,20454,33897,4588,10232,8514
406,3298,1299,1318,3031,1169,1367,2501,1867,1748,1608,353,1013,1498,1175,458,6497,3648,2354,1547,3901,3401,3828,3391,6013,4958,3732,6168,1905,2028,1417,26874,22925,118929,37984,20454,33997,4619,10232,8514
407,3330,1340,1351,3069,1197,1386,2480,1808,1806,1521,341,1023,1475,1155,443,6369,3621,2285,1510,3909,3413,3761,3388,5949,4940,3699,6161,1883,2086,1353,26879,22925,119227,38069,20454,34086,4650,10232,8514
408,3242,1347,1296,3067,1151,1376,2509,1770,1837,1528,329,993,1460,1161,435,6399,3596,2326,1487,3886,3363,3698,3432,5916,4950,3672,6147,1886,2061,1377,26869,22925,119476,38137,20454,34178,4675,10232,8514
409,3306,1334,1316,3022,1194,1434,2479,1843,1738,1513,325,957,1496,1153,418,6438,3547,2256,1513,3866,3303,3695,3306,5821,4998,3643,6075,1853,2100,1363,26894,22925,119734,38192,20454,34278,4698,10232,8514
410,3312,1349,1328,2969,1133,1394,2491,1796,1851,1498,327,986,1452,1130,409,6366,3587,2172,1512,3919,3325,3652,3337,5758,4928,3586,6104,1838,2075,1392,26877,22925,119982,38243,20454,34372,4720,10232,8514
411,3327,1315,1341,2959,1159,1382,2482,1795,1801,1492,347,977,1475,1122,427,6414,3596,2171,1501,3872,3303,3707,3211,5759,4862,3563,5976,1817,2085,1337,26880,22925,120248,38319,20454,34468,4749,10232,8514
412,3225,1326,1266,2906,1163,1368,2436,1798,1800,1543,337,1026,1445,1115,428,6389,3562,2208,1502,3823,3255,3637,3301,5694,4817,3519,6006,1800,2137,1332,26869,22925,120516,38416,20454,34573,4770,10232,8514
413,3263,1271,1269,2959,1175,1360,2441,1742,1764,1421,331,1008,1419,1113,429,6312,3610,2254,1483,3812,3179,3624,3256,5672,4799,3498,6080,1796,2051,1365,26889,22925,120802,38469,20454,34656,4805,10232,8514
414,3177,1277,1248,2934,1169,1359,2402,1726,1779,1482,325,975,1383,1053,453,6263,3556,2218,1517,3813,3237,3694,3193,5638,4798,3514,5990,1771,2030,1376,26870,22925,121101,38532,20454,34747,4846,10232,8514
415,3244,1276,1291,2895,1074,1388,2393,1711,1734,1425,328,975,1382,1073,438,6283,3506,2178,1493,3800,3149,3627,3290,5601,4790,3557,5784,1846,2001,1408,26886,22925,121383,38604,20454,34826,4876,10232,8514
416,3179,1308,1277,2885,1147,1343,2405,1652,1774,1508,302,942,1409,1075,422,6280,3492,2185,1449,3781,3135,3575,3280,5627,4753,3518,5758,1824,1944,1324,26871,22925,121663,38683,20454,34918,4896,10232,8514
417,3222,1324,1244,2896,1155,1308,2405,1648,1704,1516,307,923,1389,1060,426,6273,3458,2197,1430,3714,3094,3541,3270,5570,4791,3440,5765,1826,1942,1308,26882,22925,121920,38756,20454,35032,4917,10232,8514
418,3134,1271,1298,2892,1099,1361,2382,1652,1764,1489,308,967,1382,1053,436,6127,3389,2141,1453,3696,3117,3531,3243,5518,4811,3440,5751,1801,1979,1317,26868,22925,122174,38825,20454,35108,4945,10232,8514
419,3185,1249,1276,2871,1150,1366,2340,1688,1656,1442,304,970,1380,1025,417,6153,3343,2163,1452,3685,3078,3517,3194,5590,4740,3404,5714,1772,1974,1344,26889,22925,122407,38883,20454,35204,4966,10232,8514
420,3093,1255,1239,2849,1120,1278,2303,1702,1763,1454,322,965,1426,1019,398,6142,3378,2183,1390,3646,3064,3509,3122,5525,4763,3363,5713,1805,1903,1363,26865,22925,122719,38934,20454,35291,4996,10232,8514
421,3157,1243,1212,2882,1087,1321,2326,1734,1728,1460,303,898,1430,1000,410,6070,3321,2195,1394,3643,3020,3498,3078,5606,4672,3350,5670,1728,1850,1335,26885,22925,123015,38996,20454,35394,5018,10232,8514
422,3141,1259,1206,2860,1092,1272,2314,1696,1764,1459,281,943,1391,1011,416,5972,3243,2164,1407,3616,3058,3528,2983,5566,4669,3341,5631,1791,1910,1329,26873,22925,123236,39064,20454,35466,5046,10232,8514
423,3179,1276,1215,2857,1046,1305,2320,1704,1730,1439,295,929,1403,984,424,6015,3288,2132,1375,3581,3016,3541,2964,5478,4629,3288,5580,1771,1839,1304,26881,22925,123534,39126,20454,35542,5077,10232,8514
424,3080,1300,1182,2869,1107,1303,2311,1676,1746,1407,301,887,1352,1020,398,6028,3289,2124,1370,3597,2954,3466,3001,5413,4615,3290,5531,1774,1851,1293,26875,22925,123805,39180,20454,35643,5098,10232,8514
425,3098,1251,1180,2786,1020,1293,2282,1697,1675,1427,286,880,1325,969,405,5974,3305,2117,1392,3595,3011,3445,3021,5394,4562,3300,5560,1780,1819,1302,26864,22925,124093,39242,20454,35724,5131,10232,8514
426,3033,1289,1196,2745,1120,1279,2247,1726,1688,1425,305,858,1308,994,386,5945,3251,2049,1330,3594,2978,3471,2978,5369,4587,3223,5555,1743,1833,1281,26887,22925,124325,39302,20454,35817,5157,10232,8514
427,3039,1241,1159,2705,1085,1236,2229,1697,1657,1424,318,899,1314,994,378,5864,3214,2089,1343,3549,2946,3438,3010,5333,4595,3222,5579,1742,1865,1289,26867,22925,124538,39364,20454,35908,5189,10232,8514
428,3010,1237,1156,2745,1124,1312,2255,1706,1620,1377,304,852,1309,1000,354,5957,3195,2128,1344,3523,2851,3380,3029,5299,4475,3223,5436,1741,1861,1259,26883,22925,124797,39422,20454,35973,5227,10232,8514
429,2962,1268,1184,2719,1034,1338,2250,1687,1677,1437,331,850,1299,973,347,5895,3193,2064,1290,3488,2882,3361,2979,5299,4440,3205,5439,1696,1884,1283,26864,22925,125018,39476,20454,36032,5265,10232,8514
430,2977,1239,1148,2720,1047,1261,2286,1641,1715,1369,289,913,1298,964,356,5798,3175,2054,1340,3466,2848,3354,2948,5236,4391,3240,5436,1696,1868,1281,26892,22925,125275,39522,20454,36125,5286,10232,8514
431,3053,1255,1188,2707,1071,1215,2250,1674,1664,1395,295,883,1239,972,365,5724,3132,2014,1308,3536,2854,3305,2907,5240,4407,3196,5444,1655,1845,1216,26864,22925,125545,39564,20454,36194,5323,10232,8514
432,3001,1191,1186,2685,1121,1233,2187,1670,1630,1353,300,888,1256,947,357,5680,3130,2026,1340,3472,2898,3200,2961,5191,4398,3160,5375,1692,1879,1182,26893,22925,125815,39623,20454,36278,5346,10232,8514
433,3015,1164,1212,2685,987,1254,2203,1669,1607,1393,305,938,1245,965,354,5596,3160,2015,1314,3459,2894,3196,2883,5114,4399,3168,5340,1665,1853,1198,26863,22925,126082,39677,20454,36346,5371,10232,8514
434,2889,1159,1191,2671,1077,1172,2157,1649,1646,1374,299,831,1244,929,365,5616,3116,2046,1290,3488,2911,3244,2866,5137,4368,3169,5253,1672,1846,1217,26882,22925,126304,39725,20454,36431,5400,10232,8514
435,2971,1149,1227,2585,1019,1215,2108,1674,1552,1303,303,904,1250,925,356,5619,3065,1993,1291,3447,2922,3174,2895,5104,4381,3198,5186,1649,1838,1253,26869,22925,126550,39784,20454,36502,5418,10232,8514
436,2826,1160,1179,2559,1033,1260,2090,1620,1633,1305,318,856,1262,951,351,5555,3146,2047,1250,3471,2872,3093,2884,5074,4354,3170,5127,1665,1827,1277,26877,22925,126746,39850,20454,36593,5443,10232,8514
437,2859,1184,1209,2569,1015,1190,2096,1651,1506,1374,298,810,1251,926,359,5529,3150,1998,1251,3451,2852,3057,2926,4993,4364,3142,5110,1653,1815,1258,26878,22925,126999,39905,20454,36663,5478,10232,8514
438,2768,1162,1191,2506,1010,1229,2107,1591,1638,1368,274,872,1265,910,372,5612,3169,1975,1293,3378,2791,3104,2868,4972,4293,3137,5010,1588,1780,1234,26884,22925,127258,39965,20454,36739,5501,10232,8514
439,2937,1127,1176,2562,1028,1175,2102,1589,1475,1278,300,828,1259,950,361,5547,3136,2001,1257,3381,2749,3080,2840,4880,4375,3070,5054,1616,1729,1191,26872,22925,127546,40027,20454,36834,5527,10232,8514
440,2775,1117,1157,2525,1030,1194,2115,1565,1532,1378,298,851,1243,967,368,5625,3153,1968,1264,3382,2642,3104,2737,4798,4399,3022,4981,1611,1697,1179,26880,22925,127791,40083,20454,36909,5564,10232,8514
441,2781,1064,1133,2503,1007,1240,2056,1555,1507,1271,295,847,1221,963,367,5549,3148,2005,1259,3415,2649,3071,2759,4817,4302,3030,4945,1669,1762,1179,26865,22925,127999,40142,20454,36982,5592,10232,8514
442,2722,1080,1164,2533,946,1270,2012,1510,1591,1398,289,816,1193,951,338,5404,3127,1959,1228,3429,2658,3098,2730,4814,4301,3058,4982,1656,1750,1216,26890,22925,128229,40205,20454,37043,5626,10232,8514
443,2802,1075,1168,2523,997,1171,1995,1500,1521,1368,283,818,1206,928,369,5418,3121,1909,1262,3427,2650,3075,2763,4788,4320,3074,4969,1673,1764,1219,26869,22925,128440,40250,20454,37116,5652,10232,8514
444,2765,1132,1135,2468,1043,1218,1966,1549,1514,1332,262,875,1198,922,374,5484,3125,1899,1258,3318,2674,3009,2789,4766,4261,3048,4902,1700,1766,1221,26888,22925,128675,40340,20454,37191,5683,10232,8514
445,2766,1092,1106,2504,1008,1213,1953,1541,1604,1367,270,807,1218,933,369,5387,3128,1961,1222,3342,2691,3018,2803,4818,4194,3026,4882,1665,1710,1231,26867,22925,128922,40409,20454,37285,5705,10232,8514
446,2869,1117,1077,2486,1026,1190,1948,1604,1492,1346,267,840,1195,965,337,5387,3087,1952,1194,3320,2692,3102,2762,4761,4180,3070,4784,1681,1723,1234,26887,22925,129149,40459,20454,37364,5737,10232,8514
447,2791,1107,1063,2464,1049,1249,1947,1568,1616,1283,283,822,1221,924,365,5297,3023,1938,1186,3267,2703,3069,2779,4773,4154,3022,4884,1619,1708,1222,26868,22925,129405,40517,20454,37439,5771,10232,8514
