Time,Bangui,Bangassou,Mobaye,Sibut,Bouar,Bossangoa,Nola,Mbaiki,Bimbo,Bozoum,Obo,Bambari,Bria,Ndele,Birao,Kaga Bandoro,Berberati,Melego,Rafai,Ippy,Mbres,Bossembele,Yaloke,Katakpo,Banga,Kago,Yapara,Beboura III,Gamboula,Baboua,Belom,Dosseye,East,Adamaoua,Monga,Mole,Gbadolite,Inke,Betou,Brazaville
665,1620,427,400,1144,620,559,1641,1150,834,674,79,370,458,440,109,2091,2290,656,343,1321,1119,1728,1687,3563,3244,1377,1822,1069,1355,792,100035,87337,109121,34016,51284,471,23454,5550,82590,8093
666,1517,445,403,1144,615,524,1666,1106,829,728,71,374,448,443,114,2073,2299,625,350,1309,1079,1789,1602,3473,3256,1350,1804,1050,1357,802,100135,87394,109194,34022,51315,472,23455,5572,82634,8095
667,1501,446,419,1134,623,562,1680,1153,829,688,69,365,477,408,112,2063,2309,612,345,1270,1102,1759,1540,3474,3175,1321,1789,1064,1333,775,100222,87412,109260,34025,51339,474,23464,5587,82649,8104
668,1512,440,418,1129,602,540,1621,1132,775,675,68,371,455,398,95,2030,2297,613,328,1287,1081,1697,1609,3463,3149,1320,1796,1060,1315,782,100324,87443,109355,34030,51376,475,23490,5595,82680,8107
669,1424,427,426,1161,590,544,1586,1114,822,679,69,317,471,412,94,2065,2339,610,319,1314,1038,1629,1640,3443,3074,1307,1748,1047,1333,756,100379,87476,109412,34055,51423,476,23521,5602,82709,8111
670,1488,422,429,1138,546,489,1587,1132,785,655,79,369,474,395,101,2027,2316,602,307,1286,1018,1635,1585,3391,3058,1289,1761,1036,1357,785,100471,87521,109450,34064,51457,478,23522,5618,82749,8119
671,1442,432,406,1111,592,529,1604,1151,788,636,74,370,471,395,110,1948,2298,607,296,1309,1008,1634,1522,3399,2978,1300,1753,1042,1363,787,100527,87538,109483,34076,51480,480,23539,5640,82765,8137
672,1435,426,398,1137,582,521,1578,1114,771,656,72,340,488,399,109,1938,2293,625,294,1241,1020,1585,1543,3408,2942,1329,1726,1033,1364,743,100574,87581,109554,34076,51524,481,23555,5655,82796,8143
673,1444,424,408,1103,555,481,1570,1131,738,632,66,378,450,413,102,1992,2294,620,305,1282,958,1607,1536,3438,2895,1367,1631,1024,1321,744,100644,87603,109605,34090,51531,484,23580,5666,82814,8152
674,1417,426,411,1112,556,469,1603,1138,809,650,76,322,450,390,108,1955,2216,628,290,1264,992,1545,1548,3332,2947,1369,1625,983,1315,723,100708,87635,109685,34085,51562,484,23591,5684,82848,8156
675,1460,422,414,1060,522,497,1575,1130,792,679,80,338,449,395,110,1907,2169,637,317,1186,1003,1547,1482,3345,2963,1331,1654,962,1305,753,100766,87669,109738,34079,51575,486,23608,5688,82874,8169
676,1423,432,415,1046,580,454,1572,1127,766,653,80,327,451,393,110,1962,2182,623,321,1154,992,1527,1501,3333,2933,1320,1619,944,1283,732,100834,87702,109809,34104,51605,486,23624,5700,82875,8171
677,1396,429,439,1070,557,452,1536,1154,762,663,68,317,488,393,99,1888,2171,591,333,1154,962,1486,1481,3373,2871,1312,1676,912,1291,770,100881,87731,109874,34103,51634,488,23630,5719,82863,8177
678,1382,432,443,1047,543,496,1553,1124,766,598,62,313,459,355,111,1867,2154,578,332,1207,940,1450,1496,3312,2872,1273,1710,958,1268,744,100966,87750,109927,34131,51667,491,23639,5734,82893,8180
679,1381,423,462,1030,522,464,1567,1098,801,614,55,304,448,356,109,1891,2103,561,332,1204,933,1433,1481,3267,2854,1331,1644,951,1291,738,100999,87779,110004,34139,51700,493,23652,5745,82905,8188
680,1289,414,440,1026,560,469,1519,1098,749,625,49,320,442,371,102,1864,2090,566,326,1188,921,1498,1403,3290,2849,1260,1658,967,1293,732,101076,87800,110081,34146,51749,495,23668,5761,82932,8195
681,1384,412,406,974,539,460,1533,1068,735,590,53,342,422,397,94,1913,2099,588,323,1165,924,1471,1387,3277,2809,1254,1609,989,1268,740,101121,87797,110128,34145,51783,496,23683,5778,82959,8195
682,1355,426,385,967,519,462,1549,1042,754,587,58,311,439,362,106,1901,2079,605,292,1188,904,1446,1380,3246,2788,1226,1656,945,1296,753,101177,87839,110160,34157,51811,496,23701,5788,82994,8189
683,1337,412,381,942,528,470,1580,1045,724,647,64,335,430,361,100,1858,2091,593,294,1217,883,1419,1330,3215,2746,1271,1616,931,1277,715,101232,87866,110225,34166,51837,497,23723,5798,83017,8195
684,1302,412,404,952,574,485,1561,1056,806,650,68,332,436,354,92,1814,2155,578,287,1219,929,1444,1341,3230,2653,1253,1607,1008,1256,706,101285,87850,110304,34179,51860,498,23715,5826,83057,8200
685,1469,411,377,1009,543,481,1527,1072,816,653,65,339,464,336,110,1825,2140,577,296,1186,917,1443,1310,3171,2720,1249,1597,1015,1292,727,101336,87868,110316,34188,51893,501,23746,5832,83084,8207
686,1488,389,383,1016,601,496,1459,1085,887,643,60,356,462,335,111,1824,2067,583,314,1162,921,1466,1311,3134,2796,1251,1565,1011,1350,740,101399,87911,110352,34206,51915,503,23752,5849,83106,8219
687,1502,395,405,1035,627,474,1463,1117,870,661,60,356,437,355,103,1814,2047,573,312,1204,889,1447,1317,3139,2813,1250,1558,1049,1355,793,101470,87937,110395,34220,51932,502,23773,5860,83117,8222
688,1554,399,409,1055,585,476,1442,1137,931,656,62,365,424,365,86,1793,2050,565,294,1226,884,1463,1341,3128,2850,1251,1556,1054,1320,817,101521,87967,110450,34228,51973,502,23796,5876,83141,8226
689,1527,403,372,1057,647,495,1500,1163,912,676,66,333,425,351,100,1796,2107,594,280,1234,848,1478,1352,3112,2826,1275,1555,1049,1262,844,101566,88009,110501,34236,52004,504,23821,5890,83190,8228
690,1588,400,378,1063,637,471,1499,1165,906,681,59,381,424,327,109,1827,2152,594,291,1178,882,1530,1350,3123,2788,1253,1529,1019,1238,846,101641,88083,110564,34258,52032,505,23834,5900,83226,8227
691,1565,395,382,1089,674,481,1479,1198,925,684,59,328,456,354,100,1847,2174,616,289,1188,893,1530,1396,3125,2732,1214,1516,1038,1265,841,101691,88114,110626,34274,52044,507,23845,5915,83239,8240
692,1625,384,407,1085,684,481,1466,1190,913,725,64,367,478,358,103,1832,2103,591,296,1152,883,1505,1456,3123,2772,1215,1521,1021,1321,837,101738,88148,110680,34292,52063,507,23857,5926,83288,8241
693,1605,363,415,1093,704,539,1444,1208,955,725,53,336,463,388,99,1848,2108,610,301,1182,877,1541,1439,3160,2721,1190,1496,1032,1328,873,101793,88196,110719,34296,52099,509,23874,5936,83304,8246
694,1643,381,413,1105,593,478,1445,1178,881,688,67,324,453,376,96,1850,2062,604,275,1170,881,1554,1451,3210,2702,1204,1509,1032,1334,920,101853,88255,110758,34299,52120,511,23884,5948,83335,8251
695,1476,383,424,1082,629,485,1462,1180,890,671,64,334,456,366,103,1828,2066,612,286,1138,921,1581,1452,3128,2704,1183,1509,1028,1349,872,101892,88301,110832,34315,52133,511,23885,5966,83373,8248
696,1541,394,424,1051,556,514,1470,1129,872,624,59,324,434,363,113,1832,2081,613,273,1162,889,1546,1484,3123,2646,1218,1523,1029,1343,859,101906,88327,110906,34327,52156,513,23886,5983,83401,8249
697,1496,384,404,1044,610,501,1498,1187,805,639,61,323,436,389,106,1826,2074,618,298,1120,884,1538,1453,3127,2633,1215,1541,1019,1287,804,101944,88332,110966,34361,52179,515,23902,5996,83404,8249
698,1424,407,389,1050,588,468,1520,1193,809,658,62,332,456,377,109,1810,2073,603,293,1122,871,1540,1426,3098,2664,1249,1526,994,1221,816,101979,88369,111018,34369,52200,516,23922,6008,83410,8254
699,1423,404,364,1051,574,501,1475,1175,807,583,69,332,421,370,105,1795,2087,590,280,1157,880,1513,1445,3042,2667,1234,1555,1027,1234,806,101987,88377,111064,34384,52248,518,23929,6037,83451,8257
700,1472,405,380,1101,607,505,1405,1161,938,703,61,331,412,384,102,1787,2106,575,296,1168,879,1575,1387,3127,2611,1242,1521,994,1259,789,102022,88421,111099,34403,52285,519,23944,6043,83458,8255
701,1685,399,397,1085,672,504,1378,1186,888,674,68,337,419,354,120,1839,2140,585,300,1136,870,1580,1392,3158,2604,1240,1525,1017,1222,799,102078,88448,111164,34416,52302,522,23956,6057,83479,8251
702,1686,429,379,1065,694,501,1395,1186,1023,733,78,383,385,349,118,1833,2049,607,271,1192,869,1592,1413,3132,2676,1232,1517,1023,1226,815,102149,88482,111220,34422,52329,521,23957,6073,83509,8247
703,1721,434,376,1071,675,490,1398,1150,916,708,78,320,410,337,117,1831,2044,620,249,1170,839,1534,1463,3083,2746,1219,1527,1042,1230,817,102219,88496,111246,34456,52370,523,23969,6086,83539,8255
704,1571,415,367,1092,630,472,1402,1133,911,689,76,347,418,350,105,1778,2051,628,268,1162,833,1553,1439,3119,2704,1250,1508,1007,1217,849,102271,88552,111314,34461,52401,526,23975,6106,83572,8266
705,1543,418,391,1096,626,478,1423,1160,858,629,74,358,419,352,99,1771,2018,602,257,1152,863,1529,1446,3060,2685,1229,1503,1010,1242,834,102326,88572,111375,34465,52427,526,23986,6124,83604,8272
706,1524,408,390,1077,588,475,1439,1154,879,659,70,339,415,348,95,1801,1988,606,288,1116,879,1492,1428,3009,2740,1205,1443,964,1206,831,102418,88627,111416,34480,52446,526,24000,6134,83635,8278
707,1458,405,387,1072,614,463,1428,1172,847,623,74,316,435,351,100,1804,1962,620,282,1106,845,1499,1395,3039,2715,1192,1452,998,1211,812,102461,88634,111473,34496,52478,527,24001,6156,83649,8278
708,1462,435,370,1064,566,451,1401,1159,806,613,80,321,420,358,104,1776,1973,599,275,1109,843,1459,1395,3090,2642,1222,1429,968,1234,803,102518,88671,111531,34508,52500,528,24021,6169,83690,8281
709,1385,412,385,1029,542,496,1379,1097,834,602,77,343,408,351,103,1756,1980,613,292,1089,834,1466,1383,3104,2585,1186,1461,962,1283,812,102565,88699,111546,34519,52532,529,24028,6182,83726,8283
710,1402,430,386,990,533,459,1427,1099,781,609,69,318,398,335,104,1769,1991,624,295,1110,831,1441,1369,3062,2552,1153,1468,974,1269,790,102641,88719,111591,34539,52557,530,24030,6201,83742,8284
711,1355,417,394,1012,548,453,1409,1109,773,570,74,302,423,345,84,1797,2019,607,284,1088,835,1401,1393,2972,2573,1146,1426,941,1294,791,102708,88769,111644,34547,52590,532,24032,6218,83722,8289
712,1331,417,379,995,500,454,1362,1125,778,608,70,289,416,366,80,1764,1971,621,277,1083,821,1420,1343,3015,2594,1153,1437,900,1270,795,102762,88793,111704,34553,52621,532,24040,6235,83732,8294
713,1347,395,411,1008,556,407,1411,1137,745,536,76,311,429,361,75,1731,1984,588,289,1025,849,1441,1315,2994,2518,1171,1439,923,1253,761,102779,88829,111744,34564,52658,531,24046,6242,83738,8297
714,1325,382,395,978,562,463,1389,1149,771,559,66,325,422,360,87,1730,1961,583,312,1027,851,1389,1290,2979,2525,1114,1455,887,1257,750,102821,88850,111783,34571,52681,533,24057,6258,83739,8292
715,1382,394,410,976,506,382,1395,1093,741,569,65,290,417,345,88,1715,1914,542,310,1044,839,1408,1281,2984,2566,1122,1502,893,1224,720,102849,88897,111832,34603,52711,535,24058,6278,83759,8303
716,1212,389,407,946,530,474,1408,1076,771,567,80,327,378,345,91,1732,1917,559,285,1057,823,1400,1244,2968,2528,1101,1494,874,1210,738,102894,88927,111903,34606,52721,538,24083,6289,83767,8297
717,1365,385,406,922,525,408,1395,1065,656,570,84,292,391,354,91,1682,1865,544,287,1042,849,1370,1260,3006,2511,1134,1486,906,1196,725,102921,88930,111951,34605,52753,538,24093,6307,83796,8304
718,1202,393,398,895,502,412,1417,1043,773,600,82,328,415,345,89,1700,1873,553,297,973,818,1367,1258,3013,2482,1122,1467,898,1180,740,102984,88949,111984,34607,52772,538,24091,6334,83788,8302
719,1348,402,384,916,514,480,1392,1057,650,509,68,294,419,338,89,1647,1818,555,291,1006,830,1388,1237,2944,2532,1116,1451,880,1193,728,103021,88964,112010,34618,52794,539,24099,6354,83814,8309
720,1182,380,400,941,527,404,1357,1009,717,567,68,295,421,347,95,1652,1860,558,274,996,809,1374,1225,2976,2514,1106,1454,923,1164,741,103067,88957,112029,34625,52838,539,24101,6374,83835,8311
721,1230,388,408,925,488,470,1389,980,679,526,54,281,398,329,104,1657,1859,531,286,1003,796,1326,1267,2885,2522,1096,1468,925,1178,745,103099,88969,112062,34630,52859,540,24114,6396,83853,8311
722,1234,392,379,945,473,424,1344,965,645,547,47,277,409,320,111,1607,1888,539,288,977,811,1338,1240,2879,2507,1132,1472,954,1177,725,103127,88969,112106,34640,52878,540,24140,6411,83863,8320
723,1189,392,361,956,512,419,1344,942,668,559,41,280,381,337,90,1626,1864,540,271,1027,781,1314,1200,2853,2515,1148,1448,944,1174,716,103169,89002,112132,34634,52914,540,24159,6414,83869,8329
724,1226,384,367,917,493,425,1318,917,667,501,42,284,388,352,85,1627,1867,531,287,1002,756,1340,1204,2825,2535,1108,1485,919,1156,718,103215,89039,112179,34630,52928,541,24160,6432,83885,8333
725,1197,382,370,878,476,415,1318,920,649,560,52,293,366,325,106,1591,1850,512,271,999,796,1328,1213,2790,2545,1131,1483,888,1144,713,103260,89045,112225,34635,52965,541,24171,6444,83892,8343
726,1179,370,339,852,494,406,1336,904,645,597,55,281,364,319,99,1598,1783,510,281,979,804,1320,1203,2777,2552,1117,1467,898,1160,688,103329,89048,112256,34646,53008,543,24181,6463,83905,8340
727,1185,369,342,886,447,423,1280,927,642,528,55,256,350,297,92,1588,1783,498,281,994,822,1358,1193,2777,2526,1105,1453,919,1167,696,103378,89063,112296,34654,53036,544,24191,6474,83890,8345
728,1157,378,321,855,481,470,1284,955,663,473,67,298,366,315,94,1612,1748,519,267,970,782,1308,1213,2785,2473,1108,1408,898,1203,650,103405,89072,112339,34665,53053,545,24201,6490,83882,8351
729,1192,378,338,923,560,413,1263,993,796,609,56,300,337,335,94,1594,1853,501,279,1032,747,1357,1256,2743,2455,1134,1401,891,1166,670,103443,89091,112381,34660,53081,548,24194,6516,83866,8355
730,1375,360,344,914,529,427,1257,1041,721,571,66,292,330,322,101,1598,1923,492,277,1034,764,1381,1253,2716,2439,1125,1353,897,1150,679,103485,89113,112431,34664,53126,548,24204,6524,83860,8361
731,1309,366,341,954,509,415,1268,1075,815,600,59,297,356,300,102,1577,1897,494,275,1012,792,1409,1279,2713,2438,1131,1353,910,1124,695,103529,89121,112460,34667,53137,553,24208,6538,83851,8364
732,1356,370,361,945,567,441,1273,1062,803,601,62,290,352,301,109,1592,1876,485,289,1016,769,1385,1311,2708,2443,1084,1352,918,1134,710,103589,89130,112473,34666,53150,553,24207,6554,83880,8372
733,1383,366,358,920,516,462,1260,1074,717,586,67,298,346,309,107,1576,1867,483,281,1052,740,1418,1299,2715,2413,1117,1302,906,1129,729,103624,89156,112517,34670,53173,554,24212,6568,83891,8382
734,1262,371,342,926,556,439,1258,1027,732,564,72,321,340,320,87,1577,1876,500,276,1027,744,1434,1289,2742,2400,1094,1320,929,1123,694,103671,89166,112557,34673,53189,555,24232,6572,83913,8377
735,1306,370,333,933,495,427,1235,1001,680,593,74,331,323,346,77,1598,1811,521,263,1034,724,1392,1280,2811,2385,1069,1307,924,1132,703,103706,89185,112588,34676,53216,560,24233,6595,83935,8379
736,1259,373,329,901,506,456,1246,957,689,568,72,306,335,339,75,1612,1811,527,271,1039,729,1355,1283,2797,2367,1081,1291,942,1116,713,103728,89195,112625,34680,53227,563,24244,6605,83961,8382
737,1191,363,359,891,532,425,1232,935,640,561,68,304,330,327,80,1616,1774,518,279,1044,724,1378,1278,2788,2383,1031,1325,926,1138,714,103778,89217,112659,34697,53228,565,24250,6628,83990,8393
738,1251,372,336,896,457,415,1213,924,635,542,59,299,325,310,97,1608,1721,525,261,1069,713,1385,1279,2780,2420,1057,1317,896,1148,702,103800,89232,112692,34701,53260,566,24267,6640,83991,8402
739,1163,370,335,861,450,410,1249,941,704,528,56,268,334,341,84,1553,1752,531,277,1032,766,1406,1262,2716,2385,1064,1345,950,1105,677,103819,89216,112739,34720,53269,568,24283,6652,83986,8400
740,1182,408,343,886,453,419,1295,970,628,550,48,277,348,358,80,1554,1748,504,270,992,739,1342,1301,2655,2429,1056,1339,884,1062,651,103856,89256,112768,34729,53270,568,24300,6661,83987,8405
741,1136,399,346,895,438,457,1306,981,661,538,57,289,344,340,76,1549,1706,494,275,984,773,1351,1255,2638,2416,1027,1326,874,1096,654,103885,89269,112791,34721,53288,571,24310,6677,83977,8405
742,1135,393,324,860,446,400,1272,975,655,528,49,285,104,313,80,1553,1766,509,281,1211,794,1367,1204,2690,2357,1036,1302,884,1095,669,103937,89280,112821,34724,53321,570,24316,6698,83971,8404
743,1153,421,347,845,437,396,1285,981,638,488,51,301,138,294,87,1529,1726,480,281,1126,821,1318,1236,2640,2400,1066,1309,905,1099,651,103966,89267,112855,34739,53325,571,24319,6716,83973,8403
744,1127,420,341,835,463,430,1288,1001,608,523,56,277,122,292,86,1494,1830,476,288,1117,818,1289,1204,2633,2330,1059,1317,886,1060,617,104027,89282,112895,34747,53341,572,24330,6729,83972,8405
745,1099,398,341,842,465,398,1251,970,626,544,57,283,105,304,75,1509,1804,490,290,1105,798,1305,1181,2666,2292,1033,1314,893,1062,629,104064,89297,112947,34738,53368,573,24343,6733,83991,8408
746,1193,420,332,849,418,441,1274,974,614,488,66,304,114,301,70,1517,1747,496,259,1069,801,1278,1162,2647,2312,1032,1290,881,1051,645,104098,89324,112951,34734,53375,575,24352,6750,83981,8410
747,1092,414,334,842,456,392,1256,971,657,512,65,279,120,281,78,1511,1757,482,278,1059,758,1282,1133,2637,2325,1060,1310,898,1081,631,104141,89325,112968,34729,53398,578,24352,6770,83986,8401
748,1146,420,336,802,421,402,1248,979,604,493,67,312,103,301,64,1501,1779,476,265,1063,726,1282,1128,2573,2366,1063,1320,862,1068,648,104178,89355,112994,34711,53414,579,24363,6791,83999,8401
749,1093,384,351,848,432,372,1231,926,629,490,63,261,125,298,57,1482,1706,491,291,1010,759,1261,1123,2559,2382,1060,1268,920,1109,666,104234,89361,112998,34720,53441,581,24365,6811,84042,8407
750,1104,386,336,814,405,377,1207,929,617,538,65,270,117,281,71,1567,1691,514,274,980,706,1251,1109,2556,2383,1018,1231,923,1127,671,104291,89361,113026,34722,53457,581,24377,6825,84055,8398
751,1136,387,335,830,444,405,1202,903,607,463,67,266,112,269,78,1524,1689,511,264,951,732,1219,1136,2577,2361,1001,1255,921,1086,628,104316,89380,113073,34725,53479,581,24393,6841,84071,8397
752,1107,407,319,808,440,416,1167,858,625,492,62,292,112,284,78,1512,1661,513,270,922,715,1193,1151,2585,2383,1017,1279,872,1079,618,104315,89409,113120,34728,53494,582,24412,6845,84086,8391
753,1142,415,328,827,420,358,1166,888,602,493,56,268,97,285,82,1507,1721,497,287,928,713,1180,1171,2510,2341,1028,1287,837,1078,605,104336,89436,113148,34736,53498,587,24417,6861,84094,8393
754,1050,438,319,791,455,382,1141,898,647,484,60,248,110,270,85,1485,1693,503,264,924,745,1153,1192,2490,2368,1021,1257,814,1078,626,104389,89446,113154,34737,53521,588,24422,6875,84107,8393
755,1084,436,335,770,426,381,1145,932,604,455,56,254,108,294,74,1441,1717,478,270,898,751,1189,1135,2565,2277,1023,1283,829,1040,650,104420,89448,113175,34728,53538,590,24435,6886,84106,8397
756,1076,416,326,772,469,371,1123,950,587,477,53,236,100,297,78,1466,1674,489,265,922,725,1162,1132,2552,2315,1050,1239,819,1067,625,104429,89448,113202,34721,53571,590,24443,6892,84098,8396
757,1062,418,314,756,463,366,1172,930,589,483,51,258,89,298,69,1472,1699,484,268,924,706,1159,1119,2551,2232,1063,1221,819,1055,624,104455,89450,113224,34730,53586,593,24453,6904,84119,8395
758,1086,387,342,779,451,359,1130,881,600,459,53,250,101,285,78,1430,1690,483,272,915,686,1146,1105,2562,2222,1033,1277,817,1056,634,104492,89449,113270,34733,53597,595,24466,6916,84137,8399
759,1096,369,335,738,438,393,1173,901,601,466,50,227,107,307,60,1387,1630,491,278,912,687,1166,1087,2520,2203,1006,1285,807,1083,644,104528,89454,113283,34730,53636,596,24471,6934,84144,8400
760,1064,377,345,759,431,357,1135,877,573,486,52,250,95,274,72,1407,1636,472,267,925,682,1183,1066,2541,2200,1009,1247,813,1095,653,104562,89464,113274,34747,53641,596,24486,6948,84163,8399
761,1055,369,334,751,449,376,1126,878,584,476,54,260,96,285,64,1413,1607,470,254,936,683,1165,1074,2532,2238,997,1214,827,1067,644,104562,89457,113316,34742,53665,596,24514,6955,84156,8396
762,1070,368,326,748,409,347,1112,868,612,489,49,233,106,298,72,1397,1609,493,268,908,651,1131,1076,2545,2228,1031,1216,841,1053,659,104595,89456,113333,34738,53679,598,24520,6968,84154,8397
763,1058,362,315,716,447,379,1149,899,592,493,58,225,115,299,78,1426,1657,508,234,886,658,1141,1052,2483,2179,1007,1189,805,1023,661,104652,89463,113343,34732,53711,598,24533,6986,84154,8399
764,1072,338,332,701,447,394,1150,908,574,494,65,274,101,294,72,1429,1604,474,240,858,670,1119,1057,2460,2213,1032,1153,793,1046,676,104659,89464,113356,34736,53738,601,24535,6999,84150,8401
765,1048,331,330,759,442,386,1145,925,589,506,57,220,95,288,71,1376,1625,483,240,879,662,1149,1050,2442,2170,994,1191,807,1033,667,104699,89467,113379,34730,53757,601,24532,7021,84147,8400
766,1067,361,344,739,447,391,1125,898,581,484,44,222,106,296,73,1390,1623,451,230,869,656,1111,1048,2490,2138,1016,1167,793,1042,667,104715,89474,113417,34742,53759,603,24537,7044,84144,8403
767,1071,352,351,729,480,360,1156,852,584,464,52,242,89,288,75,1360,1611,432,223,863,666,1130,1055,2427,2141,1036,1171,769,1016,671,104757,89488,113460,34748,53773,604,24562,7049,84155,8409
768,1106,360,310,719,421,382,1175,846,568,494,52,240,104,281,85,1341,1622,455,218,832,649,1118,1015,2446,2101,1027,1199,760,1008,687,104770,89506,113454,34762,53795,604,24583,7061,84166,8413
769,1063,357,285,690,435,339,1136,864,617,467,44,261,80,291,85,1326,1627,479,231,870,615,1114,1059,2438,2054,1073,1203,794,1020,690,104757,89511,113473,34754,53804,604,24596,7075,84162,8406
770,1079,355,316,731,455,353,1137,873,538,458,51,247,96,309,75,1313,1603,457,214,845,620,1134,1029,2385,2133,1046,1200,777,991,695,104794,89530,113497,34757,53829,603,24597,7089,84146,8406
771,996,340,335,716,431,359,1120,853,590,496,48,248,82,297,83,1370,1580,456,222,878,598,1163,1042,2351,2169,1013,1196,783,1005,663,104822,89525,113510,34747,53826,605,24606,7095,84147,8411
772,1063,318,347,709,436,359,1097,852,563,463,49,250,95,273,76,1352,1593,452,243,837,622,1144,1035,2411,2147,962,1221,819,977,635,104872,89514,113523,34739,53846,605,24611,7116,84149,8416
773,969,311,340,747,434,345,1104,857,567,471,63,242,94,287,76,1329,1623,439,234,823,638,1124,1046,2370,2169,1028,1160,871,968,644,104877,89499,113537,34739,53865,605,24622,7127,84146,8415
774,1052,342,347,748,424,355,1125,880,516,470,53,219,79,297,64,1324,1692,414,249,849,619,1102,1046,2359,2100,1023,1163,855,931,653,104874,89497,113550,34746,53868,605,24627,7139,84150,8413
775,997,331,329,740,448,372,1097,885,589,464,51,272,82,281,68,1310,1641,433,238,820,618,1056,1112,2327,2127,1025,1150,795,932,641,104899,89519,113572,34749,53893,606,24630,7158,84162,8414
776,1050,322,345,761,401,347,1023,874,588,436,63,221,91,271,64,1343,1573,441,218,832,649,1112,1079,2377,2119,975,1159,775,984,662,104929,89518,113609,34743,53906,609,24631,7171,84159,8417
777,1054,312,326,727,403,387,1070,871,605,418,57,238,99,278,59,1352,1584,450,230,838,654,1091,1099,2324,2068,1011,1123,747,990,649,104922,89542,113599,34760,53912,609,24637,7190,84152,8424
778,1044,300,349,686,416,363,1054,883,588,440,57,230,89,281,63,1376,1535,445,219,840,651,1141,1050,2326,2068,1015,1119,779,1012,640,104947,89528,113611,34764,53926,610,24636,7206,84159,8429
779,999,290,315,705,428,351,1069,882,610,473,52,227,97,272,77,1336,1534,445,232,833,621,1175,1051,2242,2121,982,1163,802,979,643,104987,89489,113630,34755,53960,611,24648,7223,84157,8423
780,1033,307,315,708,441,351,1081,867,526,452,57,234,94,272,79,1340,1524,449,228,824,639,1206,1021,2202,2115,973,1160,764,991,668,105000,89507,113651,34751,53957,613,24653,7232,84185,8433
781,1032,333,306,695,416,368,1055,854,580,465,47,225,88,294,66,1326,1509,450,226,821,652,1160,1009,2313,2038,997,1136,759,981,652,105009,89489,113703,34767,53963,613,24661,7245,84185,8429
782,1094,335,316,734,559,375,1064,866,911,603,48,307,89,306,68,1322,1580,444,221,859,631,1180,1038,2283,2025,987,1136,798,1001,667,105040,89495,113685,34766,53959,614,24666,7258,84182,8432
783,1524,345,305,840,591,449,1041,952,875,622,53,300,93,304,66,1294,1588,473,213,928,630,1199,1072,2276,2057,969,1170,870,1031,736,105063,89447,113701,34763,53957,613,24678,7272,84174,8437
784,1540,356,331,911,692,403,1039,971,1107,702,55,329,101,298,74,1330,1681,469,221,956,630,1301,1087,2299,2039,1024,1138,932,1039,777,105080,89444,113695,34777,53960,615,24687,7284,84188,8436
785,1785,348,341,981,721,449,1008,1075,1087,726,53,359,99,298,79,1353,1730,494,242,953,658,1396,1131,2319,2070,993,1167,961,1025,846,105115,89471,113697,34782,53978,616,24692,7295,84197,8435
786,1738,365,310,1058,805,487,1017,1151,1230,798,54,372,97,303,75,1382,1781,525,242,989,670,1469,1174,2233,2140,1024,1191,1007,1066,855,105119,89523,113717,34798,54002,619,24712,7307,84210,8437
787,2100,357,311,1100,798,485,1059,1184,1177,824,53,401,112,300,83,1429,1824,543,257,996,671,1512,1251,2270,2113,1055,1185,1039,1038,897,105146,89550,113771,34812,54017,620,24725,7323,84249,8442
788,1959,349,332,1121,950,485,1020,1261,1374,878,54,402,111,289,87,1458,1828,568,243,1069,714,1568,1292,2352,2178,1041,1208,1072,1028,932,105183,89597,113830,34829,54040,622,24737,7329,84266,8450
789,2223,358,326,1204,933,526,1027,1296,1342,888,47,388,95,281,90,1477,1802,601,250,1151,724,1622,1326,2404,2223,1052,1196,1146,1066,986,105221,89624,113878,34856,54058,622,24735,7348,84297,8444
790,2163,382,360,1228,949,555,1045,1360,1453,945,46,424,124,278,96,1524,1854,591,255,1158,738,1716,1395,2422,2247,1058,1228,1144,1048,1039,105246,89689,113949,34882,54064,623,24738,7362,84337,8445
791,2271,400,372,1257,1032,595,1082,1443,1422,955,49,439,123,285,95,1567,1889,608,267,1174,757,1747,1498,2418,2273,1072,1260,1192,1053,1075,105283,89709,113989,34898,54082,624,24727,7388,84376,8441
792,2341,399,391,1268,831,574,1070,1467,1175,872,54,464,134,282,90,1626,1880,602,269,1151,768,1737,1513,2514,2231,1107,1257,1202,1098,1084,105295,89752,114035,34938,54109,625,24733,7402,84404,8443
793,1972,397,393,1287,808,534,1108,1438,1230,799,59,384,137,304,91,1645,1819,650,266,1161,780,1753,1549,2508,2293,1082,1300,1179,1134,1124,105333,89802,114093,34960,54134,624,24747,7416,84449,8445
794,1950,416,417,1215,748,564,1096,1418,1033,797,61,422,114,301,91,1649,1869,624,254,1167,771,1760,1485,2558,2318,1091,1340,1142,1098,1078,105370,89879,114172,34992,54162,626,24749,7437,84508,8445
795,1726,411,403,1192,759,531,1138,1396,1007,793,60,386,122,337,85,1654,1852,612,273,1180,773,1771,1473,2561,2359,1130,1343,1081,1071,1063,105399,89937,114237,35017,54197,628,24774,7444,84565,8447
796,1753,399,410,1122,678,573,1164,1332,964,743,63,330,130,314,95,1637,1814,623,275,1214,791,1715,1461,2637,2341,1122,1384,1057,1056,1011,105463,89984,114305,35059,54220,629,24795,7452,84631,8441
