sep=;
2014-03-18;6617
2014-03-19;14338
2014-04-05;18028
2014-04-14;18028
2014-04-25;21186
2014-06-27;39565
2014-07-27;112522
2014-08-03;114391
2014-08-10;114525
2014-08-17;116716
2014-08-24;117231
2014-08-31;118088
2014-09-21;118839
2014-09-28;117281
2014-10-05;118051
2014-10-12;58717
2014-10-19;102750
2014-10-31;107050
2014-11-07;107689
2014-11-16;107977
2014-11-23;107724
2014-12-07;108053
2014-12-14;108039
2014-12-21;108039
2015-01-11;108039
2015-01-31;109687
2015-02-15;110366
2015-03-01;110476
2015-04-12;216808
2015-05-03;218572
2015-05-31;219826
2015-06-12;221562
2015-06-13;225573
2015-06-28;228081
2015-07-05;228368
2015-07-08;231216
2015-07-22;229121
2015-07-31;229427
2015-08-02;231178
2015-08-17;231941
2015-08-30;233876
2015-09-07;234402
2015-09-20;234350
2015-10-15;234799
2015-10-25;238502
2015-11-03;240045
2015-11-25;240045
2015-11-29;240418
2015-12-03;241157
2015-12-31;252231
2016-01-21;252537
2016-01-31;255722
2016-02-29;257282
2016-03-14;259145
