sep=;
2013-12-18;70462
2014-02-28;74063
2014-03-31;75583
2014-04-08;75436
2014-04-11;77309
2014-04-15;76726
2014-04-28;82366
2014-04-29;81957
2014-05-11;78315
2014-05-18;78365
2014-05-25;78632
2014-06-08;81682
2014-06-15;82495
2014-06-22;82555
2014-07-06;83045
2014-07-13;84186
2014-07-27;84908
2014-08-24;84935
2014-09-07;86161
2014-09-14;86304
2014-10-12;87753
2014-10-28;87833
2014-11-02;87879
2014-11-16;91626
2014-11-17;91712
2014-11-30;88345
2014-12-07;92916
2014-12-14;93021
2015-01-01;93289
2015-01-31;93290
2015-03-24;93342
2015-03-31;93999
2015-06-02;92499
2015-06-30;92534
2015-07-31;92820
2015-08-31;84223
2015-09-30;66228
2015-10-31;66382
2015-11-30;67059
2015-12-24;67143
2015-12-31;64673
2016-01-31;65383
2016-02-23;65401
2016-02-24;65401
2016-02-29;65962
2016-03-01;65961
2016-03-31;66706
2016-04-30;66909
2016-05-31;67265
2016-06-30;72876
