Time,Lusenda,comparison
0,0,0
1,210,78
2,366,156
3,575,233
4,810,312
5,1071,390
6,1362,467
7,1667,546
8,1973,624
9,2276,702
10,2665,780
11,2991,858
12,3378,935
13,3744,1014
14,4151,1092
15,4637,1170
16,5114,1248
17,5537,1326
18,6001,1404
19,6504,1482
20,7021,1560
21,7563,1638
22,8088,1716
23,8648,1794
24,9250,1871
25,9581,1950
26,9961,2028
27,10329,2106
28,10635,2184
29,10932,2262
30,11237,2340
31,13456,2418
32,13673,2496
33,14253,2574
34,14673,2652
35,15082,2730
36,15473,2808
37,15847,2886
38,16135,2964
39,16470,3042
40,16748,3120
41,17225,3198
42,17775,3276
43,18340,3354
44,18877,3432
45,19191,3510
46,19556,3588
47,19887,3666
48,20190,3743
49,20425,3822
50,20644,3900
51,20848,3977
52,21051,4056
53,21248,4134
54,22861,4212
55,23037,4290
56,23573,4368
57,24035,4446
58,24347,4524
59,24648,4602
60,25909,4680
61,26114,4758
62,26568,4836
63,27245,4914
64,27903,4992
65,28607,5070
66,29022,5148
67,29567,5226
68,30063,5304
69,30609,5382
70,31004,5460
71,31409,5538
72,31822,5616
73,32310,5694
74,32670,5772
75,33185,5850
76,33665,5928
77,33965,6006
78,34335,6084
79,34634,6162
80,34918,6240
81,35196,6318
82,35788,6396
83,36281,6474
84,36526,6552
85,36785,6630
86,37015,6708
87,37461,6786
88,37882,6864
89,38354,6942
90,38900,7020
91,39095,7098
92,39355,7176
93,40018,7254
94,40650,7332
95,40935,7208
96,41266,7084
97,41694,6960
98,42019,6837
99,42429,6713
100,42787,6589
101,43009,6465
102,43233,6342
103,43538,6218
104,43712,6094
105,43906,5970
106,44068,5847
107,44269,5723
108,44564,5599
109,44719,5475
110,45041,5352
111,45216,5228
112,45533,5104
113,45768,4980
114,46045,4857
115,46141,4733
116,46649,4609
117,46807,4485
118,47009,4362
119,47142,4238
120,47369,4114
121,47535,3990
122,47655,3867
123,47849,3743
124,47966,3619
125,48060,3496
126,48232,3372
127,48339,3248
128,48418,3124
129,48481,3001
130,48571,2877
131,48614,2753
132,48694,2629
133,48785,2506
134,48874,2382
135,48915,2258
136,48979,2134
137,49161,2011
138,49168,1887
139,49237,1763
140,49301,1639
141,49316,1516
142,49325,1392
143,49325,1268
144,49372,1144
145,49321,1021
146,49304,897
147,49304,773
148,49276,649
149,49264,526
150,49206,402
151,49273,278
152,49291,155
153,49924,488
154,49969,822
155,50020,1156
156,50082,1490
157,50250,1824
158,50347,2158
159,50455,2492
160,50644,2826
161,50908,3160
162,51141,3494
163,51440,3827
164,51738,4161
165,51839,4495
166,51952,4829
167,52059,5163
168,52136,5497
169,52181,5831
170,52262,6165
171,52310,6499
172,52399,6833
173,52443,7166
174,52461,7500
175,52451,7834
176,52518,8168
177,52514,8502
178,52485,8836
179,52624,9170
180,53012,9504
181,53327,9838
182,53734,10172
183,54117,10506
184,54247,10538
185,54345,10570
186,54515,10603
187,54710,10635
188,54815,10668
189,54938,10700
190,55083,10733
191,55164,10765
192,55369,10798
193,55566,10830
194,55655,10863
195,55721,10895
196,55779,10928
197,55821,10960
198,55914,10993
199,55973,11025
200,56005,11058
201,56088,11090
202,56169,11123
203,56179,11155
204,56153,11188
205,56169,11220
206,56244,11252
207,56284,11285
208,56281,11317
209,56368,11350
210,56356,11382
211,56395,11415
212,56396,11447
213,56420,11480
214,56591,11512
215,56631,11545
216,56714,11577
217,56750,11610
218,56806,11642
219,56840,11675
220,56878,11707
221,56914,11740
222,56945,11772
223,56911,11805
224,56958,11837
225,56974,11870
226,56949,11902
227,56930,11934
228,57029,11967
229,57080,11999
230,57179,12032
231,57174,12064
232,57166,12097
233,57191,12129
234,57133,12162
235,57172,12194
236,57245,12227
237,57243,12259
238,57175,12292
239,57161,12324
240,57110,12357
241,57094,12389
242,57098,12422
243,57052,12454
244,57061,12487
245,57070,12519
246,57078,12552
247,57106,12584
248,57079,12617
249,57141,12649
250,57131,12681
251,57091,12714
252,57105,12746
253,57119,12779
254,57094,12811
255,57080,12844
256,57086,12876
257,57052,12909
258,57019,12941
259,56992,12974
260,56974,13006
261,56943,13039
262,56906,13071
263,56963,13104
264,57003,13136
265,56994,13169
266,56955,13201
267,56914,13234
268,56918,13266
269,56863,13299
270,56796,13331
271,56745,13363
272,56853,13396
273,56835,13428
274,56874,13461
275,56910,13493
276,56858,13526
277,56859,13558
278,56804,13591
279,56840,13623
280,56844,13656
281,56773,13688
282,56738,13721
283,56755,13753
284,56727,13786
285,56703,13818
286,56661,13851
287,56657,13883
288,56611,13916
289,56550,13948
290,56536,13981
291,56510,14013
292,56880,14046
293,56843,14167
294,56948,14288
295,56996,14409
296,57002,14530
297,57127,14651
298,57186,14772
299,57304,14805
300,57302,14839
301,57376,14873
302,57436,14907
303,57415,14941
304,57421,14975
305,57448,15009
306,57469,15043
307,57470,15077
308,57461,15111
309,57513,15145
310,57529,15179
311,57602,15213
312,57597,15247
313,57659,15281
314,57727,15315
315,57712,15355
316,57733,15396
317,57737,15436
318,57847,15477
319,57867,15517
320,57906,15558
321,57927,15598
322,57952,15639
323,58008,15679
324,57974,15720
325,58123,15760
326,58164,15801
327,58100,15841
328,58061,15882
329,58012,15922
330,58003,15963
331,57981,16004
332,57986,16030
333,57973,16057
334,58008,16084
335,58060,16111
336,58056,16137
337,58006,16164
338,57925,16191
339,57983,16218
340,58019,16245
341,58000,16271
342,57985,16298
343,57966,16325
344,57925,16352
345,57896,16379
346,57865,16405
347,57899,16432
348,57865,16459
349,57813,16486
350,57803,16513
351,57766,16539
352,57718,16566
353,57720,16593
354,57807,16620
355,57783,16647
356,57765,16673
357,57779,16700
358,57758,16727
359,57731,16754
360,57680,16781
361,57629,16807
362,57630,16834
363,57614,16861
364,57620,16888
365,57664,16915
366,57704,16924
367,57683,16934
368,57736,16943
369,57745,16953
370,57684,16962
371,57662,16972
372,57631,16981
373,57668,16991
374,57627,17000
375,57631,17010
376,57550,17019
377,57519,17029
378,57505,17038
379,57473,17048
380,57455,17057
381,57467,17067
382,57436,17076
383,57467,17086
384,57452,17095
385,57410,17105
386,57455,17114
387,57438,17124
388,57408,17133
389,57465,17143
390,57423,17152
391,57429,17162
392,57419,17171
393,57427,17181
394,57394,17190
395,57375,17200
