Time,Nyarugusu,comparison
263,26075,83160
264,26114,83158
265,26171,83129
266,26236,83100
267,26298,83071
268,26339,83042
269,26400,83013
270,26432,82697
271,26481,82381
272,26466,82065
273,26499,81940
274,26581,81815
275,26636,81690
276,26698,81565
277,26739,81440
278,26787,81315
279,26862,81356
280,26945,81397
281,26989,80994
282,27056,80591
283,27128,80188
284,27193,79785
285,27261,79382
286,27296,78979
287,27379,78577
288,27413,78174
289,27448,77771
290,27485,77368
291,27478,76965
292,27515,76562
293,27603,76159
294,27650,75757
295,27693,75729
296,27706,75750
297,27725,75755
298,27797,75786
299,27894,75817
300,27991,75853
301,28012,75890
302,28062,75856
303,28153,75822
304,28207,75788
305,28239,75754
306,28278,75776
307,28349,75896
308,28435,76017
309,28494,76078
310,28541,76140
311,28579,76202
312,28701,76153
313,28733,76104
314,28770,76055
315,28850,76006
316,28906,76040
317,28959,76075
318,29047,76110
319,29108,76145
320,29102,76180
321,29177,76132
322,29237,76085
323,29283,76037
324,29348,75990
325,29410,75943
326,29477,75868
327,29522,75794
328,29569,75719
329,29602,75645
330,29650,75571
331,29670,75496
332,29690,75422
333,29767,75347
334,29809,75273
335,29861,75199
336,29922,75193
337,29921,75187
338,29962,75181
339,30010,75175
340,30036,75169
341,30021,75163
342,30099,75098
343,30171,75034
344,30257,74969
345,30345,74905
346,30392,74841
347,30409,74394
348,30433,73947
349,30451,73500
350,30454,73053
351,30503,72937
352,30529,72822
353,30545,72706
354,30588,72591
355,30656,72475
356,30741,72360
357,30804,72244
358,30766,72129
359,30806,72013
360,30847,71898
361,30918,71644
362,30899,71391
363,30937,71138
364,30960,70885
365,30978,70687
366,30986,70489
367,31082,70291
368,31163,70093
369,31230,69796
370,31216,69500
371,31245,69203
372,31297,68907
373,31333,68610
374,31375,68314
375,31388,68050
376,31438,67787
377,31436,67524
378,31467,67261
379,31525,66998
380,31500,66735
381,31543,66582
382,31561,66429
383,31596,66276
384,31652,66123
385,31664,65971
386,31732,65859
387,31759,65748
388,31830,65637
389,31861,65526
390,31908,65415
391,31923,65304
392,31938,65319
393,32002,65334
394,32027,65349
395,32051,65353
