Time,Mahama,comparison
156,5921,43593
157,5963,43786
158,6025,43879
159,6061,43973
160,6104,44067
161,6174,44161
162,6217,44255
163,6279,44349
164,6343,44443
165,6382,44484
166,6440,44523
167,6480,44626
168,6542,44627
169,6578,44629
170,6615,44631
171,6664,44633
172,6711,44715
173,6756,44765
174,6778,44781
175,6804,44839
176,6840,44857
177,6876,44876
178,6917,44895
179,6952,45153
180,6981,45154
181,7029,45155
182,7079,45157
183,7138,45158
184,7192,45159
185,7235,45161
186,7287,45254
187,7327,45348
188,7359,45393
189,7418,45451
190,7473,45510
191,7545,45569
192,7582,45591
193,7609,45613
194,7635,45635
195,7687,45658
196,7739,45682
197,7795,45707
198,7843,45732
199,7907,45803
200,7934,45875
201,8010,45947
202,8025,46019
203,8090,46036
204,8167,46054
205,8204,46072
206,8256,46090
207,8305,46108
208,8375,46161
209,8408,46194
210,8447,46227
211,8511,46260
212,8543,46293
213,8570,46327
214,8599,46433
215,8644,46631
216,8706,46399
217,8753,46167
218,8840,45935
219,8916,45703
220,8961,45471
221,8996,45240
222,9054,45098
223,9088,45120
224,9136,45143
225,9184,45166
226,9235,45189
227,9270,45212
228,9283,46075
229,9328,45989
230,9351,45903
231,9402,45818
232,9425,45732
233,9437,45647
234,9499,45561
235,9539,45476
236,9553,45476
237,9589,45476
238,9635,45476
239,9676,45476
240,9706,45476
241,9758,45476
242,9776,45565
243,9820,45655
244,9867,45517
245,9905,45379
246,9909,45241
247,9969,45103
248,10017,44965
249,10048,45018
250,10092,45071
251,10130,45090
252,10161,45109
253,10197,45128
254,10237,45148
255,10266,45236
256,10343,45298
257,10386,45360
258,10402,45422
259,10421,45431
260,10470,45441
261,10511,45450
262,10562,45460
263,10603,45545
264,10631,45631
265,10671,45657
266,10670,45683
267,10697,45709
268,10754,45735
269,10803,45762
270,10824,45817
271,10892,45579
272,10906,45644
273,10927,45759
274,10988,45874
275,10995,45989
276,10998,46104
277,11047,46219
278,11060,46334
279,11085,46449
280,11118,46564
281,11158,46679
282,11188,46794
283,11227,46909
284,11262,47024
285,11276,47139
286,11297,47167
287,11295,47196
288,11340,47224
289,11391,47253
290,11436,47282
291,11432,47299
292,11467,47364
293,11499,47430
294,11551,47442
295,11583,47455
296,11633,47468
297,11652,47481
298,11677,47494
299,11712,47507
300,11739,47520
301,11767,47533
302,11803,47546
303,11814,47559
304,11816,47572
305,11849,47585
306,11887,47598
307,11933,47611
308,11946,47624
309,11957,47637
310,11980,47650
311,12000,47721
312,12057,47792
313,12056,47863
314,12091,47934
315,12130,47956
316,12149,47978
317,12166,48000
318,12197,48022
319,12227,48091
320,12240,48160
321,12298,48188
322,12321,48217
323,12349,48246
324,12363,48275
325,12395,48318
326,12446,48362
327,12477,48406
328,12509,48409
329,12561,48413
330,12582,48417
331,12585,48421
332,12616,48292
333,12662,48164
334,12704,48036
335,12719,47908
336,12750,47927
337,12798,47946
338,12837,47965
339,12852,47985
340,12863,48004
341,12904,48023
342,12920,48043
343,12947,48071
344,12955,48100
345,12998,48129
346,13043,48158
347,13065,48187
348,13078,48216
349,13088,48245
350,13119,48258
351,13141,48272
352,13171,48286
353,13199,48300
354,13204,48350
355,13205,48400
356,13241,48450
357,13261,48444
358,13304,48438
359,13326,48433
360,13365,48427
361,13372,48422
362,13380,48416
363,13416,48411
364,13425,48424
365,13469,48437
366,13476,48450
367,13514,48463
368,13579,48476
369,13590,48489
370,13616,48503
371,13661,48518
372,13702,48532
373,13732,48547
374,13757,48562
375,13781,48622
376,13800,48682
377,13822,48742
378,13834,48767
379,13861,48793
380,13885,48819
381,13936,48845
382,13969,48871
383,13971,48897
384,13983,48923
385,14027,48915
386,14049,48908
387,14050,48901
388,14077,48894
389,14103,49037
390,14120,49181
391,14132,49325
392,14120,49327
393,14155,49330
394,14157,49333
395,14146,49336
