Time,Adamaoua,
0,0,0
1,0,25
2,0,51
3,9,76
4,37,102
5,102,127
6,180,153
7,255,178
8,333,204
9,412,230
10,506,255
11,613,281
12,704,306
13,797,332
14,869,357
15,958,383
16,1038,409
17,1107,434
18,1206,460
19,1364,485
20,1539,511
21,1731,536
22,1917,562
23,2094,588
24,2270,613
25,2420,639
26,2595,664
27,2765,690
28,2929,715
29,3067,741
30,3207,767
31,3336,792
32,3563,818
33,3775,843
34,4003,869
35,4225,894
36,4425,920
37,4615,946
38,4760,971
39,4930,997
40,5063,1022
41,5194,1048
42,5345,1073
43,5469,1099
44,5592,1125
45,5721,1150
46,5834,1176
47,5945,1201
48,6032,1227
49,6102,1252
50,6193,1278
51,6263,1304
52,6343,1329
53,6410,1355
54,6492,1380
55,6578,1406
56,6630,1431
57,6710,1457
58,6770,1483
59,6830,1508
60,6891,1534
61,6941,1559
62,6996,1585
63,7055,1610
64,7112,1636
65,7178,1662
66,7247,1687
67,7310,1713
68,7377,1738
69,7430,1764
70,7477,1789
71,7532,1815
72,7586,1841
73,7639,1866
74,7694,1892
75,7750,1917
76,7796,1943
77,7833,1968
78,7867,1994
79,7908,2020
80,7946,2045
81,7989,2071
82,8024,2096
83,8055,2122
84,8100,2147
85,8136,2173
86,8188,2199
87,8218,2224
88,8270,2250
89,8308,2275
90,8350,2301
91,8393,2326
92,8435,2352
93,8477,2378
94,8506,2403
95,8538,2429
96,8575,2454
97,8628,2480
98,8661,2505
99,8703,2531
100,8750,2557
101,8788,2582
102,8813,2608
103,8843,2633
104,8890,2659
105,8935,2684
106,8975,2710
107,9008,2736
108,9045,2736
109,9084,2842
110,9155,2948
111,9207,3055
112,9263,3161
113,9329,3268
114,9391,3374
115,9456,3480
116,9529,3587
117,9592,3693
118,9634,3800
119,9687,3906
120,9743,4012
121,9780,4119
122,9833,4225
123,9876,4332
124,9908,4438
125,9953,4545
126,9998,4545
127,10046,4545
128,10093,4545
129,10135,4545
130,10171,4545
131,10207,4545
132,10252,4545
133,10298,4545
134,10344,4545
135,10373,4593
136,10398,4641
137,10435,4689
138,10464,4737
139,10493,4785
140,10527,4834
141,10549,4882
142,10579,4930
143,10600,4978
144,10628,5026
145,10653,5075
146,10687,5138
147,10726,5202
148,10765,5266
149,10810,5330
150,10838,5394
151,10891,5458
152,10940,5522
153,10988,5586
154,11036,5650
155,11075,5714
156,11112,5778
157,11143,5842
158,11191,5906
159,11228,5970
160,11258,6034
161,11295,6098
162,11320,6162
163,11333,6226
164,11356,6290
165,11373,6354
166,11390,6418
167,11420,6481
168,11453,6545
