Time,Betou,
0,0,0
1,0,682
2,0,1364
3,44,2046
4,162,2728
5,319,3410
6,526,4092
7,730,4774
8,946,5457
9,1158,6139
10,1367,6821
11,1567,7503
12,1819,8185
13,2026,8867
14,2247,9549
15,2460,10232
16,2673,10186
17,2862,10141
18,3152,10096
19,3545,10051
20,3968,10006
21,4407,9961
22,4919,9916
23,5412,9870
24,5869,9825
25,6330,9780
26,6773,9735
27,7209,9690
28,7580,9645
29,7936,9600
30,8298,9554
31,8653,9509
32,9176,9464
33,9593,9419
34,10093,9374
35,10530,9329
36,11007,9284
37,11437,9239
38,11840,9193
39,12197,9148
40,12520,9103
41,12833,9058
42,13138,9013
43,13413,8968
44,13655,8923
45,13923,8877
46,14164,8832
47,14388,8787
48,14599,8742
49,14837,8697
50,15034,8652
51,15249,8607
52,15458,8561
53,15668,8516
54,15862,8471
55,16035,8426
56,16229,8381
57,16396,8336
58,16556,8291
59,16713,8246
60,16859,8200
61,17028,8155
62,17166,8110
63,17358,8065
64,17498,8020
65,17659,7975
66,17793,7930
67,17972,7884
68,18125,7839
69,18269,7794
70,18405,7749
71,18542,7704
72,18650,7659
73,18799,7614
74,18928,7569
75,19049,7523
76,19145,7478
77,19254,7433
78,19361,7388
79,19477,7343
80,19597,7298
81,19697,7253
82,19785,7207
83,19899,7162
84,20009,7117
85,20108,7072
86,20233,7027
87,20351,6982
88,20450,6937
89,20543,6891
90,20662,6846
91,20762,6801
92,20873,6756
93,20984,6711
94,21097,6666
95,21222,6621
96,21317,6576
97,21433,6530
98,21551,6485
99,21651,6440
100,21744,6395
101,21851,6350
102,21956,6305
103,22066,6260
104,22129,6214
105,22221,6169
106,22319,6124
107,22441,6079
108,22527,6034
109,22645,5989
110,22792,5944
111,22937,5899
112,23103,6354
113,23234,6809
114,23370,7265
115,23524,7270
116,23676,7276
117,23801,7282
118,23926,7287
119,24056,7293
120,24157,7299
121,24293,7305
122,24414,7312
123,24510,7320
124,24623,7327
125,24710,7335
126,24830,7342
127,24956,7350
128,25087,7357
129,25190,7365
130,25310,7372
131,25407,7380
132,25508,7387
133,25619,7395
134,25693,7402
135,25791,7410
136,25877,7405
137,25958,7400
138,26044,7396
139,26130,7391
140,26220,7386
141,26311,7382
142,26378,7377
143,26434,7372
144,26509,7368
145,26589,7363
146,26700,7358
147,26787,7354
148,26885,7349
149,27009,7344
150,27106,7340
151,27215,7340
152,27320,7341
153,27410,7342
154,27498,7343
155,27590,7343
156,27694,7344
157,27785,7345
158,27845,7346
159,27911,7354
160,28005,7363
161,28060,7372
162,28126,7381
163,28198,7390
164,28274,7399
165,28332,7408
166,28391,7412
167,28447,7417
168,28509,7421
169,28566,7426
170,28612,7430
171,28663,7435
172,28708,7439
173,28764,7444
174,28832,7448
175,28890,7453
176,28931,7458
177,28996,7459
178,29034,7461
179,29100,7463
180,29145,7465
181,29196,7467
182,29249,7472
183,29281,7478
184,29326,7484
185,29375,7490
186,29407,7496
187,29447,7502
188,29487,7508
189,29540,7513
190,29602,7519
191,29656,7525
192,29715,7531
193,29769,7537
194,29829,7543
195,29875,7549
196,29921,7554
197,29966,7560
198,30007,7566
199,30051,7572
200,30098,7578
201,30159,7584
202,30197,7590
203,30238,7595
204,30283,7601
205,30321,7607
206,30382,7613
207,30475,7619
208,30571,7625
209,30698,7631
210,30866,7637
211,30999,7642
212,31122,7648
213,31247,7654
214,31360,7660
215,31470,7666
216,31570,7672
217,31677,7678
218,31766,7683
219,31845,7689
220,31921,7695
221,31996,7701
222,32058,7707
223,32131,7713
224,32192,7719
225,32245,7724
226,32300,7730
227,32372,7736
228,32433,7742
229,32495,7748
230,32554,7754
231,32594,7760
232,32654,7766
233,32692,7768
234,32772,7770
235,32913,7772
236,33155,7774
237,33457,7776
238,33844,7778
239,34249,7780
240,34730,7782
241,35209,7784
242,35688,7786
243,36101,7788
244,36485,7790
245,36875,7792
246,37285,7801
247,37650,7811
248,37979,7820
249,38286,7830
250,38579,7839
251,38824,7849
252,39095,7858
253,39334,7868
254,39567,7877
255,39798,7887
256,40012,7896
257,40192,7906
258,40391,7915
259,40541,7925
260,40748,7934
261,40932,7944
262,41117,7953
263,41306,7963
264,41458,7972
265,41612,7982
266,41789,7991
267,41929,8001
268,42079,8010
269,42245,8020
270,42379,8029
271,42525,8039
272,42674,8048
273,42807,8058
274,42932,8063
275,43071,8069
276,43211,8075
277,43344,8080
278,43469,8086
279,43587,8092
280,43684,8097
281,43769,8103
282,43889,8109
283,43990,8115
284,44089,8120
285,44191,8126
286,44291,8132
287,44391,8137
288,44506,8143
289,44618,8149
290,44698,8154
291,44807,8160
292,44891,8166
293,44982,8172
294,45061,8177
295,45141,8183
296,45230,8189
297,45294,8194
298,45372,8200
299,45439,8206
300,45517,8211
301,45597,8217
302,45678,8223
303,45727,8229
304,45796,8234
305,45854,8239
306,45931,8244
307,46010,8249
308,46066,8254
309,46134,8259
310,46208,8264
311,46270,8269
312,46324,8274
313,46418,8279
314,46471,8284
315,46519,8290
316,46558,8293
317,46654,8297
318,46765,8300
319,46904,8304
320,47064,8307
321,47256,8311
322,47526,8314
323,47763,8318
324,48049,8321
325,48354,8325
326,48620,8328
327,48896,8332
328,49139,8335
329,49360,8339
330,49566,8342
331,49768,8346
332,49945,8349
333,50139,8353
334,50303,8357
335,50462,8368
336,50651,8380
337,50832,8392
338,51022,8404
339,51165,8416
340,51321,8428
341,51472,8440
342,51642,8452
343,51793,8464
344,51935,8476
345,52092,8488
346,52196,8500
347,52329,8512
348,52427,8524
349,52567,8536
350,52694,8547
351,52824,8559
352,52926,8571
353,53038,8583
354,53157,8595
355,53262,8607
356,53376,8619
357,53487,8631
358,53568,8643
359,53653,8655
360,53734,8667
361,53792,8679
362,53894,8691
363,53988,8703
364,54056,8715
365,54131,8714
366,54237,8714
367,54321,8714
368,54398,8713
369,54470,8713
370,54572,8713
371,54648,8713
372,54735,8712
373,54814,8712
374,54900,8712
375,54972,8712
376,55072,8711
377,55144,8711
378,55230,8711
379,55326,8711
380,55404,8710
381,55460,8710
382,55554,8710
383,55629,8710
384,55711,8709
385,55779,8709
386,55825,8709
387,55878,8709
388,55927,8708
389,56004,8708
390,56040,8708
391,56081,8708
392,56133,8707
393,56191,8707
394,56231,8707
395,56284,8707
396,56341,8706
397,56387,8706
398,56429,8706
399,56471,8706
400,56520,8705
401,56553,8705
402,56576,8705
403,56626,8705
404,56653,8704
405,56698,8704
406,56713,8704
407,56733,8704
408,56767,8703
409,56798,8703
410,56851,8703
411,56896,8703
412,56905,8702
413,56957,8702
414,56984,8702
415,57029,8702
416,57054,8701
417,57085,8701
418,57113,8701
419,57126,8701
420,57164,8700
421,57192,8700
422,57218,8700
423,57247,8700
424,57276,8699
425,57310,8699
426,57337,8699
427,57377,8699
428,57392,8698
429,57404,8698
430,57432,8698
431,57462,8698
432,57502,8697
433,57537,8697
434,57559,8697
435,57567,8697
436,57575,8696
437,57602,8696
438,57621,8696
439,57629,8696
440,57652,8695
441,57673,8695
442,57696,8695
443,57735,8695
444,57753,8694
445,57784,8694
446,57806,8694
447,57817,8694
