Time,Belom,
0,0,0
1,0,1408
2,0,2816
3,0,4225
4,0,5633
5,1,7042
6,10,8450
7,24,9858
8,38,11267
9,67,12675
10,104,14084
11,145,15492
12,192,16900
13,248,18309
14,300,19717
15,368,21126
16,443,22534
17,516,23943
18,578,23957
19,653,23971
20,735,23985
21,838,23999
22,940,24013
23,1063,24027
24,1202,24041
25,1335,24055
26,1495,24069
27,1670,24083
28,1854,24097
29,2025,24111
30,2209,24125
31,2392,24139
32,2664,24153
33,2902,24167
34,3163,24181
35,3457,24195
36,3728,24209
37,3988,24223
38,4278,24237
39,4538,24251
40,4810,24265
41,5121,24279
42,5432,24293
43,5723,24307
44,5968,24321
45,6278,24335
46,6552,24349
47,6840,24363
48,7098,24377
49,7379,24391
50,7670,24405
51,7961,24419
52,8262,24433
53,8543,24447
54,8825,24461
55,9107,24475
56,9398,24489
57,9697,24503
58,9979,24517
59,10253,24531
60,10527,24545
61,10770,24559
62,10980,24573
63,11221,24587
64,11474,24601
65,11743,24615
66,11971,24629
67,12200,24643
68,12431,24657
69,12666,24671
70,12891,24685
71,13100,24699
72,13327,24713
73,13584,24727
74,13813,24741
75,14013,24755
76,14231,24769
77,14433,24783
78,14650,24797
79,14857,24811
80,15050,24825
81,15233,24839
82,15398,24853
83,15589,24867
84,15773,24881
85,15951,24895
86,16156,24909
87,16328,24923
88,16490,24937
89,16668,24952
90,16866,24962
91,17039,24973
92,17212,24984
93,17376,24994
94,17515,25005
95,17696,25016
96,17863,25027
97,18021,25037
98,18170,25048
99,18324,25059
100,18466,25070
101,18628,25080
102,18790,25091
103,18933,25102
104,19076,25113
105,19196,25123
106,19343,25134
107,19495,25145
108,19630,25156
109,19763,25166
110,19899,25177
111,20062,25188
112,20201,25199
113,20350,25209
114,20510,25220
115,20670,25231
116,20816,25242
117,20979,25252
118,21124,25263
119,21285,25274
120,21430,25285
121,21576,25358
122,21702,25431
123,21853,25504
124,22005,25577
125,22152,25650
126,22279,25724
127,22440,25797
128,22587,25870
129,22732,25943
130,22884,26016
131,23027,26090
132,23149,25896
133,23294,25702
134,23450,25508
135,23589,25315
136,23720,25344
137,23865,25374
138,24002,25404
139,24151,25434
140,24266,25464
141,24418,25493
142,24535,25523
143,24682,25553
144,24787,25583
145,24913,25613
146,25032,25642
147,25133,25672
148,25268,25702
149,25388,25732
150,25516,25762
151,25653,25791
152,25800,25821
153,25934,25851
154,26049,25881
155,26156,25911
156,26269,25940
157,26396,25970
158,26506,26000
159,26635,26030
160,26745,26060
161,26857,26090
162,26955,26104
163,27054,26119
164,27196,26133
165,27307,26148
166,27431,26162
167,27535,26177
168,27660,26192
169,27747,26206
170,27843,26221
171,27937,26235
172,28040,26250
173,28141,26264
