"Time","Nakivale",
301,18758,16476
302,18736,16540
303,18763,16603
304,18754,16666
305,18737,16730
306,18771,16793
307,18747,16857
308,18749,16921
309,18752,16985
310,18738,17049
311,18756,17113
312,18738,17177
313,18771,17255
314,18748,17333
315,18748,17411
316,18743,17490
317,18753,17568
318,18736,17646
319,18762,17725
320,18744,17748
321,18752,17771
322,18738,17795
323,18766,17818
324,18751,17841
325,18736,17865
326,18756,17888
327,18735,17911
328,18760,17935
329,18738,17958
330,18752,17981
331,18745,18005
332,18742,18028
333,18756,18052
334,18740,18084
335,18769,18117
336,18744,18150
337,18750,18182
338,18734,18215
339,18753,18248
340,18739,18281
341,18766,18313
342,18746,18346
343,18752,18379
344,18740,18411
345,18755,18444
346,18734,18477
347,18758,18510
348,18742,18510
349,18740,18510
350,18756,18510
351,18748,18510
352,18735,18510
353,18773,18510
354,18753,18510
355,18737,18367
356,18761,18224
357,18739,18082
358,18752,17939
359,18734,17797
360,18765,17654
361,18745,17512
362,18750,17521
363,18735,17531
364,18774,17540
365,18751,17550
366,18735,17559
367,18762,17569
368,18742,17578
369,18751,17588
370,18744,17597
371,18752,17607
372,18740,17616
373,18756,17626
374,18745,17635
375,18744,17645
376,18735,17654
377,18778,17664
378,18761,17673
379,18750,17683
380,18748,17692
381,18736,17702
382,18760,17712
383,18745,17754
384,18754,17796
385,18735,17838
386,18761,17880
387,18741,17922
388,18754,17964
389,18740,18007
390,18770,18041
391,18752,18076
392,18734,18110
393,18770,18145
394,18756,18180
395,18737,18214
