"Time","Nyarugusu",
266,56082,83100
267,56304,83071
268,56528,83042
269,56705,83013
270,56918,82697
271,57134,82381
272,57343,82065
273,57559,81940
274,57767,81815
275,57968,81690
276,58168,81565
277,58370,81440
278,58565,81315
279,58749,81356
280,58927,81397
281,59142,80994
282,59335,80591
283,59525,80188
284,59733,79785
285,59944,79382
286,60149,78979
287,60389,78577
288,60595,78174
289,60789,77771
290,60969,77368
291,61183,76965
292,61388,76562
293,61590,76159
294,61756,75757
295,61959,75729
296,62152,75750
297,62349,75755
298,62573,75786
299,62776,75817
300,62952,75853
301,63169,75890
302,63368,75856
303,63567,75822
304,63741,75788
305,63944,75754
306,64134,75776
307,64293,75896
308,64487,76017
309,64683,76078
310,64843,76140
311,65035,76202
312,65206,76153
313,65371,76104
314,65580,76055
315,65759,76006
316,65933,76040
317,66120,76075
318,66264,76110
319,66452,76145
320,66624,76180
321,66778,76132
322,66947,76085
323,67136,76037
324,67320,75990
325,67481,75943
326,67653,75868
327,67820,75794
328,68002,75719
329,68133,75645
330,68308,75571
331,68475,75496
332,68653,75422
333,68781,75347
334,68932,75273
335,69095,75199
336,69272,75193
337,69458,75187
338,69634,75181
339,69797,75175
340,69970,75169
341,70100,75163
342,70277,75098
343,70436,75034
344,70560,74969
345,70739,74905
346,70898,74841
347,71019,74394
348,71168,73947
349,71294,73500
350,71464,73053
351,71601,72937
352,71768,72822
353,71885,72706
354,72017,72591
355,72132,72475
356,72259,72360
357,72390,72244
358,72536,72129
359,72690,72013
360,72847,71898
361,72970,71644
362,73109,71391
363,73273,71138
364,73431,70885
365,73569,70687
366,73682,70489
367,73820,70291
368,73944,70093
369,74068,69796
370,74186,69500
371,74299,69203
372,74423,68907
373,74544,68610
374,74673,68314
375,74819,68050
376,74953,67787
377,75088,67524
378,75211,67261
379,75341,66998
380,75459,66735
381,75584,66582
382,75735,66429
383,75860,66276
384,75983,66123
385,76103,65971
386,76215,65859
387,76345,65748
388,76493,65637
389,76606,65526
390,76701,65415
391,76811,65304
392,76944,65319
393,77069,65334
394,77179,65349
395,77315,65353
