Day,Mahama sim,Mahama data,Mahama error,Nduta sim,Nduta data,Nduta error,Nyarugusu sim,Nyarugusu data,Nyarugusu error,Nakivale sim,Nakivale data,Nakivale error,Lusenda sim,Lusenda data,Lusenda error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
0,0,0.0,0.0,0,0.0,0.0,0,210.0,1.0,0,0.0,0.0,0,0.0,0.0,0
1,0,773,1.0,0,11,1.0,0,3801,1.0,0,186,1.0,490,78,5.28205128205,1.0688801814807176,4849,4639,1795
2,0,1547,1.0,0,22,1.0,0,5596,1.0,0,373,1.0,787,156,4.04487179487,1.0617364179880426,7694,7484,3590
3,0,2321,1.0,0,33,1.0,0,7392,1.0,0,560,1.0,1187,233,4.09442060086,1.0684125628617516,10539,10329,5385
4,0,3094,1.0,0,44,1.0,0,9188,1.0,0,747,1.0,1631,312,4.22756410256,1.0752334703025774,13385,13175,7180
5,0,3868,1.0,0,55,1.0,0,10983,1.0,0,934,1.0,2122,390,4.44102564103,1.082686383240912,16230,16020,8975
6,0,4642,1.0,0,66,1.0,0,12779,1.0,0,1120,1.0,2653,467,4.68094218415,1.090122680088078,19074,18864,10770
7,0,5415,1.0,0,77,1.0,2,14574,0.999862769315,0,1307,1.0,3207,546,4.87362637363,1.096400383229162,21919,21709,12565
8,0,6189,1.0,2,88,0.977272727273,3,16370,0.999816737935,0,1494,1.0,3793,624,5.07852564103,1.1025641025641026,24765,24555,14360
9,0,6963,1.0,3,99,0.969696969697,5,18166,0.999724760542,0,1681,1.0,4378,702,5.23646723647,1.1074209554163197,27611,27401,16155
10,0,7736,1.0,3,110,0.972727272727,7,19961,0.999649316167,0,1868,1.0,5001,780,5.41153846154,1.1126580200295517,30455,30245,17950
11,0,8510,1.0,4,121,0.96694214876,14,21757,0.999356528933,0,2055,1.0,5643,858,5.57692307692,1.117383862346476,33301,33091,19745
12,3,9284,0.999676863421,9,132,0.931818181818,15,23552,0.999363111413,0,2241,1.0,6306,935,5.74438502674,1.1219842850818946,36144,35934,21540
13,4,10057,0.999602267078,12,143,0.916083916084,20,25348,0.999210983115,0,2428,1.0,6990,1014,5.89349112426,1.1263400872018465,38990,38780,23335
14,4,10831,0.999630689687,15,154,0.902597402597,30,27144,0.998894783378,0,2615,1.0,7689,1092,6.04120879121,1.1304139975141028,41836,41626,25130
15,5,11605,0.999569151228,21,166,0.873493975904,43,29159,0.998525326657,1,2802,0.999643112063,8423,1170,6.19914529915,1.1339138568437932,44902,44692,27145
16,10,12378,0.999192115043,33,177,0.813559322034,53,31175,0.998299919808,1,2989,0.999665439946,9175,1248,6.35176282051,1.137219338295078,47967,47757,29160
17,12,13152,0.999087591241,44,188,0.765957446809,70,33190,0.997890931003,3,3175,0.99905511811,9992,1326,6.53544494721,1.1413062648194234,51031,50821,31175
18,17,13926,0.998779261812,61,199,0.693467336683,90,35206,0.997443617565,5,3362,0.998512790006,10796,1404,6.68945868946,1.1444627243654917,54097,53887,33190
19,25,14699,0.998299204027,78,210,0.628571428571,107,37222,0.997125355972,8,3549,0.9977458439,11626,1482,6.84480431849,1.1477205136279347,57162,56952,35205
20,37,15473,0.997608737801,91,221,0.588235294118,129,39610,0.996743246655,10,3736,0.997323340471,12583,1560,7.06602564103,1.1517491749174917,60600,60390,37593
21,43,16247,0.997353357543,104,232,0.551724137931,149,41999,0.996452296483,16,3923,0.995921488657,13548,1638,7.27106227106,1.1555302237698901,64039,63829,39981
22,54,17020,0.996827262045,120,243,0.506172839506,165,44387,0.996282695384,20,4110,0.995133819951,14502,1716,7.45104895105,1.1587379216313949,67476,67266,42369
23,61,17794,0.996571878161,139,254,0.452755905512,189,46776,0.995959466393,23,4296,0.994646182495,15461,1794,7.61817168339,1.1616182982203795,70914,70704,44757
24,67,18568,0.996391641534,159,265,0.4,223,49165,0.995464253026,27,4483,0.993977247379,16451,1871,7.7926242651,1.164528190230256,74352,74142,47145
25,82,19341,0.995760301949,186,276,0.326086956522,257,49602,0.994818757308,33,4670,0.992933618844,17241,1950,7.84153846154,1.1685544376903705,75839,75629,47582
26,95,20115,0.995277156351,212,287,0.261324041812,293,50039,0.994144567238,40,4857,0.991764463661,18047,2028,7.89891518738,1.1726586141789308,77326,77116,48019
27,110,20889,0.994734070563,235,298,0.211409395973,329,50477,0.993482180003,49,5044,0.990285487708,18850,2106,7.95061728395,1.1765549267896567,78814,78604,48456
28,125,21662,0.99422952636,267,309,0.135922330097,376,50914,0.992614997839,56,5230,0.989292543021,19599,2184,7.9739010989,1.179416929227014,80299,80089,48893
29,134,22436,0.994027455874,305,320,0.046875,419,51351,0.991840470487,64,5417,0.98818534244,20290,2262,7.96993810787,1.181498055901988,81786,81576,49330
30,156,23210,0.993278759156,354,332,0.066265060241,473,51789,0.990866786383,68,5604,0.987865810136,21044,2340,7.99316239316,1.1844130891624136,83275,83065,49767
