Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
22,17766,18326,0.0305576776165,0,798,1.0,0,316,1.0,698,542,0.287822878229,875,866,0.0103926096998,0,0,0.0,0,0,0.0,0.0882099002302379,20848,20848,20848,21.226550486929778,19339,0,0.02417498081350729
23,17769,19171,0.0731312920557,0,1596,1.0,9,633,0.985781990521,698,534,0.307116104869,875,865,0.0115606936416,0,0,0.0,0,0,0.0,0.16649853063730866,22799,22799,22799,21.232701178882625,19351,0,0.021930786438001667
24,17797,20016,0.110861310951,13,2394,0.994569757728,22,950,0.976842105263,698,527,0.324478178368,875,865,0.0115606936416,0,0,0.0,0,0,0.0,0.2306480284421461,24752,24752,24752,21.260379292670425,19405,0,0.02056399482870071
25,17814,20860,0.146021093001,37,2394,0.984544695071,40,953,0.958027282267,698,520,0.342307692308,875,865,0.0115606936416,0,0,0.0,0,0,0.0,0.2541419193497968,25592,25592,25592,21.29062019477191,19464,0,0.01926383244763989
26,17836,21705,0.178253858558,64,2394,0.973266499582,54,956,0.943514644351,698,513,0.360623781676,875,864,0.0127314814815,0,0,0.0,0,0,0.0,0.27606688861985473,26432,26432,26432,21.322911327524345,19527,0,0.018273305084745763
27,17869,22549,0.207548006563,101,2394,0.957811194653,70,959,0.92700729927,698,506,0.379446640316,875,864,0.0127314814815,0,0,0.0,0,0,0.0,0.29572455265473746,27272,27272,27272,21.366991286519735,19613,0,0.017417131123496625
28,17892,23394,0.235188509874,136,2394,0.943191311612,86,962,0.910602910603,698,499,0.39879759519,875,863,0.0139049826188,0,0,0.0,0,0,0.0,0.3147054638588503,28112,28112,28112,21.404920553562278,19687,0,0.016291974957313604
29,17921,23536,0.238570700204,197,2394,0.917710944027,102,965,0.894300518135,698,492,0.418699186992,875,863,0.0139049826188,0,0,0.0,0,0,0.0,0.31479646017699114,28250,28250,28250,21.459251665812403,19793,0,0.01504424778761062
30,17952,23678,0.241827857083,244,2394,0.898078529657,113,968,0.88326446281,698,485,0.439175257732,875,863,0.0139049826188,0,0,0.0,0,0,0.0,0.3154854163731154,28388,28388,28388,21.504869297796002,19882,0,0.014477948428913626
31,17977,23820,0.24529806885,289,2394,0.879281537176,134,971,0.861997940268,698,478,0.460251046025,875,862,0.0150812064965,0,0,0.0,0,0,0.0,0.31614373356704645,28525,28525,28525,21.551512045105074,19973,0,0.013391761612620508
32,18002,23963,0.248758502692,359,2394,0.850041771094,152,974,0.843942505133,795,579,0.373056994819,946,880,0.075,0,39,1.0,1048,19,54.1578947368,0.3524681087077094,28848,28848,28848,22.232701178882625,21302,0,0.0959165280088741
33,18036,24273,0.256952169077,427,2394,0.821637426901,169,977,0.827021494371,954,680,0.402941176471,1036,898,0.153674832962,0,78,1.0,1442,38,36.9473684211,0.37173631467721047,29338,29338,29338,22.62327011788826,22064,0,0.13835298929715728
34,18056,24583,0.265508684864,492,2394,0.794486215539,181,980,0.815306122449,1009,782,0.290281329923,1063,916,0.160480349345,0,117,1.0,1916,58,32.0344827586,0.38809922896413007,29830,29830,29830,22.95797027165556,22717,0,0.17355011733154543
35,18073,24893,0.27397260274,561,2394,0.765664160401,205,983,0.791454730417,1086,883,0.229898074745,1115,934,0.193790149893,3,156,0.980769230769,2193,77,27.4805194805,0.39854881266490766,30320,30320,30320,23.223758320532514,23236,0,0.19785620052770447
36,18100,25203,0.281831527993,621,2394,0.740601503759,226,986,0.770791075051,1146,984,0.164634146341,1146,952,0.203781512605,6,195,0.969230769231,2538,96,25.4375,0.40970464135021095,30810,30810,30810,23.50384024577573,23783,0,0.22330412203829925
37,18134,25513,0.289225100929,680,2394,0.715956558062,241,989,0.756319514661,1218,1086,0.121546961326,1181,971,0.216271884655,6,235,0.974468085106,2771,116,22.8879310345,0.4174226935854843,31304,31304,31304,23.733230926779314,24231,0,0.24159851776130845
38,18160,25823,0.296750958448,739,2394,0.691311612364,264,992,0.733870967742,1268,1187,0.0682392586352,1207,989,0.220424671385,6,274,0.978102189781,3076,135,21.7851851852,0.42630685034912247,31794,31794,31794,23.983614951356888,24720,0,0.26196766685538153
39,18185,26133,0.304136532354,799,2394,0.666248955723,286,995,0.71256281407,1309,1288,0.0163043478261,1232,1007,0.223435948361,8,313,0.974440894569,3356,155,20.6516129032,0.4337618088895772,32285,32285,32285,24.50357142857143,25175,0,0.27975840173455163
40,18225,26443,0.310781681352,861,2463,0.650426309379,311,997,0.688064192578,1342,1390,0.0345323741007,1265,1025,0.234146341463,8,352,0.977272727273,3619,174,19.7988505747,0.4440080379978078,32844,32844,32844,25.04642857142857,25631,0,0.29527463159176714
