Time,Mole,
0,0,0
1,5509,1436
2,11073,2872
3,17185,4308
4,18393,4382
5,19949,4456
6,20454,4531
7,20454,4605
8,20454,4680
9,20454,4754
10,20454,4828
11,20454,4903
12,20454,4977
13,20454,5052
14,20454,5126
15,20454,5201
16,20454,5275
17,20454,5349
18,20454,5424
19,20454,5498
20,20454,5573
21,20454,5647
22,20454,5722
23,20454,5796
24,20454,5870
25,20454,5945
26,20454,6019
27,20454,6094
28,20454,6168
29,20454,6242
30,20454,6317
31,20454,6391
32,20454,6466
33,20454,6540
34,20454,6615
35,20454,6689
36,20454,6763
37,20454,6838
38,20454,6912
39,20454,6987
40,20454,7061
41,20454,7136
42,20454,7210
43,20454,7284
44,20454,7359
45,20454,7433
46,20454,7508
47,20454,7582
48,20454,7656
49,20454,7731
50,20454,7805
51,20454,7880
52,20454,7954
53,20454,8029
54,20454,8103
55,20454,8177
56,20454,8252
57,20454,8326
58,20454,8401
59,20454,8475
60,20454,8550
61,20454,8624
62,20454,8698
63,20454,8773
64,20454,8847
65,20454,8922
66,20454,8996
67,20454,9071
68,20454,9085
69,20454,9099
70,20454,9114
71,20454,9128
72,20454,9142
73,20454,9157
74,20454,9171
75,20454,9186
76,20454,9200
77,20454,9214
78,20454,9229
79,20454,9243
80,20454,9258
81,20454,9273
82,20454,9288
83,20454,9303
84,20454,9318
85,20454,9333
86,20454,9348
87,20454,9363
88,20454,9378
89,20454,9393
90,20454,9408
91,20454,9423
92,20454,9438
93,20454,9453
94,20454,9468
95,20454,9484
96,20454,9499
97,20454,9514
98,20454,9529
99,20454,9544
100,20454,9559
101,20454,9574
102,20454,9589
103,20454,9604
104,20454,9619
105,20454,9634
106,20454,9649
107,20454,9664
108,20454,9679
109,20454,9694
110,20454,9710
111,20454,9725
112,20454,9740
113,20454,9755
114,20454,9770
115,20454,9785
116,20454,9800
117,20454,9815
118,20454,9830
119,20454,9845
120,20454,9860
121,20454,9875
122,20454,9890
123,20454,9905
124,20454,9921
125,20454,9936
126,20454,9951
127,20454,9966
128,20454,9981
129,20454,9996
130,20454,10011
131,20454,10026
132,20454,10041
133,20454,10056
134,20454,10071
135,20454,10086
136,20454,10101
137,20454,10116
138,20454,10131
139,20454,10147
140,20454,10162
141,20454,10177
142,20454,10192
143,20454,10207
144,20454,10222
145,20454,10237
146,20454,10252
147,20454,10267
148,20454,10282
149,20454,10297
150,20454,10312
151,20454,10327
152,20454,10342
153,20454,10358
154,20454,10373
155,20454,10388
156,20454,10403
157,20454,10418
158,20454,10433
159,20454,10448
160,20454,10463
161,20454,10478
162,20454,10493
163,20454,10508
164,20454,10523
165,20454,10538
166,20454,10553
167,20454,10568
168,20454,10584
169,20454,10599
170,20454,10614
171,20454,10629
172,20454,10644
173,20454,10659
174,20454,10674
175,20454,10689
176,20454,10704
177,20454,10719
178,20454,10734
179,20454,10749
180,20454,10764
181,20454,10779
182,20454,10795
183,20454,10810
184,20454,10825
185,20454,10840
186,20454,10855
187,20454,10870
188,20454,10885
189,20454,10900
190,20454,10915
191,20454,10930
192,20454,10945
193,20454,10960
194,20454,10975
195,20454,10990
196,20454,11005
197,20454,11021
198,20454,11036
199,20454,11051
200,20454,11066
201,20454,11081
202,20454,11096
203,20454,11111
204,20454,11126
205,20454,11141
206,20454,11156
207,20454,11171
208,20454,11186
209,20454,11201
210,20454,11216
211,20454,11232
212,20454,11317
213,20454,11402
214,20454,11488
215,20454,11573
216,20454,11659
217,20454,11744
218,20454,11830
219,20454,11915
220,20454,12001
221,20454,12086
222,20454,12171
223,20454,12257
224,20454,12342
225,20454,12428
226,20454,12513
227,20454,12599
228,20454,12684
229,20454,12770
230,20454,12855
231,20454,12941
232,20454,13026
233,20454,13111
234,20454,13197
235,20454,13282
236,20454,13368
237,20454,13453
238,20454,13539
239,20454,13624
240,20454,13710
241,20454,13795
242,20454,13881
243,20454,13908
244,20454,13935
245,20454,13962
246,20454,13989
247,20454,14016
248,20454,14044
249,20454,14071
250,20454,14098
251,20454,14125
252,20454,14152
253,20454,14179
254,20454,14207
255,20454,14234
256,20454,14261
257,20454,14288
258,20454,14315
259,20454,14342
260,20454,14370
261,20454,14397
262,20454,14424
263,20454,14451
264,20454,14478
265,20454,14505
266,20454,14533
267,20454,14560
268,20454,14587
269,20454,14614
270,20454,14641
271,20454,14668
272,20454,14696
273,20454,14784
274,20454,14800
275,20454,14817
276,20454,14834
277,20454,14851
278,20454,14868
279,20454,14885
280,20454,14902
281,20454,14919
282,20454,14936
283,20454,14953
284,20454,14970
285,20454,14987
286,20454,15004
287,20454,15021
288,20454,15038
289,20454,15055
290,20454,15072
291,20454,15089
292,20454,15106
293,20454,15123
294,20454,15140
295,20454,15157
296,20454,15174
297,20454,15191
298,20454,15208
299,20454,15225
300,20454,15242
301,20454,15259
302,20454,15276
303,20454,15293
304,20454,15310
305,20454,15327
306,20454,15344
307,20454,15361
308,20454,15378
309,20454,15395
310,20454,15412
311,20454,15429
312,20454,15446
313,20454,15463
314,20454,15480
315,20454,15497
316,20454,15514
317,20454,15531
318,20454,15548
319,20454,15565
320,20454,15582
321,20454,15599
322,20454,15616
323,20454,15633
324,20454,15650
325,20454,15667
326,20454,15684
327,20454,15701
328,20454,15718
329,20454,15735
330,20454,15752
331,20454,15769
332,20454,15786
333,20454,15803
334,20454,15820
335,20454,15820
336,20454,15820
337,20454,15820
338,20454,15820
339,20454,15820
340,20454,15820
341,20454,15820
342,20454,15820
343,20454,15820
344,20454,15820
345,20454,15820
346,20454,15820
347,20454,15820
348,20454,15820
349,20454,15820
350,20454,15820
351,20454,15820
352,20454,15820
353,20454,15820
354,20454,15820
355,20454,15820
356,20454,15820
357,20454,15820
358,20454,15820
359,20454,15820
360,20454,15820
361,20454,15820
362,20454,15820
363,20454,15820
364,20454,15820
365,20454,15820
366,20454,15820
367,20454,15820
368,20454,15820
369,20454,15820
370,20454,15820
371,20454,15820
372,20454,15820
373,20454,15820
374,20454,15820
375,20454,15820
376,20454,15820
377,20454,15825
378,20454,15831
379,20454,15837
380,20454,15843
381,20454,15849
382,20454,15855
383,20454,15861
384,20454,15867
385,20454,15872
386,20454,15878
387,20454,15884
388,20454,15890
389,20454,15896
390,20454,15902
391,20454,15908
392,20454,15914
393,20454,15920
394,20454,15925
395,20454,15931
396,20454,15937
397,20454,15943
398,20454,15949
399,20454,15955
400,20454,15961
401,20454,15967
402,20454,15973
403,20454,15978
404,20454,15984
405,20454,15990
406,20454,15996
407,20454,16002
408,20454,16008
409,20454,16014
410,20454,16020
411,20454,16026
412,20454,16031
413,20454,16037
414,20454,16043
415,20454,16049
416,20454,16055
417,20454,16061
418,20454,16067
419,20454,16073
420,20454,16078
421,20454,16084
422,20454,16090
423,20454,16096
424,20454,16102
425,20454,16108
426,20454,16114
427,20454,16120
428,20454,16126
429,20454,16131
430,20454,16137
431,20454,16143
432,20454,16149
433,20454,16155
434,20454,16161
435,20454,16167
436,20454,16173
437,20454,16179
438,20454,16184
439,20454,16190
440,20454,16196
441,20454,16202
442,20454,16208
443,20454,16214
444,20454,16220
445,20454,16226
446,20454,16232
447,20454,16234
448,20454,16236
449,20454,16238
450,20454,16240
451,20454,16243
452,20454,16245
453,20454,16247
454,20454,16249
455,20454,16251
456,20454,16254
457,20454,16256
458,20454,16258
459,20454,16260
460,20454,16262
461,20454,16265
462,20454,16267
463,20454,16269
464,20454,16271
465,20454,16273
466,20454,16276
467,20454,16278
468,20454,16280
469,20454,16282
470,20454,16284
471,20454,16287
472,20454,16297
473,20454,16307
474,20454,16317
475,20454,16328
476,20454,16338
477,20454,16348
478,20454,16358
479,20454,16369
480,20454,16379
481,20454,16389
482,20454,16399
483,20454,16410
484,20454,16420
485,20454,16430
486,20454,16441
487,20454,16451
488,20454,16461
489,20454,16471
490,20454,16482
491,20454,16492
492,20454,16502
493,20454,16512
494,20454,16523
495,20454,16533
496,20454,16543
497,20454,16553
498,20454,16564
499,20454,16574
500,20454,16584
501,20454,16595
502,20454,16605
503,20454,16615
504,20454,16625
505,20454,16636
506,20454,16646
507,20454,16656
508,20454,16666
509,20454,16677
510,20454,16687
511,20454,16697
512,20454,16708
513,20454,16708
514,20454,16708
515,20454,16708
516,20454,16708
517,20454,16708
518,20454,16708
519,20454,16708
520,20454,16708
521,20454,16708
522,20454,16708
523,20454,16708
524,20454,16708
525,20454,16708
526,20454,16708
527,20454,16708
528,20454,16708
529,20454,16708
530,20454,16708
531,20454,16708
532,20454,16708
533,20454,16708
534,20454,16708
535,20454,16708
536,20454,16712
537,20454,16716
538,20454,16720
539,20454,16724
540,20454,16728
541,20454,16733
542,20454,16737
543,20454,16741
544,20454,16745
545,20454,16749
546,20454,16754
547,20454,16758
548,20454,16762
549,20454,16766
550,20454,16770
551,20454,16774
552,20454,16779
553,20454,16783
554,20454,16787
555,20454,16791
556,20454,16795
557,20454,16800
558,20454,16804
559,20454,16808
560,20454,16812
561,20454,16816
562,20454,16820
563,20454,16825
564,20454,16829
565,20454,16833
566,20454,16837
567,20454,16841
568,20454,16846
569,20454,16850
570,20454,16854
571,20454,16858
572,20454,16862
573,20454,16867
574,20454,16871
575,20454,16875
576,20454,16879
577,20454,16883
578,20454,16887
579,20454,16892
580,20454,16896
581,20454,16900
582,20454,16904
583,20454,16908
584,20454,16913
585,20454,16917
586,20454,16921
587,20454,16925
588,20454,16929
589,20454,16933
590,20454,16938
591,20454,16942
592,20454,16946
593,20454,16950
594,20454,16954
595,20454,16959
596,20454,16963
597,20454,16967
598,20454,16971
599,20454,16975
600,20454,16979
601,20454,16984
602,20454,16988
603,20454,16992
604,20454,16996
605,20454,17000
606,20454,17005
607,20454,17009
608,20454,17013
609,20454,17017
610,20454,17021
611,20454,17026
612,20454,17030
613,20454,17034
614,20454,17038
615,20454,17042
616,20454,17046
617,20454,17051
618,20454,17055
619,20454,17059
620,20454,17063
621,20454,17067
622,20454,17072
623,20454,17076
624,20454,17080
625,20454,17084
626,20454,17088
627,20454,17092
628,20454,17097
629,20454,17101
630,20454,17105
631,20454,17109
632,20454,17113
633,20454,17118
634,20454,17122
635,20454,17126
636,20454,17130
637,20454,17134
638,20454,17139
639,20454,17160
640,20454,17182
641,20454,17204
642,20454,17225
643,20454,17247
644,20454,17269
645,20454,17291
646,20454,17312
647,20454,17334
648,20454,17356
649,20454,17378
650,20454,17399
651,20454,17421
652,20454,17443
653,20454,17465
654,20454,17486
655,20454,17508
656,20454,17530
657,20454,17552
658,20454,17573
659,20454,17595
660,20454,17617
661,20454,17639
662,20454,17660
663,20454,17682
664,20454,17704
665,20454,17726
666,20454,17747
667,20454,17769
668,20454,17791
669,20454,17813
670,20454,17834
671,20454,17856
672,20454,17878
673,20454,17900
674,20454,17921
675,20454,17943
676,20454,17965
677,20454,17987
678,20454,18008
679,20454,18030
680,20454,18052
681,20454,18074
682,20454,18095
683,20454,18117
684,20454,18139
685,20454,18161
686,20454,18182
687,20454,18204
688,20454,18226
689,20454,18248
690,20454,18269
691,20454,18291
692,20454,18313
693,20454,18334
694,20454,18356
695,20454,18378
696,20454,18400
697,20454,18421
698,20454,18443
699,20454,18465
700,20454,18487
701,20454,18508
702,20454,18530
703,20454,18552
704,20454,18574
705,20454,18595
706,20454,18617
707,20454,18639
708,20454,18661
709,20454,18682
710,20454,18704
711,20454,18726
712,20454,18748
713,20454,18769
714,20454,18791
715,20454,18813
716,20454,18835
717,20454,18856
718,20454,18878
719,20454,18900
720,20454,18922
721,20454,18943
722,20454,18965
723,20454,18987
724,20454,19009
725,20454,19030
726,20454,19052
727,20454,19074
728,20454,19096
729,20454,19117
730,20454,19139
731,20454,19161
732,20454,19183
733,20454,19204
734,20454,19226
735,20454,19248
736,20454,19270
737,20454,19291
738,20454,19313
739,20454,19335
740,20454,19357
741,20454,19378
742,20454,19400
743,20454,19422
744,20454,19443
745,20454,19465
746,20454,19487
747,20454,19509
748,20454,19530
749,20454,19552
750,20454,19574
751,20454,19596
752,20454,19617
753,20454,19639
754,20454,19661
755,20454,19683
756,20454,19704
757,20454,19726
758,20454,19748
759,20454,19770
760,20454,19791
761,20454,19813
762,20454,19835
763,20454,19857
764,20454,19878
765,20454,19900
766,20454,19922
767,20454,19944
768,20454,19965
769,20454,19987
770,20454,20009
771,20454,20031
772,20454,20052
773,20454,20074
774,20454,20096
775,20454,20118
776,20454,20139
777,20454,20161
778,20454,20183
779,20454,20205
780,20454,20226
781,20454,20248
782,20454,20270
783,20454,20292
784,20454,20313
785,20454,20335
786,20454,20357
787,20454,20379
788,20454,20400
789,20454,20422
790,20454,20444
791,20454,20466
792,20454,20465
793,20454,20465
794,20454,20464
795,20454,20464
796,20454,20463
797,20454,20463
798,20454,20463
799,20454,20462
800,20454,20462
801,20454,20461
802,20454,20461
803,20454,20461
804,20454,20460
805,20454,20460
806,20454,20459
807,20454,20459
808,20454,20458
809,20454,20458
810,20454,20458
811,20454,20457
812,20454,20457
813,20454,20456
814,20454,20456
815,20454,20456
816,20454,20455
817,20454,20455
818,20454,20454
819,20454,20454
