Time,Dosseye,
400,22925,21518
401,22925,21517
402,22925,21516
403,22925,21516
404,22925,21515
405,22925,21514
406,22925,21514
407,22925,21513
408,22925,21512
409,22925,21511
410,22925,21511
411,22925,21510
412,22925,21509
413,22925,21509
414,22925,21508
415,22925,21507
416,22925,21507
417,22925,21506
418,22925,21505
419,22925,21504
420,22925,21504
421,22925,21503
422,22925,21502
423,22925,21502
424,22925,21501
425,22925,21500
426,22925,21500
427,22925,21499
428,22925,21498
429,22925,21498
430,22925,21497
431,22925,21496
432,22925,21495
433,22925,21495
434,22925,21494
435,22925,21493
436,22925,21493
437,22925,21492
438,22925,21491
439,22925,21491
440,22925,21490
441,22925,21489
442,22925,21488
443,22925,21488
444,22925,21487
445,22925,21486
446,22925,21486
447,22925,21485
448,22925,21484
449,22925,21484
450,22925,21483
451,22925,21482
452,22925,21481
453,22925,21481
454,22925,21480
455,22925,21479
456,22925,21479
457,22925,21478
458,22925,21477
459,22925,21477
460,22925,21476
461,22925,21475
462,22925,21475
463,22925,21474
464,22925,21473
465,22925,21472
466,22925,21472
467,22925,21471
468,22925,21470
469,22925,21470
470,22925,21469
471,22925,21468
472,22925,21468
473,22925,21467
474,22925,21466
475,22925,21465
476,22925,21465
477,22925,21464
478,22925,21463
479,22925,21463
480,22925,21462
481,22925,21461
482,22925,21461
483,22925,21460
484,22925,21459
485,22925,21459
486,22925,21461
487,22925,21463
488,22925,21466
489,22925,21468
490,22925,21471
491,22925,21473
492,22925,21476
493,22925,21478
494,22925,21481
495,22925,21483
496,22925,21486
497,22925,21488
498,22925,21491
499,22925,21493
500,22925,21496
501,22925,21498
502,22925,21501
503,22925,21503
504,22925,21506
505,22925,21508
506,22925,21511
507,22925,21513
508,22925,21515
509,22925,21518
510,22925,21520
511,22925,21523
512,22925,21525
513,22925,21528
514,22925,21530
515,22925,21533
516,22925,21535
517,22925,21538
518,22925,21540
519,22925,21543
520,22925,21545
521,22925,21548
522,22925,21550
523,22925,21553
524,22925,21555
525,22925,21558
526,22925,21560
527,22925,21563
528,22925,21565
529,22925,21567
530,22925,21570
531,22925,21572
532,22925,21575
533,22925,21577
534,22925,21580
535,22925,21582
536,22925,21585
537,22925,21587
538,22925,21590
539,22925,21592
540,22925,21595
541,22925,21597
542,22925,21600
543,22925,21602
544,22925,21605
545,22925,21607
546,22925,21610
547,22925,21612
548,22925,21615
549,22925,21614
550,22925,21614
551,22925,21614
552,22925,21614
553,22925,21614
554,22925,21613
555,22925,21613
556,22925,21613
557,22925,21613
558,22925,21613
559,22925,21613
560,22925,21612
561,22925,21612
562,22925,21612
563,22925,21612
564,22925,21612
565,22925,21611
566,22925,21611
567,22925,21611
568,22925,21611
569,22925,21611
570,22925,21611
571,22925,21610
572,22925,21610
573,22925,21610
574,22925,21610
575,22925,21610
576,22925,21610
577,22925,21610
578,22925,21610
579,22925,21610
580,22925,21610
581,22925,21610
582,22925,21610
583,22925,21611
584,22925,21611
585,22925,21611
586,22925,21611
587,22925,21611
588,22925,21611
589,22925,21612
590,22925,21612
591,22925,21612
592,22925,21612
593,22925,21612
594,22925,21612
595,22925,21613
596,22925,21613
597,22925,21613
598,22925,21613
599,22925,21613
600,22925,21613
601,22925,21614
602,22925,21614
603,22925,21614
604,22925,21614
605,22925,21614
606,22925,21614
607,22925,21615
608,22925,21597
609,22925,21579
610,22925,21562
611,22925,21544
612,22925,21527
613,22925,21509
614,22925,21492
615,22925,21474
616,22925,21457
617,22925,21439
618,22925,21421
619,22925,21404
620,22925,21386
621,22925,21369
622,22925,21351
623,22925,21334
624,22925,21316
625,22925,21299
626,22925,21281
627,22925,21264
628,22925,21246
629,22925,21228
630,22925,21211
631,22925,21193
632,22925,21176
633,22925,21158
634,22925,21141
635,22925,21123
636,22925,21106
637,22925,21088
638,22925,21071
639,22925,20771
640,22925,20471
641,22925,20171
642,22925,19871
643,22925,19571
644,22925,19271
645,22925,18971
646,22925,18671
647,22925,18371
648,22925,18071
649,22925,17771
650,22925,17471
651,22925,17171
652,22925,16871
653,22925,16572
654,22925,16272
655,22925,15972
656,22925,15672
657,22925,15372
658,22925,15072
659,22925,14772
660,22925,14472
661,22925,14172
662,22925,13872
663,22925,13572
664,22925,13272
665,22925,12972
666,22925,12672
667,22925,12372
668,22925,12073
669,22925,12073
670,22925,12073
671,22925,12073
672,22925,12074
673,22925,12074
674,22925,12074
675,22925,12075
676,22925,12075
677,22925,12075
678,22925,12075
679,22925,12076
680,22925,12076
681,22925,12076
682,22925,12077
683,22925,12077
684,22925,12077
685,22925,12077
686,22925,12078
687,22925,12078
688,22925,12078
689,22925,12079
690,22925,12079
691,22925,12079
692,22925,12079
693,22925,12080
694,22925,12080
695,22925,12080
696,22925,12081
697,22925,12081
698,22925,12081
699,22925,12082
700,22925,12082
701,22925,12082
702,22925,12082
703,22925,12082
704,22925,12082
705,22925,12082
706,22925,12082
707,22925,12082
708,22925,12082
709,22925,12082
710,22925,12082
711,22925,12082
712,22925,12082
713,22925,12082
714,22925,12082
715,22925,12082
716,22925,12082
717,22925,12082
718,22925,12082
719,22925,12082
720,22925,12082
721,22925,12082
722,22925,12082
723,22925,12082
724,22925,12082
725,22925,12082
726,22925,12082
727,22925,12082
728,22925,12082
729,22925,12082
730,22925,12081
731,22925,12081
732,22925,12081
733,22925,12080
734,22925,12080
735,22925,12080
736,22925,12080
737,22925,12079
738,22925,12079
739,22925,12079
740,22925,12079
741,22925,12078
742,22925,12078
743,22925,12078
744,22925,12078
745,22925,12077
746,22925,12077
747,22925,12077
748,22925,12077
749,22925,12076
750,22925,12076
751,22925,12076
752,22925,12076
753,22925,12075
754,22925,12075
755,22925,12075
756,22925,12075
757,22925,12074
758,22925,12074
759,22925,12074
760,22925,12074
761,22925,12073
762,22925,12073
763,22925,12073
764,22925,12073
765,22925,12073
766,22925,12073
767,22925,12073
768,22925,12072
769,22925,12072
770,22925,12072
771,22925,12072
772,22925,12072
773,22925,12072
774,22925,12072
775,22925,12072
776,22925,12071
777,22925,12071
778,22925,12071
779,22925,12071
780,22925,12071
781,22925,12071
782,22925,12071
783,22925,12071
784,22925,12070
785,22925,12070
786,22925,12070
787,22925,12070
788,22925,12070
789,22925,12070
790,22925,12070
791,22925,12070
792,22925,12075
793,22925,12081
794,22925,12087
795,22925,12093
796,22925,12099
797,22925,12105
798,22925,12111
799,22925,12116
800,22925,12122
801,22925,12128
802,22925,12134
803,22925,12140
804,22925,12146
805,22925,12152
806,22925,12157
807,22925,12163
808,22925,12169
809,22925,12175
810,22925,12181
811,22925,12187
812,22925,12193
813,22925,12198
814,22925,12204
815,22925,12210
816,22925,12216
817,22925,12222
818,22925,12228
819,22925,12234
