Time,Inke,
0,0,0
1,0,2894
2,0,5788
3,0,8683
4,0,8711
5,0,8739
6,0,8767
7,0,8796
8,0,8824
9,0,8852
10,0,8881
11,0,8909
12,0,8937
13,0,8965
14,0,8994
15,0,9022
16,0,9050
17,0,9079
18,0,9107
19,0,9135
20,0,9164
21,0,9192
22,0,9220
23,0,9248
24,1,9277
25,1,9305
26,3,9333
27,4,9362
28,6,9390
29,6,9418
30,6,9447
31,7,9475
32,8,9503
33,11,9531
34,13,9560
35,15,9588
36,15,9616
37,15,9645
38,17,9673
39,19,9701
40,19,9729
41,19,9758
42,19,9786
43,21,9814
44,22,9843
45,24,9871
46,26,9899
47,26,9928
48,29,9956
49,30,9984
50,32,10012
51,34,10041
52,37,10069
53,42,10097
54,44,10126
55,48,10154
56,51,10182
57,54,10211
58,56,10239
59,59,10267
60,61,10295
61,66,10324
62,68,10352
63,71,10380
64,74,10409
65,82,10437
66,89,10465
67,95,10494
68,100,10557
69,104,10620
70,107,10683
71,113,10747
72,114,10810
73,117,10873
74,118,10937
75,121,11000
76,126,11063
77,129,11127
78,133,11190
79,134,11253
80,141,11317
81,145,11300
82,149,11283
83,157,11266
84,161,11249
85,166,11232
86,172,11215
87,175,11198
88,179,11181
89,181,11164
90,183,11147
91,184,11130
92,192,11113
93,195,11096
94,199,11079
95,207,11062
96,213,11045
97,219,11028
98,229,11011
99,234,10994
100,238,10977
101,245,10960
102,245,10943
103,250,10926
104,261,10909
105,262,10892
106,271,10875
107,276,10858
108,281,10841
109,287,10824
110,293,10807
111,298,10790
112,305,10773
113,313,10756
114,318,10739
115,319,10722
116,323,10705
117,325,10688
118,334,10671
119,339,10654
120,348,10637
121,358,10620
122,370,10603
123,379,10586
124,384,10569
125,386,10552
126,399,10535
127,404,10518
128,416,10501
129,424,10484
130,434,10467
131,443,10450
132,455,10433
133,462,10416
134,467,10399
135,472,10382
136,478,10365
137,483,10348
138,492,10331
139,502,10314
140,510,10297
141,517,10280
142,535,10263
143,547,10246
144,554,10229
145,565,10212
146,572,10196
147,576,10179
148,580,10162
149,583,10145
150,589,10128
151,597,10111
152,601,10094
153,614,10077
154,627,10060
155,644,10043
156,646,10026
157,658,10009
158,665,9992
159,678,9975
160,689,9958
161,699,9941
162,709,9924
163,714,9907
164,723,9890
165,732,9873
166,741,9856
167,750,9839
168,763,9822
169,770,9805
170,782,9788
171,794,9771
172,805,9754
173,812,9737
174,822,9720
175,837,9703
176,845,9686
177,853,9669
178,861,9652
179,874,9635
180,883,9618
181,893,9601
182,908,9584
183,922,9567
184,928,9550
185,943,9533
186,952,9516
187,961,9499
188,967,9482
189,980,9465
190,990,9448
191,1000,9431
192,1013,9414
193,1015,9397
194,1025,9380
195,1040,9363
196,1052,9346
197,1057,9329
198,1065,9312
199,1073,9295
200,1081,9278
201,1093,9261
202,1104,9244
203,1113,9227
204,1123,9210
205,1133,9193
206,1134,9176
207,1149,9159
208,1160,9142
209,1172,9125
210,1176,9108
211,1183,9092
212,1189,9155
213,1203,9219
214,1220,9283
215,1227,9347
216,1232,9411
217,1246,9475
218,1257,9539
219,1267,9603
220,1278,9667
221,1288,9731
222,1302,9795
223,1313,9859
224,1323,9923
225,1328,9987
226,1337,10051
227,1349,10114
228,1357,10178
229,1372,10242
230,1384,10306
231,1390,10370
232,1395,10434
233,1404,10498
234,1415,10562
235,1423,10626
236,1437,10690
237,1451,10754
238,1459,10818
239,1466,10882
240,1473,10946
241,1487,11010
242,1507,11074
243,1517,11075
244,1527,11076
245,1537,11077
246,1549,11079
247,1564,11080
248,1575,11081
249,1590,11083
250,1599,11084
251,1610,11085
252,1619,11087
253,1635,11088
254,1647,11089
255,1662,11090
256,1679,11092
257,1693,11093
258,1709,11094
259,1725,11096
260,1744,11097
261,1762,11098
262,1774,11100
263,1782,11101
264,1792,11102
265,1807,11103
266,1823,11105
267,1840,11106
268,1851,11107
269,1863,11109
270,1878,11110
271,1887,11111
272,1900,11113
273,1925,11122
274,1951,11132
275,1970,11142
276,1981,11152
277,1993,11162
278,2012,11172
279,2031,11182
280,2048,11192
281,2071,11201
282,2082,11211
283,2095,11221
284,2111,11231
285,2130,11241
286,2148,11251
287,2150,11261
288,2161,11271
289,2178,11281
290,2190,11290
291,2208,11300
292,2226,11310
293,2246,11320
294,2267,11330
295,2284,11340
296,2292,11350
297,2312,11360
298,2319,11370
299,2339,11379
300,2361,11389
301,2384,11399
302,2397,11409
303,2417,11419
304,2435,11429
305,2456,11439
306,2472,11449
307,2495,11459
308,2510,11468
309,2525,11478
310,2548,11488
311,2563,11498
312,2569,11508
313,2589,11518
314,2609,11528
315,2633,11538
316,2657,11548
317,2668,11557
318,2697,11567
319,2714,11577
320,2735,11587
321,2759,11597
322,2779,11607
323,2800,11617
324,2815,11627
325,2830,11637
326,2843,11646
327,2868,11656
328,2892,11666
329,2902,11676
330,2925,11686
331,2951,11696
332,2977,11706
333,2997,11716
334,3018,11726
335,3038,11726
336,3063,11726
337,3081,11726
338,3106,11726
339,3134,11726
340,3153,11726
341,3176,11726
342,3202,11726
343,3216,11726
344,3233,11726
345,3261,11726
346,3283,11726
347,3309,11726
348,3331,11726
349,3355,11726
350,3376,11726
351,3407,11726
352,3420,11726
353,3438,11726
354,3460,11726
355,3496,11726
356,3518,11726
357,3541,11726
358,3565,11726
359,3593,11726
360,3615,11726
361,3627,11726
362,3654,11726
363,3687,11726
364,3713,11726
365,3733,11726
366,3767,11726
367,3791,11726
368,3821,11726
369,3853,11726
370,3880,11726
371,3904,11726
372,3935,11726
373,3960,11726
374,3988,11726
375,4000,11726
376,4019,11726
377,4043,11742
378,4075,11758
379,4101,11774
380,4127,11791
381,4150,11807
382,4172,11823
383,4204,11840
384,4242,11856
385,4263,11872
386,4291,11888
387,4319,11905
388,4340,11921
389,4370,11937
390,4385,11954
391,4403,11970
392,4425,11986
393,4453,12002
394,4483,12019
395,4517,12035
396,4532,12051
397,4558,12068
398,4586,12084
399,4607,12100
400,4628,12116
401,4657,12133
402,4686,12149
403,4706,12165
404,4733,12182
405,4756,12198
406,4786,12214
407,4816,12230
408,4842,12247
409,4866,12263
410,4896,12279
411,4923,12296
412,4950,12312
413,4975,12328
414,5011,12344
415,5037,12361
416,5063,12377
417,5102,12393
418,5134,12410
419,5162,12426
420,5192,12442
421,5211,12458
422,5233,12475
423,5258,12491
424,5280,12507
425,5309,12524
426,5337,12540
427,5374,12556
428,5406,12572
429,5432,12589
430,5457,12605
431,5482,12621
432,5500,12638
433,5520,12654
434,5554,12670
435,5575,12686
436,5605,12703
437,5634,12719
438,5663,12735
439,5691,12752
440,5710,12768
441,5735,12784
442,5763,12800
443,5790,12817
444,5814,12833
445,5837,12849
446,5878,12866
447,5901,12897
448,5931,12928
449,5963,12959
450,5991,12991
451,6031,13022
452,6056,13053
453,6085,13084
454,6118,13116
455,6164,13147
456,6191,13178
457,6225,13210
458,6255,13241
459,6286,13272
460,6320,13303
461,6340,13335
462,6384,13366
463,6416,13397
464,6448,13429
465,6464,13460
466,6492,13491
467,6520,13522
468,6545,13554
469,6577,13585
470,6602,13616
471,6629,13648
472,6668,13695
473,6704,13742
474,6734,13790
475,6765,13837
476,6795,13884
477,6836,13932
478,6859,13979
479,6883,14027
480,6916,14074
481,6943,14121
482,6977,14169
483,7003,14216
484,7038,14264
485,7058,14311
486,7085,14358
487,7109,14406
488,7146,14453
489,7169,14501
490,7202,14548
491,7235,14595
492,7271,14643
493,7296,14690
494,7323,14737
495,7358,14785
496,7394,14832
497,7408,14880
498,7437,14927
499,7465,14974
500,7491,15022
501,7521,15069
502,7559,15117
503,7586,15164
504,7620,15211
505,7639,15259
506,7681,15306
507,7720,15354
508,7755,15401
509,7787,15448
510,7824,15496
511,7849,15543
512,7886,15591
513,7923,15660
514,7952,15730
515,7980,15800
516,8016,15870
517,8054,15940
518,8094,16009
519,8127,16079
520,8155,16149
521,8184,16219
522,8225,16289
