DateTime,Nombre estimé de réfugiés maliens par période
2013-05-07,5058
2013-05-19,5058
2013-06-09,5058
2013-06-23,5058
2013-08-18,5547
2013-09-30,6944
2013-12-23,8941
2014-02-28,10091
2014-03-31,10090
2014-04-21,10692
2014-04-30,10692
2014-05-31,10692
2014-06-30,11754
2014-07-09,11386
2014-07-31,13237
2014-08-31,13237
2014-09-30,14785
2014-10-31,14785
2014-11-30,14785
2014-12-31,12738
2015-01-31,12737
2015-02-28,13706
2015-03-31,14109
2015-04-30,14488
2015-05-31,14487
2015-06-30,14487
2015-07-31,14579
2015-08-31,14750
2015-09-30,14750
2015-10-31,14750
2015-11-30,14850
