Time,Lusenda,
0,0,0
1,184,78
2,351,156
3,581,233
4,830,312
5,1076,390
6,1359,467
7,1693,546
8,1974,624
9,2335,702
10,2701,780
11,3071,858
12,3471,935
13,3912,1014
14,4339,1092
15,4823,1170
16,5257,1248
17,5754,1326
18,6210,1404
19,6716,1482
20,7252,1560
21,7861,1638
22,8467,1716
23,9075,1794
24,9680,1871
25,10099,1950
26,10492,2028
27,10888,2106
28,11284,2184
29,11700,2262
30,12065,2340
31,14390,2418
32,14674,2496
33,15304,2574
34,15853,2652
35,16380,2730
36,16843,2808
37,17327,2886
38,17781,2964
39,18174,3042
40,18582,3120
41,19216,3198
42,19818,3276
43,20496,3354
44,21240,3432
45,21727,3510
46,22193,3588
47,22625,3666
48,23058,3743
49,23420,3822
50,23749,3900
51,24071,3977
52,24437,4056
53,24767,4134
54,26544,4212
55,26889,4290
56,27498,4368
57,28083,4446
58,28561,4524
59,28994,4602
60,30413,4680
61,30804,4758
62,31344,4836
63,32203,4914
64,33029,4992
65,33913,5070
66,34447,5148
67,35154,5226
68,35860,5304
69,36558,5382
70,37101,5460
71,37642,5538
72,38270,5616
73,38822,5694
74,39396,5772
75,39926,5850
76,40555,5928
77,41092,6006
78,41605,6084
79,42095,6162
80,42543,6240
81,42977,6318
82,43489,6396
83,44130,6474
84,44656,6552
85,45118,6630
86,45538,6708
87,45972,6786
88,46457,6864
89,47006,6942
90,47563,7020
91,48055,7098
92,48453,7176
93,49033,7254
94,49761,7332
95,50298,7208
96,50774,7084
97,51290,6960
98,51871,6837
99,52404,6713
100,52896,6589
101,53360,6465
102,53770,6342
103,54192,6218
104,54666,6094
105,55080,5970
106,55447,5847
107,55786,5723
108,56201,5599
109,56581,5475
110,57001,5352
111,57381,5228
112,57774,5104
113,58193,4980
114,58609,4857
115,58990,4733
116,59439,4609
117,59892,4485
118,60256,4362
119,60654,4238
120,61025,4114
121,61418,3990
122,61775,3867
123,62081,3743
124,62383,3619
125,62707,3496
126,63008,3372
127,63369,3248
128,63675,3124
129,63982,3001
130,64286,2877
131,64574,2753
132,64869,2629
133,65134,2506
134,65386,2382
135,65659,2258
136,65939,2134
137,66219,2011
138,66491,1887
139,66701,1763
140,66985,1639
141,67230,1516
142,67444,1392
143,67682,1268
144,67925,1144
145,68156,1021
146,68385,897
147,68581,773
148,68766,649
149,68964,526
150,69160,402
151,69357,278
152,69545,155
153,69943,488
154,70367,822
155,70634,1156
156,70889,1490
157,71161,1824
158,71479,2158
159,71768,2492
160,72068,2826
161,72410,3160
162,72735,3494
163,73097,3827
164,73464,4161
165,73840,4495
166,74135,4829
167,74412,5163
168,74698,5497
169,74980,5831
170,75252,6165
171,75509,6499
172,75726,6833
173,75988,7166
174,76219,7500
175,76463,7834
176,76670,8168
177,76874,8502
178,77059,8836
179,77309,9170
180,77623,9504
181,78053,9838
182,78480,10172
183,78963,10506
184,79347,10538
185,79661,10570
186,79995,10603
187,80337,10635
188,80604,10668
189,80864,10700
190,81156,10733
191,81417,10765
192,81710,10798
193,82081,10830
194,82361,10863
195,82647,10895
196,82957,10928
197,83219,10960
198,83482,10993
199,83699,11025
200,83951,11058
201,84239,11090
202,84490,11123
203,84720,11155
204,84950,11188
205,85174,11220
206,85393,11252
207,85603,11285
208,85765,11317
209,85964,11350
210,86195,11382
211,86382,11415
212,86538,11447
213,86718,11480
214,86972,11512
215,87227,11545
216,87442,11577
217,87664,11610
218,87862,11642
219,88099,11675
220,88312,11707
221,88489,11740
222,88657,11772
223,88858,11805
224,89057,11837
225,89338,11870
226,89490,11902
227,89721,11934
228,89961,11967
229,90170,11999
230,90400,12032
231,90639,12064
232,90822,12097
233,91045,12129
234,91207,12162
235,91376,12194
236,91578,12227
237,91790,12259
238,91908,12292
239,92080,12324
240,92249,12357
241,92436,12389
242,92582,12422
243,92730,12454
244,92906,12487
245,93093,12519
246,93294,12552
247,93422,12584
248,93563,12617
249,93753,12649
250,93914,12681
251,94089,12714
252,94268,12746
253,94438,12779
254,94570,12811
255,94696,12844
256,94843,12876
257,94951,12909
258,95100,12941
259,95236,12974
260,95379,13006
261,95534,13039
262,95670,13071
263,95811,13104
264,95943,13136
265,96090,13169
266,96246,13201
267,96368,13234
268,96506,13266
269,96627,13299
270,96752,13331
271,96887,13363
272,97033,13396
273,97177,13428
274,97316,13461
275,97447,13493
276,97569,13526
277,97693,13558
278,97841,13591
279,97944,13623
280,98092,13656
281,98233,13688
282,98361,13721
283,98462,13753
284,98567,13786
285,98671,13818
286,98770,13851
287,98896,13883
288,99000,13916
289,99101,13948
290,99218,13981
291,99326,14013
292,99478,14046
293,99679,14167
294,99810,14288
295,99965,14409
296,100098,14530
297,100253,14651
298,100407,14772
299,100581,14805
300,100719,14839
301,100835,14873
302,101013,14907
303,101127,14941
304,101276,14975
305,101399,15009
306,101550,15043
307,101685,15077
308,101800,15111
309,101920,15145
310,102063,15179
311,102211,15213
312,102325,15247
313,102466,15281
314,102592,15315
315,102741,15355
316,102852,15396
317,103003,15436
318,103143,15477
319,103259,15517
320,103384,15558
321,103465,15598
322,103567,15639
323,103660,15679
324,103757,15720
325,103867,15760
326,103958,15801
327,104046,15841
328,104174,15882
329,104251,15922
330,104358,15963
331,104405,16004
332,104494,16030
333,104568,16057
334,104664,16084
335,104772,16111
336,104867,16137
337,104992,16164
338,105095,16191
339,105149,16218
