Time,Nyarugusu,
0,0,0
1,0,3591
2,15,5386
3,30,7182
4,56,8978
5,98,10773
6,137,12569
7,193,14364
8,257,16160
9,308,17956
10,378,19751
11,451,21547
12,525,23342
13,612,25138
14,706,26934
15,791,28949
16,876,30965
17,980,32980
18,1084,34996
19,1195,37012
20,1301,39400
21,1433,41789
22,1556,44177
23,1677,46566
24,1829,48955
25,1990,49392
26,2111,49829
27,2218,50267
28,2346,50704
29,2463,51141
30,2556,51579
31,2642,51711
32,2874,51843
33,3052,51975
34,3232,52107
35,3405,52239
36,3580,52371
37,3727,52503
38,3884,52635
39,4033,52767
40,4146,52899
41,4262,53059
42,4382,53219
43,4519,53380
44,4682,53540
45,4854,53700
46,4993,53861
47,5141,54021
48,5279,54182
49,5426,54219
50,5548,54256
51,5659,54294
52,5755,54331
53,5841,54369
54,5930,54987
55,6130,55606
56,6289,56225
57,6442,56844
58,6598,57572
59,6728,58300
60,6874,59028
61,7053,59205
62,7221,59383
63,7394,59561
64,7574,59739
65,7769,59917
66,7980,60095
67,8157,60273
68,8327,60451
69,8484,60629
70,8660,61272
71,8815,61916
72,8986,62560
73,9136,64153
74,9321,64889
75,9479,66943
76,9611,69112
77,9741,69196
78,9869,69281
79,10025,69365
80,10139,69450
81,10272,69535
82,10416,71625
83,10548,73715
84,10675,74150
85,10818,74585
86,10945,75020
87,11068,76956
88,11191,77664
89,11324,78372
90,11452,79080
91,11582,79268
92,11715,79457
93,11849,79782
94,11988,80108
95,12122,80219
96,12274,80330
97,12433,80416
98,12548,80502
99,12678,80588
100,12784,80674
101,12887,80760
102,13003,80994
103,13140,81228
104,13260,81463
105,13378,81650
106,13500,81838
107,13593,82025
108,13697,82213
109,13811,82412
110,13904,82611
111,13994,82811
112,14098,83010
113,14220,83209
114,14318,83409
115,14444,84526
116,14559,85295
117,14677,85768
118,14780,86160
119,14875,86572
120,14998,87019
121,15111,87467
122,15232,87915
123,15332,87925
124,15420,88184
125,15533,88444
126,15627,88703
127,15721,88963
128,15808,89223
129,15881,89444
130,15978,89665
131,16051,89935
132,16130,90175
133,16208,90237
134,16283,90300
135,16353,90363
136,16431,90788
137,16505,91213
138,16583,91307
139,16666,91402
140,16756,91777
141,16831,92232
142,16900,92688
143,16975,93144
144,17039,93600
145,17087,94056
146,17159,94512
147,17229,94967
148,17297,95423
149,17365,95879
150,17442,96335
151,17511,96791
152,17580,97247
153,17649,97703
154,17735,98472
155,17823,98877
156,17890,99282
157,17969,99688
158,18045,99944
159,18112,100201
160,18199,100458
161,18265,100715
162,18333,100433
163,18420,100152
164,18506,99870
165,18625,99589
166,18734,99307
167,18827,99026
168,18904,98744
169,18981,98463
170,19069,98181
171,19164,97900
172,19231,97618
173,19319,97337
174,19382,97055
175,19464,96774
176,19542,96492
177,19609,96211
178,19672,95929
179,19743,95648
180,19807,95366
181,19883,95085
182,19961,94803
183,20035,94522
184,20142,94240
185,20234,93959
186,20340,93677
187,20440,93396
188,20529,93114
189,20620,92833
190,20689,92551
191,20761,92270
192,20827,91988
193,20910,91707
194,21000,91356
195,21093,91006
196,21167,90656
197,21236,90305
198,21327,89955
199,21406,89605
200,21489,89254
201,21564,88904
202,21645,88554
203,21706,88354
204,21783,88155
205,21847,87955
206,21911,87756
207,21974,87556
208,22018,87357
209,22062,87158
210,22149,87009
211,22226,86860
212,22284,86712
213,22334,86563
214,22409,86415
215,22472,86474
216,22526,86240
217,22574,86007
218,22637,85774
219,22713,85541
220,22776,85308
221,22848,85362
222,22906,85415
223,22965,85468
224,23028,85516
225,23086,84958
226,23153,84400
227,23200,84442
228,23261,84044
229,23326,83647
230,23394,83702
231,23453,83477
232,23512,83253
233,23572,83029
234,23635,83044
235,23703,83060
236,23768,83092
237,23844,83012
238,23907,83049
239,23952,83086
240,24016,83124
241,24078,83180
242,24148,83214
243,24204,83154
244,24264,83094
245,24314,83034
246,24374,83103
247,24424,83173
248,24486,83217
249,24539,83139
250,24566,83062
251,24620,83078
252,24661,83095
253,24704,83125
254,24753,83156
255,24796,83187
256,24873,83219
257,24917,83251
258,24971,83229
259,25036,83208
260,25063,83186
261,25119,83165
262,25159,83162
