#closure_type,name1,name2,closure_start,closure_end
location,Khartoum,Sudan,0,25
location,West_Kordofan,Sudan,0,59
location,Adjumani,Uganda,0,76
location,Tierkidi,Ethiopia,0,135
location,Kule,Ethiopia,0,156
location,Ituri,DRC,0,321
location,Jewi,Ethiopia,0,514
