"Time","Mahama",
155,13959,43740
156,14068,43593
157,14187,43786
158,14312,43879
159,14421,43973
160,14547,44067
161,14652,44161
162,14776,44255
163,14907,44349
164,15044,44443
165,15191,44484
166,15310,44523
167,15461,44626
168,15617,44627
169,15746,44629
170,15873,44631
171,16029,44633
172,16171,44715
173,16294,44765
174,16432,44781
175,16575,44839
176,16716,44857
177,16839,44876
178,16971,44895
179,17101,45153
180,17225,45154
181,17352,45155
182,17485,45157
183,17606,45158
184,17743,45159
185,17865,45161
186,17996,45254
187,18145,45348
188,18288,45393
189,18439,45451
190,18593,45510
191,18721,45569
192,18882,45591
193,19017,45613
194,19149,45635
195,19292,45658
196,19418,45682
197,19556,45707
198,19686,45732
199,19832,45803
200,19984,45875
201,20143,45947
202,20255,46019
203,20369,46036
204,20487,46054
205,20615,46072
206,20751,46090
207,20854,46108
208,20982,46161
209,21095,46194
210,21238,46227
211,21351,46260
212,21467,46293
213,21599,46327
214,21725,46433
215,21835,46631
216,21944,46399
217,22069,46167
218,22190,45935
219,22327,45703
220,22431,45471
221,22541,45240
222,22655,45098
223,22762,45120
224,22874,45143
225,22994,45166
226,23125,45189
227,23225,45212
228,23370,46075
229,23477,45989
230,23611,45903
231,23733,45818
232,23863,45732
233,23971,45647
234,24084,45561
235,24212,45476
236,24339,45476
237,24447,45476
238,24584,45476
239,24689,45476
240,24809,45476
241,24935,45476
242,25064,45565
243,25172,45655
244,25323,45517
245,25437,45379
246,25556,45241
247,25657,45103
248,25795,44965
249,25922,45018
250,26024,45071
251,26130,45090
252,26247,45109
253,26375,45128
254,26490,45148
255,26581,45236
256,26681,45298
257,26759,45360
258,26848,45422
259,26967,45431
260,27090,45441
261,27190,45450
262,27298,45460
263,27392,45545
264,27511,45631
265,27630,45657
266,27702,45683
267,27796,45709
268,27911,45735
269,28014,45762
270,28092,45817
271,28186,45579
272,28275,45644
273,28368,45759
274,28459,45874
275,28567,45989
276,28666,46104
277,28764,46219
278,28845,46334
279,28916,46449
280,29014,46564
281,29108,46679
282,29168,46794
283,29247,46909
284,29315,47024
285,29391,47139
286,29480,47167
287,29569,47196
288,29644,47224
289,29735,47253
290,29801,47282
291,29864,47299
292,29944,47364
293,30022,47430
294,30107,47442
295,30165,47455
296,30221,47468
297,30298,47481
298,30375,47494
299,30443,47507
300,30509,47520
301,30577,47533
302,30671,47546
303,30758,47559
304,30818,47572
305,30892,47585
306,30971,47598
307,31047,47611
308,31124,47624
309,31195,47637
310,31280,47650
311,31376,47721
312,31436,47792
313,31502,47863
314,31581,47934
315,31673,47956
316,31746,47978
317,31825,48000
318,31913,48022
319,31998,48091
320,32074,48160
321,32136,48188
322,32223,48217
323,32308,48246
324,32361,48275
325,32444,48318
326,32505,48362
327,32555,48406
328,32632,48409
329,32684,48413
330,32741,48417
331,32805,48421
332,32871,48292
333,32934,48164
334,32989,48036
335,33046,47908
336,33123,47927
337,33195,47946
338,33260,47965
339,33333,47985
340,33407,48004
341,33496,48023
342,33532,48043
343,33601,48071
344,33669,48100
345,33748,48129
346,33795,48158
347,33858,48187
348,33925,48216
349,33983,48245
350,34051,48258
351,34124,48272
352,34185,48286
353,34232,48300
354,34264,48350
355,34320,48400
356,34389,48450
357,34440,48444
358,34489,48438
359,34564,48433
360,34626,48427
361,34676,48422
362,34723,48416
363,34775,48411
364,34841,48424
365,34905,48437
366,34955,48450
367,35020,48463
368,35067,48476
369,35127,48489
370,35183,48503
371,35244,48518
372,35293,48532
373,35356,48547
374,35390,48562
375,35450,48622
376,35496,48682
377,35538,48742
378,35588,48767
379,35632,48793
380,35657,48819
381,35711,48845
382,35776,48871
383,35809,48897
384,35859,48923
385,35906,48915
386,35961,48908
387,36004,48901
388,36072,48894
389,36130,49037
390,36173,49181
391,36238,49325
392,36303,49327
393,36355,49330
394,36411,49333
395,36464,49336
