Time,Mahama,
0,0,0
1,0,773
2,0,1547
3,0,2321
4,0,3094
5,0,3868
6,0,4642
7,0,5415
8,0,6189
9,0,6963
10,0,7736
11,0,8510
12,0,9284
13,1,10057
14,3,10831
15,3,11605
16,6,12378
17,7,13152
18,8,13926
19,12,14699
20,12,15473
21,13,16247
22,16,17020
23,20,17794
24,28,18568
25,39,19341
26,47,20115
27,53,20889
28,63,21662
29,68,22436
30,75,23210
31,88,23984
32,102,24212
33,114,24441
34,133,24670
35,150,24899
36,165,25127
37,176,25356
38,191,25585
39,217,25814
40,228,26042
41,246,26271
42,268,26500
43,287,26729
44,315,26958
45,333,27024
46,359,27091
47,384,27158
48,414,27224
49,442,27291
50,459,27358
51,500,27424
52,529,27491
53,560,27558
54,587,27625
55,620,27841
56,654,28057
57,690,28274
58,719,28490
59,765,28707
60,798,28980
61,836,29254
62,880,29410
63,919,29441
64,965,29472
65,995,29504
66,1039,29563
67,1089,29623
68,1130,29719
69,1179,29816
70,1216,29866
71,1263,29916
72,1307,29966
73,1342,30016
74,1392,30066
75,1452,30116
76,1503,30166
77,1555,30216
78,1597,30266
79,1664,30316
80,1714,30367
81,1784,30647
82,1862,30701
83,1939,30756
84,2006,30810
85,2074,30865
86,2157,30920
87,2219,30974
88,2300,31029
89,2383,31084
90,2458,31114
91,2527,31145
92,2588,31176
93,2668,31206
94,2740,31237
95,2811,31268
96,2888,31299
97,2974,31329
98,3049,31360
99,3126,31391
100,3235,31422
101,3318,32524
102,3416,32794
103,3516,32878
104,3606,33431
105,3711,33977
106,3791,34523
107,3888,35070
108,3980,35710
109,4097,36231
110,4195,36753
111,4268,37643
112,4372,38334
113,4468,39025
114,4558,39717
115,4640,40157
116,4731,41176
117,4820,42172
118,4900,42268
119,4998,42364
120,5081,42460
121,5162,42557
122,5259,42653
123,5342,42749
124,5433,42845
125,5540,42942
126,5636,43038
127,5752,43134
128,5832,43230
129,5900,43327
130,6005,43430
131,6097,43534
132,6192,43567
133,6291,43600
134,6382,43633
135,6469,43667
136,6561,43716
137,6643,43741
138,6734,43779
139,6835,43817
140,6914,43856
141,7009,43894
142,7085,43932
143,7170,43971
144,7258,44010
145,7332,44050
146,7415,44090
147,7485,44124
148,7577,44159
149,7664,44193
150,7748,44228
151,7820,44330
152,7896,44182
153,7978,44035
154,8059,43887
155,8142,43740
