Time,Nyarugusu,
278,5884,81315
279,5926,81356
280,5969,81397
281,6030,80994
282,6077,80591
283,6128,80188
284,6174,79785
285,6221,79382
286,6267,78979
287,6299,78577
288,6331,78174
289,6358,77771
290,6406,77368
291,6450,76965
292,6490,76562
293,6532,76159
294,6572,75757
295,6603,75729
296,6651,75750
297,6681,75755
298,6727,75786
299,6779,75817
300,6825,75853
301,6866,75890
302,6927,75856
303,6982,75822
304,7032,75788
305,7084,75754
306,7133,75776
307,7180,75896
308,7217,76017
309,7252,76078
310,7311,76140
311,7360,76202
312,7409,76153
313,7455,76104
314,7497,76055
315,7535,76006
316,7582,76040
317,7630,76075
318,7693,76110
319,7742,76145
320,7789,76180
321,7835,76132
322,7878,76085
323,7941,76037
324,7988,75990
325,8031,75943
326,8076,75868
327,8122,75794
328,8169,75719
329,8215,75645
330,8255,75571
331,8289,75496
332,8344,75422
333,8398,75347
334,8441,75273
335,8492,75199
336,8533,75193
337,8578,75187
338,8613,75181
339,8666,75175
340,8713,75169
341,8762,75163
342,8821,75098
343,8867,75034
344,8911,74969
345,8963,74905
346,9006,74841
347,9046,74394
348,9093,73947
349,9140,73500
350,9183,73053
351,9228,72937
352,9267,72822
353,9310,72706
354,9364,72591
355,9411,72475
356,9464,72360
357,9515,72244
358,9571,72129
359,9613,72013
360,9661,71898
361,9706,71644
362,9751,71391
363,9806,71138
364,9857,70885
365,9898,70687
366,9932,70489
367,9982,70291
368,10026,70093
369,10073,69796
370,10116,69500
371,10161,69203
372,10207,68907
373,10252,68610
374,10291,68314
375,10341,68050
376,10394,67787
377,10432,67524
378,10486,67261
379,10552,66998
380,10606,66735
381,10649,66582
382,10698,66429
383,10752,66276
384,10809,66123
385,10862,65971
386,10910,65859
387,10951,65748
388,10998,65637
389,11063,65526
390,11122,65415
391,11177,65304
392,11207,65319
393,11261,65334
394,11308,65349
395,11361,65353
