Time,Nyarugusu,
0,0,0
1,0,3591
2,0,5386
3,0,7182
4,0,8978
5,0,10773
6,0,12569
7,0,14364
8,0,16160
9,0,17956
10,0,19751
11,0,21547
12,0,23342
13,0,25138
14,0,26934
15,0,28949
16,0,30965
17,0,32980
18,0,34996
19,1,37012
20,1,39400
21,1,41789
22,1,44177
23,1,46566
24,1,48955
25,1,49392
26,2,49829
27,2,50267
28,2,50704
29,4,51141
30,5,51579
31,8,51711
32,10,51843
33,11,51975
34,11,52107
35,11,52239
36,12,52371
37,15,52503
38,18,52635
39,19,52767
40,19,52899
41,20,53059
42,20,53219
43,25,53380
44,27,53540
45,30,53700
46,35,53861
47,37,54021
48,39,54182
49,44,54219
50,46,54256
51,49,54294
52,56,54331
53,59,54369
54,63,54987
55,64,55606
56,70,56225
57,77,56844
58,85,57572
59,90,58300
60,95,59028
61,104,59205
62,111,59383
63,116,59561
64,119,59739
65,123,59917
66,126,60095
67,130,60273
68,135,60451
69,139,60629
70,145,61272
71,150,61916
72,157,62560
73,158,64153
74,162,64889
75,173,66943
76,180,69112
77,191,69196
78,200,69281
79,204,69365
80,211,69450
81,224,69535
82,232,71625
83,248,73715
84,256,74150
85,270,74585
86,275,75020
87,289,76956
88,298,77664
89,305,78372
90,316,79080
91,332,79268
92,341,79457
93,351,79782
94,368,80108
95,377,80219
96,387,80330
97,395,80416
98,408,80502
99,427,80588
100,436,80674
101,448,80760
102,458,80994
103,467,81228
104,480,81463
105,498,81650
106,513,81838
107,529,82025
108,541,82213
109,558,82412
110,579,82611
111,597,82811
112,613,83010
113,628,83209
114,645,83409
115,660,84526
116,672,85295
117,690,85768
118,714,86160
119,725,86572
120,742,87019
121,760,87467
122,785,87915
123,804,87925
124,822,88184
125,845,88444
126,864,88703
127,884,88963
128,904,89223
129,913,89444
130,937,89665
131,954,89935
132,972,90175
133,988,90237
134,1006,90300
135,1030,90363
136,1046,90788
137,1060,91213
138,1082,91307
139,1099,91402
140,1123,91777
141,1154,92232
142,1170,92688
143,1196,93144
144,1222,93600
145,1249,94056
146,1282,94512
147,1305,94967
148,1325,95423
149,1355,95879
150,1376,96335
151,1414,96791
152,1447,97247
153,1470,97703
154,1495,98472
155,1507,98877
156,1542,99282
157,1570,99688
158,1596,99944
159,1619,100201
160,1646,100458
161,1679,100715
162,1705,100433
163,1723,100152
164,1750,99870
165,1787,99589
166,1816,99307
167,1843,99026
168,1880,98744
169,1912,98463
170,1941,98181
171,1975,97900
172,1995,97618
173,2031,97337
174,2063,97055
175,2099,96774
176,2124,96492
177,2162,96211
178,2201,95929
179,2224,95648
180,2258,95366
181,2295,95085
182,2340,94803
183,2364,94522
184,2395,94240
185,2427,93959
186,2455,93677
187,2479,93396
188,2521,93114
189,2553,92833
190,2580,92551
191,2618,92270
192,2655,91988
193,2689,91707
194,2719,91356
195,2758,91006
196,2786,90656
197,2814,90305
198,2848,89955
199,2890,89605
200,2921,89254
201,2964,88904
202,3001,88554
203,3034,88354
204,3060,88155
205,3086,87955
206,3128,87756
207,3171,87556
208,3213,87357
209,3239,87158
210,3282,87009
211,3312,86860
212,3336,86712
213,3364,86563
214,3406,86415
215,3447,86474
216,3482,86240
217,3523,86007
218,3563,85774
219,3588,85541
220,3620,85308
221,3665,85362
222,3701,85415
223,3737,85468
224,3779,85516
225,3814,84958
226,3853,84400
227,3901,84442
228,3932,84044
229,3973,83647
230,4004,83702
231,4039,83477
232,4070,83253
233,4112,83029
234,4151,83044
235,4192,83060
236,4235,83092
237,4275,83012
238,4317,83049
239,4353,83086
240,4396,83124
241,4438,83180
242,4478,83214
243,4524,83154
244,4564,83094
245,4606,83034
246,4644,83103
247,4673,83173
248,4714,83217
249,4741,83139
250,4797,83062
251,4833,83078
252,4877,83095
253,4908,83125
254,4964,83156
255,5004,83187
256,5030,83219
257,5067,83251
258,5107,83229
259,5144,83208
260,5181,83186
261,5211,83165
262,5251,83162
263,5301,83160
264,5338,83158
265,5370,83129
266,5397,83100
267,5434,83071
268,5468,83042
269,5513,83013
270,5565,82697
271,5609,82381
272,5646,82065
273,5675,81940
274,5716,81815
275,5758,81690
276,5789,81565
277,5834,81440
